Format Version,1.23,Take Name,Exp_C5X_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 10.52.19.422 AM,Total Frames in Take,1976,Total Exported Frames,1976,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 32602,Unlabeled 32602,Unlabeled 32602,Unlabeled 32603,Unlabeled 32603,Unlabeled 32603,Unlabeled 32606,Unlabeled 32606,Unlabeled 32606,Unlabeled 32607,Unlabeled 32607,Unlabeled 32607,Unlabeled 32608,Unlabeled 32608,Unlabeled 32608,Unlabeled 32609,Unlabeled 32609,Unlabeled 32609,Unlabeled 32610,Unlabeled 32610,Unlabeled 32610,Unlabeled 32612,Unlabeled 32612,Unlabeled 32612,Unlabeled 32613,Unlabeled 32613,Unlabeled 32613,Unlabeled 32614,Unlabeled 32614,Unlabeled 32614,Unlabeled 32615,Unlabeled 32615,Unlabeled 32615,Unlabeled 32616,Unlabeled 32616,Unlabeled 32616,Unlabeled 32617,Unlabeled 32617,Unlabeled 32617,Unlabeled 32618,Unlabeled 32618,Unlabeled 32618,Unlabeled 32619,Unlabeled 32619,Unlabeled 32619,Unlabeled 32620,Unlabeled 32620,Unlabeled 32620,Unlabeled 32621,Unlabeled 32621,Unlabeled 32621,Unlabeled 32622,Unlabeled 32622,Unlabeled 32622,Unlabeled 32623,Unlabeled 32623,Unlabeled 32623,Unlabeled 32624,Unlabeled 32624,Unlabeled 32624,Unlabeled 32625,Unlabeled 32625,Unlabeled 32625,Unlabeled 32626,Unlabeled 32626,Unlabeled 32626,Unlabeled 32627,Unlabeled 32627,Unlabeled 32627,Unlabeled 32628,Unlabeled 32628,Unlabeled 32628,Unlabeled 32629,Unlabeled 32629,Unlabeled 32629,Unlabeled 32630,Unlabeled 32630,Unlabeled 32630,Unlabeled 32632,Unlabeled 32632,Unlabeled 32632,Unlabeled 32633,Unlabeled 32633,Unlabeled 32633,Unlabeled 32634,Unlabeled 32634,Unlabeled 32634,Unlabeled 32635,Unlabeled 32635,Unlabeled 32635,Unlabeled 32636,Unlabeled 32636,Unlabeled 32636,Unlabeled 32637,Unlabeled 32637,Unlabeled 32637,Unlabeled 32638,Unlabeled 32638,Unlabeled 32638,Unlabeled 32639,Unlabeled 32639,Unlabeled 32639,Unlabeled 32640,Unlabeled 32640,Unlabeled 32640,Unlabeled 32641,Unlabeled 32641,Unlabeled 32641,Unlabeled 32642,Unlabeled 32642,Unlabeled 32642,Unlabeled 32643,Unlabeled 32643,Unlabeled 32643,Unlabeled 32644,Unlabeled 32644,Unlabeled 32644,Unlabeled 32645,Unlabeled 32645,Unlabeled 32645,Unlabeled 32646,Unlabeled 32646,Unlabeled 32646,Unlabeled 32647,Unlabeled 32647,Unlabeled 32647,Unlabeled 32648,Unlabeled 32648,Unlabeled 32648,Unlabeled 32649,Unlabeled 32649,Unlabeled 32649,Unlabeled 32650,Unlabeled 32650,Unlabeled 32650,Unlabeled 32651,Unlabeled 32651,Unlabeled 32651,Unlabeled 32652,Unlabeled 32652,Unlabeled 32652,Unlabeled 32653,Unlabeled 32653,Unlabeled 32653,Unlabeled 32654,Unlabeled 32654,Unlabeled 32654,Unlabeled 32655,Unlabeled 32655,Unlabeled 32655,Unlabeled 32656,Unlabeled 32656,Unlabeled 32656,Unlabeled 32657,Unlabeled 32657,Unlabeled 32657,Unlabeled 32658,Unlabeled 32658,Unlabeled 32658,Unlabeled 32660,Unlabeled 32660,Unlabeled 32660,Unlabeled 32661,Unlabeled 32661,Unlabeled 32661,Unlabeled 32662,Unlabeled 32662,Unlabeled 32662,Unlabeled 32663,Unlabeled 32663,Unlabeled 32663,Unlabeled 32664,Unlabeled 32664,Unlabeled 32664,Unlabeled 32665,Unlabeled 32665,Unlabeled 32665,Unlabeled 32666,Unlabeled 32666,Unlabeled 32666,Unlabeled 32668,Unlabeled 32668,Unlabeled 32668,Unlabeled 32669,Unlabeled 32669,Unlabeled 32669,Unlabeled 32671,Unlabeled 32671,Unlabeled 32671,Unlabeled 32672,Unlabeled 32672,Unlabeled 32672,Unlabeled 32673,Unlabeled 32673,Unlabeled 32673,Unlabeled 32674,Unlabeled 32674,Unlabeled 32674,Unlabeled 32675,Unlabeled 32675,Unlabeled 32675,Unlabeled 32676,Unlabeled 32676,Unlabeled 32676,Unlabeled 32677,Unlabeled 32677,Unlabeled 32677,Unlabeled 32678,Unlabeled 32678,Unlabeled 32678,Unlabeled 32680,Unlabeled 32680,Unlabeled 32680,Unlabeled 32681,Unlabeled 32681,Unlabeled 32681,Unlabeled 32682,Unlabeled 32682,Unlabeled 32682,Unlabeled 32683,Unlabeled 32683,Unlabeled 32683,Unlabeled 32684,Unlabeled 32684,Unlabeled 32684,Unlabeled 32685,Unlabeled 32685,Unlabeled 32685,Unlabeled 32686,Unlabeled 32686,Unlabeled 32686,Unlabeled 32687,Unlabeled 32687,Unlabeled 32687,Unlabeled 32688,Unlabeled 32688,Unlabeled 32688,Unlabeled 32689,Unlabeled 32689,Unlabeled 32689,Unlabeled 32690,Unlabeled 32690,Unlabeled 32690,Unlabeled 32691,Unlabeled 32691,Unlabeled 32691,Unlabeled 32692,Unlabeled 32692,Unlabeled 32692,Unlabeled 32694,Unlabeled 32694,Unlabeled 32694,Unlabeled 32695,Unlabeled 32695,Unlabeled 32695,Unlabeled 32696,Unlabeled 32696,Unlabeled 32696,Unlabeled 32697,Unlabeled 32697,Unlabeled 32697,Unlabeled 32698,Unlabeled 32698,Unlabeled 32698,Unlabeled 32699,Unlabeled 32699,Unlabeled 32699,Unlabeled 32700,Unlabeled 32700,Unlabeled 32700,Unlabeled 32701,Unlabeled 32701,Unlabeled 32701,Unlabeled 32702,Unlabeled 32702,Unlabeled 32702,Unlabeled 32703,Unlabeled 32703,Unlabeled 32703,Unlabeled 32704,Unlabeled 32704,Unlabeled 32704,Unlabeled 32705,Unlabeled 32705,Unlabeled 32705,Unlabeled 32706,Unlabeled 32706,Unlabeled 32706,Unlabeled 32707,Unlabeled 32707,Unlabeled 32707,Unlabeled 32709,Unlabeled 32709,Unlabeled 32709,Unlabeled 32710,Unlabeled 32710,Unlabeled 32710,Unlabeled 32712,Unlabeled 32712,Unlabeled 32712,Unlabeled 32713,Unlabeled 32713,Unlabeled 32713,Unlabeled 32714,Unlabeled 32714,Unlabeled 32714,Unlabeled 32715,Unlabeled 32715,Unlabeled 32715,Unlabeled 32716,Unlabeled 32716,Unlabeled 32716,Unlabeled 32718,Unlabeled 32718,Unlabeled 32718,Unlabeled 32719,Unlabeled 32719,Unlabeled 32719
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","121A40","121A40","121A40","121C50","121C50","121C50","D87165C074F711ED94BEEB680077B8","D87165C074F711ED94BEEB680077B8","D87165C074F711ED94BEEB680077B8","11EF10","11EF10","11EF10","121C80","121C80","121C80","121B00","121B00","121B00","121C20","121C20","121C20","121D10","121D10","121D10","121CE0","121CE0","121CE0","121A90","121A90","121A90","121D60","121D60","121D60","121D50","121D50","121D50","121CD0","121CD0","121CD0","121AA0","121AA0","121AA0","121D70","121D70","121D70","121D80","121D80","121D80","121DC0","121DC0","121DC0","121DD0","121DD0","121DD0","121DE0","121DE0","121DE0","121E00","121E00","121E00","121E10","121E10","121E10","121E20","121E20","121E20","121DF0","121DF0","121DF0","121E40","121E40","121E40","121DA0","121DA0","121DA0","121E50","121E50","121E50","121E80","121E80","121E80","121E30","121E30","121E30","121E70","121E70","121E70","121E60","121E60","121E60","121EA0","121EA0","121EA0","121EB0","121EB0","121EB0","121E90","121E90","121E90","121EE0","121EE0","121EE0","121EF0","121EF0","121EF0","121F00","121F00","121F00","121F30","121F30","121F30","121F20","121F20","121F20","121ED0","121ED0","121ED0","121F10","121F10","121F10","121F50","121F50","121F50","121DB0","121DB0","121DB0","121F90","121F90","121F90","121F60","121F60","121F60","121FA0","121FA0","121FA0","121F70","121F70","121F70","121FB0","121FB0","121FB0","121FC0","121FC0","121FC0","121FD0","121FD0","121FD0","121FE0","121FE0","121FE0","122000","122000","122000","122020","122020","122020","121FF0","121FF0","121FF0","122050","122050","122050","122030","122030","122030","122040","122040","122040","122060","122060","122060","122010","122010","122010","122070","122070","122070","121F80","121F80","121F80","122090","122090","122090","1220C0","1220C0","1220C0","1220D0","1220D0","1220D0","1220A0","1220A0","1220A0","1220F0","1220F0","1220F0","1220E0","1220E0","1220E0","122100","122100","122100","122140","122140","122140","122130","122130","122130","122160","122160","122160","122120","122120","122120","122150","122150","122150","121D90","121D90","121D90","122180","122180","122180","122190","122190","122190","1221C0","1221C0","1221C0","1221A0","1221A0","1221A0","1221E0","1221E0","1221E0","1221F0","1221F0","1221F0","122210","122210","122210","122240","122240","122240","122220","122220","122220","122260","122260","122260","122280","122280","122280","1222A0","1222A0","1222A0","1222C0","1222C0","1222C0","1222D0","1222D0","1222D0","122290","122290","122290","122230","122230","122230","1222F0","1222F0","1222F0","1221B0","1221B0","1221B0","122340","122340","122340","122310","122310","122310","122330","122330","122330","122320","122320","122320","122390","122390","122390","1223A0","1223A0","1223A0","122360","122360","122360","1223C0","1223C0","1223C0","1223F0","1223F0","1223F0","1223E0","1223E0","1223E0","122400","122400","122400","1223B0","1223B0","1223B0","122410","122410","122410","122420","122420","122420","122440","122440","122440","122470","122470","122470","122460","122460","122460","122480","122480","122480","1224C0","1224C0","1224C0","1224E0","1224E0","1224E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.301796,0.756659,-0.522505,0.251743,-0.393479,1.379161,0.339375,0.001928,-0.399126,1.380862,0.357146,0.533613,-0.381777,1.358397,0.397230,0.000001,-0.422829,1.405405,0.346859,0.000000,-0.401396,1.395677,0.272723,0.144494,-0.362268,1.355463,0.322916,0.346619,-0.400254,1.381605,0.358433,-0.377694,1.360126,0.397715,,,,-0.402695,1.398801,0.272208,-0.364026,1.355825,0.324817,-0.425791,1.409823,0.348762,-0.059510,1.516240,0.523380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.299175,0.757258,-0.522803,0.252452,-0.393832,1.379630,0.339622,0.001622,-0.399538,1.381318,0.357376,0.533613,-0.382421,1.358712,0.397480,0.000001,-0.423111,1.405970,0.347049,0.000000,-0.401442,1.396303,0.272974,0.144494,-0.362650,1.355847,0.323233,0.346619,-0.400782,1.382236,0.358638,-0.378372,1.360324,0.397849,-0.425133,1.407216,0.347153,-0.403407,1.399341,0.272586,-0.364605,1.356210,0.325116,,,,-0.060019,1.516761,0.523648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.297237,0.758214,-0.522265,0.252986,-0.394340,1.380129,0.339864,0.001492,-0.400077,1.381777,0.357611,0.500952,-0.383102,1.359000,0.397679,0.000001,-0.423563,1.406524,0.347313,0.405556,-0.401769,1.397030,0.273253,0.090198,-0.363187,1.356314,0.323464,0.315333,-0.401661,1.382359,0.359288,-0.379050,1.360886,0.398180,-0.425827,1.407702,0.347537,-0.404345,1.399934,0.272951,-0.365721,1.357336,0.324636,,,,-0.060744,1.517187,0.523983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.296573,0.759754,-0.520480,0.252821,-0.394866,1.380648,0.339938,0.001029,-0.400577,1.382222,0.357700,0.405184,-0.383574,1.359243,0.397640,0.000001,-0.424048,1.407044,0.347548,0.359517,-0.402368,1.397861,0.273414,0.026320,-0.363765,1.356871,0.323386,0.256728,-0.402234,1.383172,0.359085,-0.379645,1.361331,0.398400,-0.426322,1.407906,0.347798,-0.405144,1.400413,0.273203,-0.366343,1.358223,0.322777,,,,-0.061363,1.517501,0.524168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.296258,0.761070,-0.518884,0.252515,-0.395435,1.381139,0.340022,0.001043,-0.401114,1.382650,0.357800,0.410155,-0.384058,1.359508,0.397623,0.000001,-0.424583,1.407528,0.347782,0.388737,-0.403040,1.398609,0.273577,0.055876,-0.364381,1.357401,0.323326,0.256473,-0.402797,1.383516,0.359168,-0.380081,1.361611,0.398541,-0.426882,1.408201,0.348069,-0.405818,1.400697,0.273326,-0.366914,1.358568,0.322764,,,,-0.062088,1.518092,0.524547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.299361,0.760970,-0.516297,0.254452,-0.395960,1.381757,0.340040,0.002071,-0.401619,1.383162,0.357832,0.416021,-0.384307,1.360023,0.397547,0.000001,-0.425307,1.407882,0.347941,0.396897,-0.403824,1.399391,0.273668,0.128673,-0.364745,1.358328,0.323209,0.288755,-0.403301,1.383798,0.359373,-0.380394,1.361805,0.398638,-0.428287,1.408595,0.348582,-0.406470,1.400999,0.273460,-0.366233,1.361303,0.319479,,,,-0.062609,1.518391,0.524691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
