Format Version,1.23,Take Name,Exp_C5_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 10.51.48.926 AM,Total Frames in Take,1833,Total Exported Frames,1833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 32481,Unlabeled 32481,Unlabeled 32481,Unlabeled 32482,Unlabeled 32482,Unlabeled 32482,Unlabeled 32484,Unlabeled 32484,Unlabeled 32484,Unlabeled 32485,Unlabeled 32485,Unlabeled 32485,Unlabeled 32486,Unlabeled 32486,Unlabeled 32486,Unlabeled 32487,Unlabeled 32487,Unlabeled 32487,Unlabeled 32488,Unlabeled 32488,Unlabeled 32488,Unlabeled 32489,Unlabeled 32489,Unlabeled 32489,Unlabeled 32490,Unlabeled 32490,Unlabeled 32490,Unlabeled 32491,Unlabeled 32491,Unlabeled 32491,Unlabeled 32492,Unlabeled 32492,Unlabeled 32492,Unlabeled 32493,Unlabeled 32493,Unlabeled 32493,Unlabeled 32494,Unlabeled 32494,Unlabeled 32494,Unlabeled 32495,Unlabeled 32495,Unlabeled 32495,Unlabeled 32496,Unlabeled 32496,Unlabeled 32496,Unlabeled 32498,Unlabeled 32498,Unlabeled 32498,Unlabeled 32499,Unlabeled 32499,Unlabeled 32499,Unlabeled 32500,Unlabeled 32500,Unlabeled 32500,Unlabeled 32501,Unlabeled 32501,Unlabeled 32501,Unlabeled 32502,Unlabeled 32502,Unlabeled 32502,Unlabeled 32503,Unlabeled 32503,Unlabeled 32503,Unlabeled 32506,Unlabeled 32506,Unlabeled 32506,Unlabeled 32508,Unlabeled 32508,Unlabeled 32508,Unlabeled 32509,Unlabeled 32509,Unlabeled 32509,Unlabeled 32511,Unlabeled 32511,Unlabeled 32511,Unlabeled 32512,Unlabeled 32512,Unlabeled 32512,Unlabeled 32513,Unlabeled 32513,Unlabeled 32513,Unlabeled 32515,Unlabeled 32515,Unlabeled 32515,Unlabeled 32516,Unlabeled 32516,Unlabeled 32516,Unlabeled 32517,Unlabeled 32517,Unlabeled 32517,Unlabeled 32519,Unlabeled 32519,Unlabeled 32519,Unlabeled 32521,Unlabeled 32521,Unlabeled 32521,Unlabeled 32522,Unlabeled 32522,Unlabeled 32522,Unlabeled 32523,Unlabeled 32523,Unlabeled 32523,Unlabeled 32524,Unlabeled 32524,Unlabeled 32524,Unlabeled 32525,Unlabeled 32525,Unlabeled 32525,Unlabeled 32526,Unlabeled 32526,Unlabeled 32526,Unlabeled 32527,Unlabeled 32527,Unlabeled 32527,Unlabeled 32528,Unlabeled 32528,Unlabeled 32528,Unlabeled 32530,Unlabeled 32530,Unlabeled 32530,Unlabeled 32531,Unlabeled 32531,Unlabeled 32531,Unlabeled 32532,Unlabeled 32532,Unlabeled 32532,Unlabeled 32533,Unlabeled 32533,Unlabeled 32533,Unlabeled 32534,Unlabeled 32534,Unlabeled 32534,Unlabeled 32535,Unlabeled 32535,Unlabeled 32535,Unlabeled 32536,Unlabeled 32536,Unlabeled 32536,Unlabeled 32537,Unlabeled 32537,Unlabeled 32537,Unlabeled 32538,Unlabeled 32538,Unlabeled 32538,Unlabeled 32539,Unlabeled 32539,Unlabeled 32539,Unlabeled 32540,Unlabeled 32540,Unlabeled 32540,Unlabeled 32541,Unlabeled 32541,Unlabeled 32541,Unlabeled 32543,Unlabeled 32543,Unlabeled 32543,Unlabeled 32545,Unlabeled 32545,Unlabeled 32545,Unlabeled 32546,Unlabeled 32546,Unlabeled 32546,Unlabeled 32547,Unlabeled 32547,Unlabeled 32547,Unlabeled 32548,Unlabeled 32548,Unlabeled 32548,Unlabeled 32549,Unlabeled 32549,Unlabeled 32549,Unlabeled 32550,Unlabeled 32550,Unlabeled 32550,Unlabeled 32552,Unlabeled 32552,Unlabeled 32552,Unlabeled 32553,Unlabeled 32553,Unlabeled 32553,Unlabeled 32555,Unlabeled 32555,Unlabeled 32555,Unlabeled 32556,Unlabeled 32556,Unlabeled 32556,Unlabeled 32557,Unlabeled 32557,Unlabeled 32557,Unlabeled 32558,Unlabeled 32558,Unlabeled 32558,Unlabeled 32560,Unlabeled 32560,Unlabeled 32560,Unlabeled 32561,Unlabeled 32561,Unlabeled 32561,Unlabeled 32562,Unlabeled 32562,Unlabeled 32562,Unlabeled 32563,Unlabeled 32563,Unlabeled 32563,Unlabeled 32564,Unlabeled 32564,Unlabeled 32564,Unlabeled 32565,Unlabeled 32565,Unlabeled 32565,Unlabeled 32567,Unlabeled 32567,Unlabeled 32567,Unlabeled 32568,Unlabeled 32568,Unlabeled 32568,Unlabeled 32569,Unlabeled 32569,Unlabeled 32569,Unlabeled 32570,Unlabeled 32570,Unlabeled 32570,Unlabeled 32571,Unlabeled 32571,Unlabeled 32571,Unlabeled 32572,Unlabeled 32572,Unlabeled 32572,Unlabeled 32573,Unlabeled 32573,Unlabeled 32573,Unlabeled 32576,Unlabeled 32576,Unlabeled 32576,Unlabeled 32581,Unlabeled 32581,Unlabeled 32581,Unlabeled 32582,Unlabeled 32582,Unlabeled 32582,Unlabeled 32583,Unlabeled 32583,Unlabeled 32583,Unlabeled 32584,Unlabeled 32584,Unlabeled 32584,Unlabeled 32585,Unlabeled 32585,Unlabeled 32585,Unlabeled 32586,Unlabeled 32586,Unlabeled 32586,Unlabeled 32587,Unlabeled 32587,Unlabeled 32587,Unlabeled 32588,Unlabeled 32588,Unlabeled 32588,Unlabeled 32589,Unlabeled 32589,Unlabeled 32589,Unlabeled 32590,Unlabeled 32590,Unlabeled 32590,Unlabeled 32591,Unlabeled 32591,Unlabeled 32591,Unlabeled 32592,Unlabeled 32592,Unlabeled 32592,Unlabeled 32593,Unlabeled 32593,Unlabeled 32593,Unlabeled 32594,Unlabeled 32594,Unlabeled 32594,Unlabeled 32595,Unlabeled 32595,Unlabeled 32595,Unlabeled 32597,Unlabeled 32597,Unlabeled 32597
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","1211E0","1211E0","1211E0","121320","121320","121320","1213D0","1213D0","1213D0","11EF10","11EF10","11EF10","121240","121240","121240","1213A0","1213A0","1213A0","121400","121400","121400","121410","121410","121410","121430","121430","121430","121420","121420","121420","121360","121360","121360","121440","121440","121440","121460","121460","121460","121450","121450","121450","121470","121470","121470","121480","121480","121480","121490","121490","121490","1214A0","1214A0","1214A0","1214D0","1214D0","1214D0","1214B0","1214B0","1214B0","121510","121510","121510","1214C0","1214C0","1214C0","121540","121540","121540","121520","121520","121520","121550","121550","121550","121570","121570","121570","121530","121530","121530","1215B0","1215B0","1215B0","121590","121590","121590","121500","121500","121500","1215D0","1215D0","1215D0","121600","121600","121600","1215F0","1215F0","1215F0","121650","121650","121650","121630","121630","121630","121640","121640","121640","121690","121690","121690","121680","121680","121680","1216B0","1216B0","1216B0","1216D0","1216D0","1216D0","1216C0","1216C0","1216C0","1216E0","1216E0","1216E0","1216A0","1216A0","1216A0","121620","121620","121620","121710","121710","121710","121740","121740","121740","121750","121750","121750","121770","121770","121770","121760","121760","121760","1216F0","1216F0","1216F0","121780","121780","121780","121790","121790","121790","121720","121720","121720","1217A0","1217A0","1217A0","1217C0","1217C0","1217C0","121800","121800","121800","1217B0","1217B0","1217B0","121820","121820","121820","121840","121840","121840","121830","121830","121830","1217F0","1217F0","1217F0","121850","121850","121850","121860","121860","121860","1218B0","1218B0","1218B0","1218A0","1218A0","1218A0","1218D0","1218D0","1218D0","1218F0","1218F0","1218F0","1218C0","1218C0","1218C0","121900","121900","121900","121910","121910","121910","121920","121920","121920","121930","121930","121930","121880","121880","121880","121950","121950","121950","121970","121970","121970","121730","121730","121730","121960","121960","121960","1219D0","1219D0","1219D0","121990","121990","121990","1219A0","1219A0","1219A0","1219C0","1219C0","1219C0","1219E0","1219E0","1219E0","11B9A0","11B9A0","11B9A0","11B9E0","11B9E0","11B9E0","121B20","121B20","121B20","121B00","121B00","121B00","121A50","121A50","121A50","121A80","121A80","121A80","121A70","121A70","121A70","121A40","121A40","121A40","121B50","121B50","121B50","121B60","121B60","121B60","121B30","121B30","121B30","121B40","121B40","121B40","121B90","121B90","121B90","121BA0","121BA0","121BA0","121BC0","121BC0","121BC0","121BB0","121BB0","121BB0","121B70","121B70","121B70"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.361446,-0.749222,0.482273,-0.274657,-0.423429,1.348803,0.335711,0.001769,-0.428349,1.349105,0.353775,0.000001,-0.406066,1.327950,0.392094,0.000001,-0.455695,1.370433,0.345570,0.000001,-0.436909,1.366274,0.270206,0.050016,-0.390126,1.330253,0.316912,0.074956,-0.428581,1.352838,0.355736,-0.402566,1.331853,0.394095,-0.454353,1.376252,0.346001,-0.435951,1.369951,0.270180,-0.392385,1.332346,0.314860,-0.084707,1.489698,0.521830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.364674,-0.751193,0.482014,-0.265302,-0.423257,1.349995,0.336141,0.002105,-0.427842,1.350435,0.354289,0.000001,-0.404971,1.329396,0.392324,0.000001,-0.455218,1.371864,0.346455,0.000001,-0.437846,1.367134,0.270785,0.050016,-0.390407,1.331145,0.316849,0.074956,-0.428622,1.353447,0.356072,-0.402631,1.332268,0.394260,-0.455875,1.374431,0.349096,-0.436159,1.370576,0.270400,-0.392262,1.331958,0.314796,-0.084510,1.490160,0.522405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.366808,-0.753080,0.482083,-0.256744,-0.423163,1.351029,0.336527,0.002109,-0.427456,1.351601,0.354743,0.103546,-0.404119,1.330627,0.392530,0.000001,-0.454815,1.373163,0.347221,0.064661,-0.438677,1.367896,0.271314,0.037024,-0.390745,1.331859,0.316825,0.278997,-0.428611,1.353988,0.356204,-0.402669,1.332567,0.394387,-0.455731,1.375131,0.349323,-0.436384,1.370953,0.270577,-0.392571,1.331972,0.314902,-0.084583,1.490906,0.522977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.368088,-0.754853,0.482488,-0.248826,-0.423141,1.351880,0.336870,0.002087,-0.427178,1.352580,0.355140,0.243218,-0.403474,1.331639,0.392716,0.237166,-0.454484,1.374299,0.347878,0.244665,-0.439432,1.368512,0.271786,0.026948,-0.391136,1.332370,0.316828,0.336333,-0.428629,1.354220,0.356403,-0.402746,1.332726,0.394459,-0.455609,1.375638,0.349458,-0.436578,1.371190,0.270741,-0.392951,1.331792,0.314955,-0.084662,1.491246,0.523183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.368916,-0.756413,0.482975,-0.241817,-0.423173,1.352540,0.337147,0.002105,-0.426989,1.353355,0.355460,0.367871,-0.402987,1.332429,0.392855,0.455067,-0.454229,1.375228,0.348415,0.410797,-0.440118,1.368975,0.272180,0.000001,-0.391542,1.332714,0.316824,0.332277,-0.428679,1.354227,0.356448,-0.402823,1.332761,0.394463,-0.455542,1.375839,0.349521,-0.436735,1.371006,0.270653,-0.393216,1.331611,0.314921,-0.084686,1.491330,0.523239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.369496,-0.757604,0.483559,-0.235965,-0.423226,1.353011,0.337330,0.002103,-0.426862,1.353928,0.355675,0.464148,-0.402627,1.333020,0.392930,0.587438,-0.454038,1.375932,0.348795,0.544476,-0.440694,1.369267,0.272457,0.000001,-0.391909,1.332910,0.316793,0.308842,-0.428691,1.354115,0.356268,-0.402830,1.332665,0.394420,-0.455450,1.375778,0.349287,-0.436750,1.370708,0.270499,-0.393356,1.331435,0.314817,-0.084675,1.491171,0.523211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
