Format Version,1.23,Take Name,Exp_A4_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.20.46.019 AM,Total Frames in Take,1752,Total Exported Frames,1752,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 2723,Unlabeled 2723,Unlabeled 2723,Unlabeled 2724,Unlabeled 2724,Unlabeled 2724,Unlabeled 2725,Unlabeled 2725,Unlabeled 2725,Unlabeled 2726,Unlabeled 2726,Unlabeled 2726,Unlabeled 2727,Unlabeled 2727,Unlabeled 2727,Unlabeled 2728,Unlabeled 2728,Unlabeled 2728,Unlabeled 2733,Unlabeled 2733,Unlabeled 2733,Unlabeled 2736,Unlabeled 2736,Unlabeled 2736,Unlabeled 2737,Unlabeled 2737,Unlabeled 2737,Unlabeled 2738,Unlabeled 2738,Unlabeled 2738,Unlabeled 2739,Unlabeled 2739,Unlabeled 2739,Unlabeled 2740,Unlabeled 2740,Unlabeled 2740,Unlabeled 2741,Unlabeled 2741,Unlabeled 2741,Unlabeled 2742,Unlabeled 2742,Unlabeled 2742,Unlabeled 2743,Unlabeled 2743,Unlabeled 2743,Unlabeled 2744,Unlabeled 2744,Unlabeled 2744,Unlabeled 2745,Unlabeled 2745,Unlabeled 2745,Unlabeled 2747,Unlabeled 2747,Unlabeled 2747,Unlabeled 2748,Unlabeled 2748,Unlabeled 2748,Unlabeled 2749,Unlabeled 2749,Unlabeled 2749,Unlabeled 2750,Unlabeled 2750,Unlabeled 2750,Unlabeled 2751,Unlabeled 2751,Unlabeled 2751,Unlabeled 2752,Unlabeled 2752,Unlabeled 2752,Unlabeled 2753,Unlabeled 2753,Unlabeled 2753,Unlabeled 2754,Unlabeled 2754,Unlabeled 2754,Unlabeled 2755,Unlabeled 2755,Unlabeled 2755,Unlabeled 2757,Unlabeled 2757,Unlabeled 2757,Unlabeled 2758,Unlabeled 2758,Unlabeled 2758,Unlabeled 2759,Unlabeled 2759,Unlabeled 2759,Unlabeled 2760,Unlabeled 2760,Unlabeled 2760,Unlabeled 2761,Unlabeled 2761,Unlabeled 2761,Unlabeled 2762,Unlabeled 2762,Unlabeled 2762,Unlabeled 2763,Unlabeled 2763,Unlabeled 2763,Unlabeled 2764,Unlabeled 2764,Unlabeled 2764,Unlabeled 2765,Unlabeled 2765,Unlabeled 2765,Unlabeled 2767,Unlabeled 2767,Unlabeled 2767,Unlabeled 2768,Unlabeled 2768,Unlabeled 2768,Unlabeled 2769,Unlabeled 2769,Unlabeled 2769,Unlabeled 2770,Unlabeled 2770,Unlabeled 2770,Unlabeled 2771,Unlabeled 2771,Unlabeled 2771,Unlabeled 2772,Unlabeled 2772,Unlabeled 2772,Unlabeled 2773,Unlabeled 2773,Unlabeled 2773,Unlabeled 2774,Unlabeled 2774,Unlabeled 2774,Unlabeled 2775,Unlabeled 2775,Unlabeled 2775,Unlabeled 2776,Unlabeled 2776,Unlabeled 2776,Unlabeled 2777,Unlabeled 2777,Unlabeled 2777,Unlabeled 2778,Unlabeled 2778,Unlabeled 2778,Unlabeled 2779,Unlabeled 2779,Unlabeled 2779,Unlabeled 2782,Unlabeled 2782,Unlabeled 2782,Unlabeled 2783,Unlabeled 2783,Unlabeled 2783,Unlabeled 2785,Unlabeled 2785,Unlabeled 2785,Unlabeled 2786,Unlabeled 2786,Unlabeled 2786,Unlabeled 2787,Unlabeled 2787,Unlabeled 2787,Unlabeled 2788,Unlabeled 2788,Unlabeled 2788,Unlabeled 2789,Unlabeled 2789,Unlabeled 2789,Unlabeled 2790,Unlabeled 2790,Unlabeled 2790,Unlabeled 2792,Unlabeled 2792,Unlabeled 2792,Unlabeled 2793,Unlabeled 2793,Unlabeled 2793,Unlabeled 2795,Unlabeled 2795,Unlabeled 2795,Unlabeled 2796,Unlabeled 2796,Unlabeled 2796,Unlabeled 2797,Unlabeled 2797,Unlabeled 2797,Unlabeled 2798,Unlabeled 2798,Unlabeled 2798,Unlabeled 2801,Unlabeled 2801,Unlabeled 2801,Unlabeled 2802,Unlabeled 2802,Unlabeled 2802,Unlabeled 2803,Unlabeled 2803,Unlabeled 2803,Unlabeled 2804,Unlabeled 2804,Unlabeled 2804,Unlabeled 2806,Unlabeled 2806,Unlabeled 2806,Unlabeled 2807,Unlabeled 2807,Unlabeled 2807,Unlabeled 2808,Unlabeled 2808,Unlabeled 2808,Unlabeled 2809,Unlabeled 2809,Unlabeled 2809,Unlabeled 2810,Unlabeled 2810,Unlabeled 2810,Unlabeled 2811,Unlabeled 2811,Unlabeled 2811,Unlabeled 2812,Unlabeled 2812,Unlabeled 2812,Unlabeled 2813,Unlabeled 2813,Unlabeled 2813
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","D325AA974EB11ED94BEEB680077B8","D325AA974EB11ED94BEEB680077B8","D325AA974EB11ED94BEEB680077B8","D325ABC74EB11ED94BEEB680077B8","D325ABC74EB11ED94BEEB680077B8","D325ABC74EB11ED94BEEB680077B8","D325AAA74EB11ED94BEEB680077B8","D325AAA74EB11ED94BEEB680077B8","D325AAA74EB11ED94BEEB680077B8","D325ACC74EB11ED94BEEB680077B8","D325ACC74EB11ED94BEEB680077B8","D325ACC74EB11ED94BEEB680077B8","D325AAB74EB11ED94BEEB680077B8","D325AAB74EB11ED94BEEB680077B8","D325AAB74EB11ED94BEEB680077B8","D63C0","D63C0","D63C0","D63D0","D63D0","D63D0","D6760","D6760","D6760","D6820","D6820","D6820","D6850","D6850","D6850","D68F0","D68F0","D68F0","D6860","D6860","D6860","D6900","D6900","D6900","D6920","D6920","D6920","D6930","D6930","D6930","D6940","D6940","D6940","D6910","D6910","D6910","D66B0","D66B0","D66B0","D6720","D6720","D6720","D6950","D6950","D6950","D66D0","D66D0","D66D0","D6960","D6960","D6960","D6990","D6990","D6990","D69B0","D69B0","D69B0","D69D0","D69D0","D69D0","D69F0","D69F0","D69F0","D6A00","D6A00","D6A00","D6A10","D6A10","D6A10","D6A20","D6A20","D6A20","D69E0","D69E0","D69E0","D69C0","D69C0","D69C0","D69A0","D69A0","D69A0","D60B0","D60B0","D60B0","D6A70","D6A70","D6A70","D6A60","D6A60","D6A60","D6A30","D6A30","D6A30","D6A50","D6A50","D6A50","D6A40","D6A40","D6A40","D6A90","D6A90","D6A90","D6AE0","D6AE0","D6AE0","D6B10","D6B10","D6B10","D6AF0","D6AF0","D6AF0","D6B30","D6B30","D6B30","D6B60","D6B60","D6B60","D6B50","D6B50","D6B50","D6B40","D6B40","D6B40","D6B20","D6B20","D6B20","D6B70","D6B70","D6B70","D6B80","D6B80","D6B80","D6B90","D6B90","D6B90","D6BB0","D6BB0","D6BB0","D6BC0","D6BC0","D6BC0","D6BA0","D6BA0","D6BA0","D6AD0","D6AD0","D6AD0","D6A80","D6A80","D6A80","D6AA0","D6AA0","D6AA0","D6BD0","D6BD0","D6BD0","D6BE0","D6BE0","D6BE0","D6C40","D6C40","D6C40","D6BF0","D6BF0","D6BF0","D6C30","D6C30","D6C30","D6C80","D6C80","D6C80","D6C90","D6C90","D6C90","D6CB0","D6CB0","D6CB0","D6CD0","D6CD0","D6CD0","D6CE0","D6CE0","D6CE0","D6CF0","D6CF0","D6CF0","D6C70","D6C70","D6C70","D6C20","D6C20","D6C20","D6D00","D6D00","D6D00","D6D10","D6D10","D6D10","D6D20","D6D20","D6D20","D6C10","D6C10","D6C10","D6D30","D6D30","D6D30","D6D50","D6D50","D6D50","D6D60","D6D60","D6D60","D6D70","D6D70","D6D70","D6DD0","D6DD0","D6DD0","D6DB0","D6DB0","D6DB0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.743797,1.010034,0.753706,-0.705274,1.033476,0.782603,-0.774151,1.055402,0.755637,-0.819902,1.022506,0.705540,0.729163,2.536801,0.488787,-0.754637,0.990255,0.728961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.743626,1.010216,0.753521,-0.704840,1.034074,0.781919,-0.773981,1.055617,0.755439,-0.819785,1.022773,0.705217,0.729167,2.536803,0.488751,-0.754642,0.990520,0.728556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.743432,1.010369,0.753289,-0.704660,1.034272,0.781667,-0.773816,1.055692,0.755240,-0.819617,1.022919,0.704921,0.729148,2.536789,0.488721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.417061,0.016361,0.746547,-0.518131,-0.733784,1.012686,0.756968,0.002554,-0.752485,1.013618,0.757072,0.000001,-0.781798,1.040375,0.786007,0.000000,-0.753371,0.991230,0.729359,0.626772,-0.675862,0.985017,0.731329,0.000000,-0.705406,1.033188,0.781070,0.631997,-0.743242,1.010448,0.753109,,,,-0.754288,0.990488,0.728445,,,,-0.704592,1.033960,0.782022,,,,,,,-0.773697,1.055657,0.755036,-0.819462,1.023115,0.704691,0.729109,2.536754,0.488644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.742827,1.010983,0.752421,-0.704371,1.034201,0.781726,-0.773514,1.055689,0.754851,-0.819283,1.023190,0.704493,0.729014,2.536815,0.488479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.742616,1.011283,0.752195,-0.704220,1.034323,0.781671,-0.773358,1.055913,0.754666,-0.819109,1.023326,0.704262,0.729055,2.536742,0.488449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
