Format Version,1.23,Take Name,Exp_A5_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.21.41.735 AM,Total Frames in Take,1893,Total Exported Frames,1893,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 2897,Unlabeled 2897,Unlabeled 2897,Unlabeled 2898,Unlabeled 2898,Unlabeled 2898,Unlabeled 2900,Unlabeled 2900,Unlabeled 2900,Unlabeled 2901,Unlabeled 2901,Unlabeled 2901,Unlabeled 2902,Unlabeled 2902,Unlabeled 2902,Unlabeled 2903,Unlabeled 2903,Unlabeled 2903,Unlabeled 2906,Unlabeled 2906,Unlabeled 2906,Unlabeled 2907,Unlabeled 2907,Unlabeled 2907,Unlabeled 2908,Unlabeled 2908,Unlabeled 2908,Unlabeled 2909,Unlabeled 2909,Unlabeled 2909,Unlabeled 2910,Unlabeled 2910,Unlabeled 2910,Unlabeled 2912,Unlabeled 2912,Unlabeled 2912,Unlabeled 2913,Unlabeled 2913,Unlabeled 2913,Unlabeled 2914,Unlabeled 2914,Unlabeled 2914,Unlabeled 2915,Unlabeled 2915,Unlabeled 2915,Unlabeled 2916,Unlabeled 2916,Unlabeled 2916,Unlabeled 2917,Unlabeled 2917,Unlabeled 2917,Unlabeled 2918,Unlabeled 2918,Unlabeled 2918,Unlabeled 2919,Unlabeled 2919,Unlabeled 2919,Unlabeled 2920,Unlabeled 2920,Unlabeled 2920,Unlabeled 2921,Unlabeled 2921,Unlabeled 2921,Unlabeled 2922,Unlabeled 2922,Unlabeled 2922,Unlabeled 2923,Unlabeled 2923,Unlabeled 2923,Unlabeled 2924,Unlabeled 2924,Unlabeled 2924,Unlabeled 2925,Unlabeled 2925,Unlabeled 2925,Unlabeled 2926,Unlabeled 2926,Unlabeled 2926,Unlabeled 2927,Unlabeled 2927,Unlabeled 2927,Unlabeled 2928,Unlabeled 2928,Unlabeled 2928,Unlabeled 2929,Unlabeled 2929,Unlabeled 2929,Unlabeled 2930,Unlabeled 2930,Unlabeled 2930,Unlabeled 2931,Unlabeled 2931,Unlabeled 2931,Unlabeled 2932,Unlabeled 2932,Unlabeled 2932,Unlabeled 2933,Unlabeled 2933,Unlabeled 2933,Unlabeled 2934,Unlabeled 2934,Unlabeled 2934,Unlabeled 2935,Unlabeled 2935,Unlabeled 2935,Unlabeled 2936,Unlabeled 2936,Unlabeled 2936,Unlabeled 2937,Unlabeled 2937,Unlabeled 2937,Unlabeled 2938,Unlabeled 2938,Unlabeled 2938,Unlabeled 2939,Unlabeled 2939,Unlabeled 2939,Unlabeled 2941,Unlabeled 2941,Unlabeled 2941,Unlabeled 2942,Unlabeled 2942,Unlabeled 2942,Unlabeled 2943,Unlabeled 2943,Unlabeled 2943,Unlabeled 2944,Unlabeled 2944,Unlabeled 2944,Unlabeled 2945,Unlabeled 2945,Unlabeled 2945,Unlabeled 2946,Unlabeled 2946,Unlabeled 2946,Unlabeled 2947,Unlabeled 2947,Unlabeled 2947,Unlabeled 2948,Unlabeled 2948,Unlabeled 2948,Unlabeled 2950,Unlabeled 2950,Unlabeled 2950,Unlabeled 2951,Unlabeled 2951,Unlabeled 2951,Unlabeled 2952,Unlabeled 2952,Unlabeled 2952,Unlabeled 2953,Unlabeled 2953,Unlabeled 2953,Unlabeled 2954,Unlabeled 2954,Unlabeled 2954,Unlabeled 2955,Unlabeled 2955,Unlabeled 2955,Unlabeled 2956,Unlabeled 2956,Unlabeled 2956,Unlabeled 2957,Unlabeled 2957,Unlabeled 2957,Unlabeled 2958,Unlabeled 2958,Unlabeled 2958,Unlabeled 2959,Unlabeled 2959,Unlabeled 2959,Unlabeled 2960,Unlabeled 2960,Unlabeled 2960,Unlabeled 2962,Unlabeled 2962,Unlabeled 2962,Unlabeled 2963,Unlabeled 2963,Unlabeled 2963,Unlabeled 2964,Unlabeled 2964,Unlabeled 2964,Unlabeled 2965,Unlabeled 2965,Unlabeled 2965,Unlabeled 2966,Unlabeled 2966,Unlabeled 2966,Unlabeled 2967,Unlabeled 2967,Unlabeled 2967,Unlabeled 2968,Unlabeled 2968,Unlabeled 2968,Unlabeled 2969,Unlabeled 2969,Unlabeled 2969,Unlabeled 2970,Unlabeled 2970,Unlabeled 2970,Unlabeled 2971,Unlabeled 2971,Unlabeled 2971,Unlabeled 2972,Unlabeled 2972,Unlabeled 2972,Unlabeled 2973,Unlabeled 2973,Unlabeled 2973,Unlabeled 2974,Unlabeled 2974,Unlabeled 2974,Unlabeled 2975,Unlabeled 2975,Unlabeled 2975,Unlabeled 2976,Unlabeled 2976,Unlabeled 2976,Unlabeled 2978,Unlabeled 2978,Unlabeled 2978,Unlabeled 2979,Unlabeled 2979,Unlabeled 2979,Unlabeled 2980,Unlabeled 2980,Unlabeled 2980,Unlabeled 2981,Unlabeled 2981,Unlabeled 2981,Unlabeled 2982,Unlabeled 2982,Unlabeled 2982,Unlabeled 2983,Unlabeled 2983,Unlabeled 2983,Unlabeled 2985,Unlabeled 2985,Unlabeled 2985,Unlabeled 2986,Unlabeled 2986,Unlabeled 2986,Unlabeled 2987,Unlabeled 2987,Unlabeled 2987,Unlabeled 2988,Unlabeled 2988,Unlabeled 2988,Unlabeled 2989,Unlabeled 2989,Unlabeled 2989,Unlabeled 2990,Unlabeled 2990,Unlabeled 2990,Unlabeled 2991,Unlabeled 2991,Unlabeled 2991,Unlabeled 2992,Unlabeled 2992,Unlabeled 2992,Unlabeled 2993,Unlabeled 2993,Unlabeled 2993,Unlabeled 2994,Unlabeled 2994,Unlabeled 2994,Unlabeled 2996,Unlabeled 2996,Unlabeled 2996,Unlabeled 2997,Unlabeled 2997,Unlabeled 2997,Unlabeled 2998,Unlabeled 2998,Unlabeled 2998,Unlabeled 2999,Unlabeled 2999,Unlabeled 2999,Unlabeled 3000,Unlabeled 3000,Unlabeled 3000,Unlabeled 3003,Unlabeled 3003,Unlabeled 3003,Unlabeled 3004,Unlabeled 3004,Unlabeled 3004,Unlabeled 3005,Unlabeled 3005,Unlabeled 3005,Unlabeled 3006,Unlabeled 3006,Unlabeled 3006,Unlabeled 3007,Unlabeled 3007,Unlabeled 3007,Unlabeled 3008,Unlabeled 3008,Unlabeled 3008,Unlabeled 3009,Unlabeled 3009,Unlabeled 3009
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","D6E50","D6E50","D6E50","30688AEB74EB11ED94BEEB680077B8","30688AEB74EB11ED94BEEB680077B8","30688AEB74EB11ED94BEEB680077B8","D71D0","D71D0","D71D0","D7010","D7010","D7010","D71A0","D71A0","D71A0","D6DE0","D6DE0","D6DE0","D71C0","D71C0","D71C0","D71E0","D71E0","D71E0","D7120","D7120","D7120","D6E10","D6E10","D6E10","D70F0","D70F0","D70F0","D7220","D7220","D7220","D7240","D7240","D7240","D7250","D7250","D7250","D7210","D7210","D7210","D7230","D7230","D7230","D7270","D7270","D7270","D72B0","D72B0","D72B0","D6DC0","D6DC0","D6DC0","D72A0","D72A0","D72A0","D72E0","D72E0","D72E0","D7300","D7300","D7300","D7310","D7310","D7310","D7320","D7320","D7320","D72D0","D72D0","D72D0","D7350","D7350","D7350","D7340","D7340","D7340","D7330","D7330","D7330","D72F0","D72F0","D72F0","D7360","D7360","D7360","D7370","D7370","D7370","D7380","D7380","D7380","D7390","D7390","D7390","D73A0","D73A0","D73A0","D72C0","D72C0","D72C0","D7290","D7290","D7290","D7410","D7410","D7410","D73E0","D73E0","D73E0","D7440","D7440","D7440","D73C0","D73C0","D73C0","D7450","D7450","D7450","D73B0","D73B0","D73B0","D7460","D7460","D7460","D7420","D7420","D7420","D7480","D7480","D7480","D7490","D7490","D7490","D7470","D7470","D7470","D74A0","D74A0","D74A0","D74B0","D74B0","D74B0","D74D0","D74D0","D74D0","D74E0","D74E0","D74E0","D74C0","D74C0","D74C0","D7500","D7500","D7500","D74F0","D74F0","D74F0","D7530","D7530","D7530","D7540","D7540","D7540","D7560","D7560","D7560","D7590","D7590","D7590","D75A0","D75A0","D75A0","D7580","D7580","D7580","D75B0","D75B0","D75B0","D7550","D7550","D7550","D7520","D7520","D7520","D73D0","D73D0","D73D0","D75C0","D75C0","D75C0","D75E0","D75E0","D75E0","D75D0","D75D0","D75D0","D7600","D7600","D7600","D7610","D7610","D7610","D75F0","D75F0","D75F0","D6C00","D6C00","D6C00","D7630","D7630","D7630","D7670","D7670","D7670","D7640","D7640","D7640","D7660","D7660","D7660","D7680","D7680","D7680","D7620","D7620","D7620","D7650","D7650","D7650","D76A0","D76A0","D76A0","D7690","D7690","D7690","D7710","D7710","D7710","D7720","D7720","D7720","D7730","D7730","D7730","D76D0","D76D0","D76D0","D7750","D7750","D7750","D7740","D7740","D7740","D7780","D7780","D7780","D7790","D7790","D7790","D7760","D7760","D7760","D77A0","D77A0","D77A0","D7700","D7700","D7700","D77E0","D77E0","D77E0","D77B0","D77B0","D77B0","D7830","D7830","D7830","D77F0","D77F0","D77F0","D7840","D7840","D7840","D7820","D7820","D7820","D7800","D7800","D7800","D7810","D7810","D7810","D7890","D7890","D7890","D78A0","D78A0","D78A0","D7860","D7860","D7860","D78B0","D78B0","D78B0","D78C0","D78C0","D78C0","D7880","D7880","D7880","D78D0","D78D0","D78D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.636210,0.007800,-0.307263,-0.707648,-0.445563,1.200344,0.443280,0.001220,-0.433523,1.191288,0.454399,0.867201,-0.417538,1.203825,0.499118,0.000000,-0.431340,1.165242,0.430174,0.305732,-0.478791,1.204695,0.382825,0.749031,-0.466622,1.236668,0.449886,0.782128,-0.433774,1.190864,0.454597,,,,-0.431208,1.167975,0.429700,-0.478487,1.204914,0.381893,-0.465756,1.236580,0.449853,-0.418801,1.207018,0.503664,-0.062591,1.278627,0.617768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.635726,0.008545,-0.307004,-0.708186,-0.445422,1.200624,0.443262,0.000717,-0.433392,1.191551,0.454378,0.867201,-0.417459,1.204010,0.499136,0.000000,-0.431176,1.165550,0.430108,0.305732,-0.478586,1.205078,0.382779,0.749031,-0.466498,1.236931,0.449911,0.782128,-0.433495,1.191034,0.454449,,,,-0.430368,1.166938,0.429667,-0.478303,1.204953,0.381845,-0.465516,1.236723,0.449774,-0.418582,1.207226,0.503541,-0.062425,1.278721,0.617746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.636117,0.007223,-0.304464,-0.708946,-0.445331,1.200727,0.443237,0.001208,-0.433371,1.191590,0.454375,0.836887,-0.417437,1.203972,0.499154,0.000000,-0.431266,1.165567,0.430117,0.308367,-0.478372,1.205350,0.382700,0.708534,-0.466208,1.237157,0.449840,0.719215,-0.433249,1.190963,0.454509,,,,-0.430685,1.168205,0.429517,-0.478016,1.205165,0.381605,-0.465172,1.236906,0.449485,-0.418350,1.207201,0.503459,-0.062201,1.278718,0.617626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.635747,0.008100,-0.304456,-0.709272,-0.445085,1.200913,0.443155,0.000776,-0.433128,1.191770,0.454291,0.786015,-0.417251,1.204102,0.499105,0.000000,-0.430975,1.165786,0.429997,0.570842,-0.478069,1.205595,0.382590,0.656483,-0.466002,1.237315,0.449790,0.655499,-0.432959,1.190945,0.454440,,,,-0.429646,1.166751,0.429497,-0.477731,1.205156,0.381332,-0.464804,1.236772,0.449378,-0.418028,1.207213,0.503355,-0.061967,1.278624,0.617542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.635278,0.012969,-0.302999,-0.710244,-0.444068,1.200615,0.442511,0.000905,-0.432174,1.191459,0.453704,0.786015,-0.416720,1.203626,0.498710,0.000000,-0.429723,1.165602,0.429303,0.570842,-0.476556,1.205477,0.381693,0.656483,-0.465170,1.236909,0.449146,0.655499,-0.432647,1.190891,0.454261,,,,-0.429241,1.166533,0.429484,-0.477304,1.205320,0.380796,-0.464522,1.236747,0.449214,-0.417778,1.207188,0.503240,-0.061706,1.278460,0.617481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.432306,1.190716,0.454094,,,,-0.428922,1.166345,0.429418,-0.476830,1.205431,0.380191,-0.464226,1.236551,0.449000,-0.417417,1.206913,0.503049,-0.061438,1.278296,0.617363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
