Format Version,1.23,Take Name,Exp_00A,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-06-08 10.54.50.269 AM,Total Frames in Take,1435,Total Exported Frames,1435,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Baton,Baton,Baton,Baton,Baton,Baton,Baton,Baton,"Baton:Marker1","Baton:Marker1","Baton:Marker1","Baton:Marker1","Baton:Marker2","Baton:Marker2","Baton:Marker2","Baton:Marker2","Baton:Marker3","Baton:Marker3","Baton:Marker3","Baton:Marker3","Baton:Marker4","Baton:Marker4","Baton:Marker4","Baton:Marker4",Hand,Hand,Hand,Hand,Hand,Hand,Hand,Hand,"Hand:Marker1","Hand:Marker1","Hand:Marker1","Hand:Marker1","Hand:Marker2","Hand:Marker2","Hand:Marker2","Hand:Marker2","Hand:Marker3","Hand:Marker3","Hand:Marker3","Hand:Marker3","Hand:Marker4","Hand:Marker4","Hand:Marker4","Hand:Marker4","Hand:Marker5","Hand:Marker5","Hand:Marker5","Hand:Marker5",Baton:Marker1,Baton:Marker1,Baton:Marker1,Baton:Marker2,Baton:Marker2,Baton:Marker2,Baton:Marker3,Baton:Marker3,Baton:Marker3,Baton:Marker4,Baton:Marker4,Baton:Marker4,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127,Unlabeled 1128,Unlabeled 1128,Unlabeled 1128,Unlabeled 1129,Unlabeled 1129,Unlabeled 1129,Unlabeled 1130,Unlabeled 1130,Unlabeled 1130,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1133,Unlabeled 1133,Unlabeled 1133,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1173,Unlabeled 1173,Unlabeled 1173,Unlabeled 1174,Unlabeled 1174,Unlabeled 1174,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175,Unlabeled 1176,Unlabeled 1176,Unlabeled 1176,Unlabeled 1177,Unlabeled 1177,Unlabeled 1177,Unlabeled 1180,Unlabeled 1180,Unlabeled 1180
,ID,"B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","B95E820C059511EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","C5FDE736059611EE94BEEB6800B5B8","F00457B059711EE94BEEB6800B5B8","F00457B059711EE94BEEB6800B5B8","F00457B059711EE94BEEB6800B5B8","176120","176120","176120","176030","176030","176030","F00457C059711EE94BEEB6800B5B8","F00457C059711EE94BEEB6800B5B8","F00457C059711EE94BEEB6800B5B8","178840","178840","178840","1790E0","1790E0","1790E0","179420","179420","179420","17A580","17A580","17A580","17B500","17B500","17B500","17B880","17B880","17B880","17BF10","17BF10","17BF10","17C010","17C010","17C010","17C020","17C020","17C020","17C030","17C030","17C030","17BA20","17BA20","17BA20","17C0A0","17C0A0","17C0A0","17C060","17C060","17C060","17B990","17B990","17B990","17B210","17B210","17B210","17C0B0","17C0B0","17C0B0","17C0D0","17C0D0","17C0D0","17C130","17C130","17C130","17C0C0","17C0C0","17C0C0","17C150","17C150","17C150","17C190","17C190","17C190","17C1B0","17C1B0","17C1B0","17C1F0","17C1F0","17C1F0","17C1A0","17C1A0","17C1A0","17C1E0","17C1E0","17C1E0","17C230","17C230","17C230","17C220","17C220","17C220","17C1D0","17C1D0","17C1D0","17C250","17C250","17C250","17C280","17C280","17C280","17C2D0","17C2D0","17C2D0","17C2A0","17C2A0","17C2A0","17C2C0","17C2C0","17C2C0","17C1C0","17C1C0","17C1C0","17C100","17C100","17C100","17C350","17C350","17C350","17C320","17C320","17C320","17C380","17C380","17C380","17C340","17C340","17C340","17C360","17C360","17C360","17C370","17C370","17C370","17C3B0","17C3B0","17C3B0","17C3A0","17C3A0","17C3A0","17C3C0","17C3C0","17C3C0","17C3E0","17C3E0","17C3E0","17C3F0","17C3F0","17C3F0","179440","179440","179440","179340","179340","179340","17C450","17C450","17C450","17C490","17C490","17C490","17C4F0","17C4F0","17C4F0","17C480","17C480","17C480","17C500","17C500","17C500","17C520","17C520","17C520","17C540","17C540","17C540","17C510","17C510","17C510","17C4A0","17C4A0","17C4A0","17C550","17C550","17C550","17C590","17C590","17C590","17C5A0","17C5A0","17C5A0","17C5B0","17C5B0","17C5B0","17C5C0","17C5C0","17C5C0","17C560","17C560","17C560","17C610","17C610","17C610","17C600","17C600","17C600","17C620","17C620","17C620","17C5E0","17C5E0","17C5E0","17C4B0","17C4B0","17C4B0","17C4D0","17C4D0","17C4D0","17C460","17C460","17C460","17C630","17C630","17C630","17C640","17C640","17C640","17C660","17C660","17C660","17C6C0","17C6C0","17C6C0","17C6B0","17C6B0","17C6B0","17C710","17C710","17C710","17C6D0","17C6D0","17C6D0","17C700","17C700","17C700","17C720","17C720","17C720","17C730","17C730","17C730","17C740","17C740","17C740","17C6E0","17C6E0","17C6E0","17C780","17C780","17C780","17C770","17C770","17C770","17C7D0","17C7D0","17C7D0","17C760","17C760","17C760","17C810","17C810","17C810","17C830","17C830","17C830","17C820","17C820","17C820","17C7B0","17C7B0","17C7B0","17C7E0","17C7E0","17C7E0","17C870","17C870","17C870","17C850","17C850","17C850","17C8C0","17C8C0","17C8C0","17C8D0","17C8D0","17C8D0","17C6F0","17C6F0","17C6F0","17C910","17C910","17C910","17C900","17C900","17C900","17C920","17C920","17C920","17C8F0","17C8F0","17C8F0","17C960","17C960","17C960"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000313,0.978359,0.189732,-0.082555,-0.392704,1.273832,0.064003,0.000641,-0.401408,1.232623,0.062942,0.000000,-0.458077,1.269095,0.074453,0.000001,-0.388480,1.313252,0.066146,0.000001,-0.322849,1.280360,0.052474,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.449830,1.262020,0.079714,-0.379126,1.303083,0.062865,,,,-0.394578,1.218134,0.067807,-0.371252,1.084116,0.135501,-0.319285,0.999658,0.136277,-0.317645,1.022066,0.160841,-0.348904,1.084283,0.086780,-0.351001,1.037778,0.174638,-0.382141,0.976044,0.092607,-0.372468,1.234749,0.086021,1.325686,2.696014,-0.014498,-0.333613,1.049584,0.158614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.449184,1.257912,0.079191,-0.379254,1.302375,0.062588,,,,-0.394517,1.217517,0.067586,-0.371203,1.083490,0.135579,-0.319189,0.999329,0.136109,-0.317603,1.021546,0.160900,-0.348769,1.083911,0.086638,,,,,,,,,,1.325665,2.695816,-0.014677,-0.336509,1.055290,0.156309,1.335191,2.601604,0.041175,-0.315450,1.264029,0.052771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.000374,0.978419,0.189378,-0.082656,-0.383912,1.265132,0.065017,0.000637,-0.392617,1.223922,0.063987,0.000001,-0.449284,1.260404,0.075483,0.000001,-0.379687,1.304553,0.067130,0.000000,-0.314059,1.271650,0.053467,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.394334,1.217041,0.067258,-0.449009,1.257263,0.078739,-0.379211,1.301613,0.062221,-0.315213,1.263622,0.052254,,,,-0.371154,1.082903,0.135582,-0.319044,0.999047,0.136019,-0.317567,1.021096,0.160810,-0.348567,1.083403,0.086578,,,,-0.389642,1.035027,0.052524,,,,1.325676,2.695627,-0.014957,-0.336396,1.055094,0.156113,1.335219,2.601496,0.041148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.000374,0.978419,0.189377,-0.082656,-0.383908,1.265114,0.064998,0.000220,-0.392613,1.223904,0.063968,0.000001,-0.449280,1.260385,0.075465,0.000001,-0.379683,1.304535,0.067111,0.000000,-0.314055,1.271631,0.053449,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.449426,1.260618,0.077883,-0.378849,1.301219,0.061468,,,,-0.393922,1.216718,0.066841,-0.371106,1.082102,0.135885,-0.319032,0.998523,0.136241,-0.317620,1.020377,0.161193,,,,-0.350871,1.036240,0.174471,-0.389452,1.034555,0.052746,,,,1.325757,2.695357,-0.015154,-0.336356,1.054646,0.156162,1.335250,2.571819,0.045384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000636,0.978465,0.188987,-0.083008,-0.383914,1.265077,0.064966,0.000356,-0.392633,1.223869,0.063977,0.000001,-0.449279,1.260378,0.075488,0.000001,-0.379675,1.304498,0.067044,0.000001,-0.314068,1.271563,0.053357,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.394192,1.221233,0.064784,-0.449154,1.259902,0.077399,-0.378492,1.300578,0.061088,,,,,,,-0.371058,1.081604,0.135863,-0.319030,0.998020,0.136375,-0.317616,1.019939,0.161191,-0.348233,1.082197,0.086704,-0.350833,1.035842,0.174483,-0.389296,1.034293,0.052746,,,,1.325830,2.695085,-0.015352,-0.336214,1.054386,0.155858,,,,-0.314318,1.262612,0.051295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.000638,0.978465,0.188984,-0.083011,-0.383901,1.264994,0.064917,0.000367,-0.392620,1.223786,0.063928,0.000000,-0.449266,1.260295,0.075438,0.000000,-0.379662,1.304415,0.066993,0.000001,-0.314055,1.271480,0.053307,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.447881,1.256188,0.076435,-0.377785,1.299862,0.060594,-0.313766,1.261860,0.051175,-0.393598,1.220758,0.064400,-0.371006,1.081209,0.135794,-0.319004,0.997498,0.136591,-0.317663,1.019386,0.161337,-0.348092,1.081522,0.086741,-0.350835,1.035501,0.174535,-0.389152,1.033962,0.052845,-0.371256,1.232243,0.083834,1.325973,2.694725,-0.015533,-0.336258,1.053711,0.156013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
