Format Version,1.23,Take Name,EXP_00A,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.21.54.277 AM,Total Frames in Take,697,Total Exported Frames,697,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1252,Unlabeled 1252,Unlabeled 1252,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257,Unlabeled 1259,Unlabeled 1259,Unlabeled 1259,Unlabeled 1260,Unlabeled 1260,Unlabeled 1260,Unlabeled 1261,Unlabeled 1261,Unlabeled 1261,Unlabeled 1262,Unlabeled 1262,Unlabeled 1262,Unlabeled 1263,Unlabeled 1263,Unlabeled 1263,Unlabeled 1264,Unlabeled 1264,Unlabeled 1264,Unlabeled 1265,Unlabeled 1265,Unlabeled 1265,Unlabeled 1267,Unlabeled 1267,Unlabeled 1267,Unlabeled 1268,Unlabeled 1268,Unlabeled 1268,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270,Unlabeled 1271,Unlabeled 1271,Unlabeled 1271,Unlabeled 1272,Unlabeled 1272,Unlabeled 1272,Unlabeled 1273,Unlabeled 1273,Unlabeled 1273,Unlabeled 1274,Unlabeled 1274,Unlabeled 1274
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","EB1B0","EB1B0","EB1B0","77A467811B9B11EE94BEEB68002F85","77A467811B9B11EE94BEEB68002F85","77A467811B9B11EE94BEEB68002F85","EB1A0","EB1A0","EB1A0","ED6D0","ED6D0","ED6D0","7D9CDAA41B9B11EE94BEEB68002F85","7D9CDAA41B9B11EE94BEEB68002F85","7D9CDAA41B9B11EE94BEEB68002F85","EE890","EE890","EE890","EDD20","EDD20","EDD20","EDEC0","EDEC0","EDEC0","EE9C0","EE9C0","EE9C0","EEAF0","EEAF0","EEAF0","EEBA0","EEBA0","EEBA0","EEBD0","EEBD0","EEBD0","EEBC0","EEBC0","EEBC0","EEBE0","EEBE0","EEBE0","EEC10","EEC10","EEC10","EEC00","EEC00","EEC00","EEBF0","EEBF0","EEBF0","EEC20","EEC20","EEC20","EEC60","EEC60","EEC60","EEC30","EEC30","EEC30","EEC50","EEC50","EEC50","EEC80","EEC80","EEC80","EEC90","EEC90","EEC90","EECA0","EECA0","EECA0","EECC0","EECC0","EECC0","EECD0","EECD0","EECD0","EECF0","EECF0","EECF0","EECB0","EECB0","EECB0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.322100,0.924620,-0.103931,0.174720,-0.417354,1.295479,0.182431,0.000290,-0.471270,1.294837,0.130237,0.238716,-0.418915,1.331918,0.166428,0.000000,-0.446770,1.306310,0.220787,0.095281,-0.377394,1.297774,0.230088,0.000001,-0.422424,1.257413,0.189832,0.000000,-0.401991,1.298072,0.180289,0.178080,-0.382717,1.282029,0.159353,0.000001,-0.471818,1.294987,0.130744,,,,-0.447586,1.306281,0.221176,-0.378054,1.298938,0.230125,,,,-0.402714,1.298112,0.180677,-0.383440,1.282556,0.160227,-0.420557,1.333787,0.167126,-0.420670,1.257356,0.189474,-0.392271,1.291040,0.170539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.322841,0.924387,-0.103223,0.175008,-0.418183,1.295623,0.182410,0.000149,-0.472097,1.294944,0.130216,0.263529,-0.419810,1.332079,0.166451,0.000000,-0.447618,1.306355,0.220779,0.047212,-0.378227,1.297935,0.230071,0.000001,-0.423184,1.257540,0.189767,0.000000,-0.402824,1.298247,0.180272,0.130194,-0.383521,1.282264,0.159317,0.000001,-0.472531,1.295123,0.130783,,,,-0.448444,1.306254,0.221245,-0.378879,1.299353,0.230521,,,,-0.403440,1.298330,0.180881,-0.384156,1.282760,0.160048,-0.421285,1.333930,0.167226,-0.422099,1.258014,0.189595,-0.392933,1.291111,0.170608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.323381,0.924211,-0.102553,0.175335,-0.418989,1.295784,0.182432,0.000150,-0.472895,1.295093,0.130230,0.263529,-0.420665,1.332257,0.166517,0.000000,-0.448444,1.306427,0.220811,0.047212,-0.379042,1.298094,0.230100,0.000001,-0.423936,1.257685,0.189741,0.000000,-0.403633,1.298432,0.180299,0.130194,-0.384305,1.282502,0.159327,0.000001,-0.473201,1.295398,0.130912,,,,-0.449158,1.306449,0.221334,-0.379607,1.299608,0.230658,,,,-0.404141,1.298454,0.181024,-0.384805,1.283018,0.160128,-0.421003,1.333738,0.166993,-0.422866,1.258319,0.189647,-0.393810,1.291247,0.170590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.324339,0.923945,-0.102014,0.175283,-0.419769,1.295961,0.182495,0.000146,-0.473703,1.295185,0.130322,0.032272,-0.421532,1.332439,0.166601,0.000000,-0.449226,1.306519,0.220895,0.245584,-0.379802,1.298328,0.230142,0.000001,-0.424632,1.257847,0.189785,0.000000,-0.404421,1.298642,0.180355,0.090630,-0.385071,1.282765,0.159363,0.000001,-0.474107,1.295307,0.131193,,,,-0.449701,1.306583,0.221478,-0.380270,1.299815,0.230784,,,,-0.404855,1.298719,0.181150,-0.385416,1.283317,0.160253,-0.421779,1.333827,0.167171,-0.423363,1.258476,0.189726,-0.394487,1.291441,0.170814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.326801,0.923146,-0.100216,0.175953,-0.420772,1.296374,0.183410,0.000242,-0.474709,1.295426,0.131243,0.032272,-0.422750,1.332884,0.167617,0.000000,-0.450284,1.306656,0.221844,0.245584,-0.380811,1.298844,0.231058,0.000001,-0.425411,1.258213,0.190596,0.000000,-0.405440,1.299151,0.181275,0.090630,-0.386001,1.283445,0.160237,0.000001,-0.474732,1.295454,0.131392,,,,-0.450258,1.306655,0.221571,-0.380915,1.299761,0.230720,,,,-0.405419,1.298982,0.181260,-0.386018,1.283562,0.160350,-0.422600,1.334233,0.167142,-0.423853,1.258501,0.189840,-0.395013,1.291859,0.171017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.475301,1.295550,0.131493,,,,-0.450875,1.306757,0.221705,-0.381273,1.299910,0.230567,,,,-0.406188,1.299170,0.181474,-0.386513,1.283866,0.160623,-0.423954,1.334339,0.167638,-0.424297,1.258553,0.189878,-0.395547,1.292065,0.171056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
