Format Version,1.23,Take Name,EXP_12B_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.24.40.212 AM,Total Frames in Take,1040,Total Exported Frames,1040,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 1864,Unlabeled 1864,Unlabeled 1864,Unlabeled 1865,Unlabeled 1865,Unlabeled 1865,Unlabeled 1866,Unlabeled 1866,Unlabeled 1866,Unlabeled 1867,Unlabeled 1867,Unlabeled 1867,Unlabeled 1868,Unlabeled 1868,Unlabeled 1868,Unlabeled 1871,Unlabeled 1871,Unlabeled 1871,Unlabeled 1872,Unlabeled 1872,Unlabeled 1872,Unlabeled 1873,Unlabeled 1873,Unlabeled 1873,Unlabeled 1874,Unlabeled 1874,Unlabeled 1874,Unlabeled 1875,Unlabeled 1875,Unlabeled 1875,Unlabeled 1876,Unlabeled 1876,Unlabeled 1876,Unlabeled 1877,Unlabeled 1877,Unlabeled 1877,Unlabeled 1878,Unlabeled 1878,Unlabeled 1878,Unlabeled 1879,Unlabeled 1879,Unlabeled 1879,Unlabeled 1880,Unlabeled 1880,Unlabeled 1880,Unlabeled 1883,Unlabeled 1883,Unlabeled 1883,Unlabeled 1884,Unlabeled 1884,Unlabeled 1884,Unlabeled 1886,Unlabeled 1886,Unlabeled 1886,Unlabeled 1889,Unlabeled 1889,Unlabeled 1889,Unlabeled 1890,Unlabeled 1890,Unlabeled 1890,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893,Unlabeled 1897,Unlabeled 1897,Unlabeled 1897,Unlabeled 1899,Unlabeled 1899,Unlabeled 1899,Unlabeled 1901,Unlabeled 1901,Unlabeled 1901,Unlabeled 1903,Unlabeled 1903,Unlabeled 1903,Unlabeled 1904,Unlabeled 1904,Unlabeled 1904,Unlabeled 1905,Unlabeled 1905,Unlabeled 1905,Unlabeled 1906,Unlabeled 1906,Unlabeled 1906,Unlabeled 1907,Unlabeled 1907,Unlabeled 1907,Unlabeled 1908,Unlabeled 1908,Unlabeled 1908,Unlabeled 1909,Unlabeled 1909,Unlabeled 1909,Unlabeled 1910,Unlabeled 1910,Unlabeled 1910,Unlabeled 1911,Unlabeled 1911,Unlabeled 1911,Unlabeled 1912,Unlabeled 1912,Unlabeled 1912,Unlabeled 1913,Unlabeled 1913,Unlabeled 1913,Unlabeled 1916,Unlabeled 1916,Unlabeled 1916,Unlabeled 1917,Unlabeled 1917,Unlabeled 1917,Unlabeled 1918,Unlabeled 1918,Unlabeled 1918,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1921,Unlabeled 1921,Unlabeled 1921,Unlabeled 1922,Unlabeled 1922,Unlabeled 1922,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923,Unlabeled 1924,Unlabeled 1924,Unlabeled 1924,Unlabeled 1925,Unlabeled 1925,Unlabeled 1925,Unlabeled 1927,Unlabeled 1927,Unlabeled 1927,Unlabeled 1931,Unlabeled 1931,Unlabeled 1931,Unlabeled 1932,Unlabeled 1932,Unlabeled 1932,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936,Unlabeled 1937,Unlabeled 1937,Unlabeled 1937,Unlabeled 1938,Unlabeled 1938,Unlabeled 1938,Unlabeled 1941,Unlabeled 1941,Unlabeled 1941,Unlabeled 1942,Unlabeled 1942,Unlabeled 1942,Unlabeled 1944,Unlabeled 1944,Unlabeled 1944,Unlabeled 1946,Unlabeled 1946,Unlabeled 1946,Unlabeled 1947,Unlabeled 1947,Unlabeled 1947,Unlabeled 1948,Unlabeled 1948,Unlabeled 1948,Unlabeled 1949,Unlabeled 1949,Unlabeled 1949,Unlabeled 1950,Unlabeled 1950,Unlabeled 1950,Unlabeled 1951,Unlabeled 1951,Unlabeled 1951,Unlabeled 1952,Unlabeled 1952,Unlabeled 1952,Unlabeled 1953,Unlabeled 1953,Unlabeled 1953,Unlabeled 1954,Unlabeled 1954,Unlabeled 1954,Unlabeled 1955,Unlabeled 1955,Unlabeled 1955,Unlabeled 1956,Unlabeled 1956,Unlabeled 1956,Unlabeled 1957,Unlabeled 1957,Unlabeled 1957,Unlabeled 1958,Unlabeled 1958,Unlabeled 1958,Unlabeled 1959,Unlabeled 1959,Unlabeled 1959,Unlabeled 1961,Unlabeled 1961,Unlabeled 1961,Unlabeled 1962,Unlabeled 1962,Unlabeled 1962,Unlabeled 1963,Unlabeled 1963,Unlabeled 1963,Unlabeled 1965,Unlabeled 1965,Unlabeled 1965,Unlabeled 1966,Unlabeled 1966,Unlabeled 1966,Unlabeled 1967,Unlabeled 1967,Unlabeled 1967,Unlabeled 1968,Unlabeled 1968,Unlabeled 1968,Unlabeled 1969,Unlabeled 1969,Unlabeled 1969,Unlabeled 1970,Unlabeled 1970,Unlabeled 1970,Unlabeled 1971,Unlabeled 1971,Unlabeled 1971,Unlabeled 1973,Unlabeled 1973,Unlabeled 1973,Unlabeled 1975,Unlabeled 1975,Unlabeled 1975,Unlabeled 1976,Unlabeled 1976,Unlabeled 1976,Unlabeled 1977,Unlabeled 1977,Unlabeled 1977,Unlabeled 1978,Unlabeled 1978,Unlabeled 1978,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1980,Unlabeled 1980,Unlabeled 1980
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","F4EE0","F4EE0","F4EE0","DD2001DA1B9B11EE94BEEB68002F85","DD2001DA1B9B11EE94BEEB68002F85","DD2001DA1B9B11EE94BEEB68002F85","F5160","F5160","F5160","F50F0","F50F0","F50F0","DD2001DB1B9B11EE94BEEB68002F85","DD2001DB1B9B11EE94BEEB68002F85","DD2001DB1B9B11EE94BEEB68002F85","F5AB0","F5AB0","F5AB0","F5520","F5520","F5520","F3930","F3930","F3930","F5CD0","F5CD0","F5CD0","F5D00","F5D00","F5D00","F5D10","F5D10","F5D10","F5D70","F5D70","F5D70","F5D30","F5D30","F5D30","F5D40","F5D40","F5D40","F5D50","F5D50","F5D50","F5C90","F5C90","F5C90","F5CA0","F5CA0","F5CA0","F5D90","F5D90","F5D90","F5DA0","F5DA0","F5DA0","F5DB0","F5DB0","F5DB0","F5E00","F5E00","F5E00","F5E30","F5E30","F5E30","F5E40","F5E40","F5E40","F5E50","F5E50","F5E50","F5DC0","F5DC0","F5DC0","F5E80","F5E80","F5E80","F5DF0","F5DF0","F5DF0","F5E90","F5E90","F5E90","F5EB0","F5EB0","F5EB0","F5EA0","F5EA0","F5EA0","F5EF0","F5EF0","F5EF0","F5F50","F5F50","F5F50","F5F60","F5F60","F5F60","F5F30","F5F30","F5F30","F5F20","F5F20","F5F20","F5F70","F5F70","F5F70","F5FA0","F5FA0","F5FA0","F5F80","F5F80","F5F80","F5F90","F5F90","F5F90","F5FD0","F5FD0","F5FD0","F5FE0","F5FE0","F5FE0","F5FB0","F5FB0","F5FB0","F5FC0","F5FC0","F5FC0","F6000","F6000","F6000","F6010","F6010","F6010","F6060","F6060","F6060","F5FF0","F5FF0","F5FF0","F6040","F6040","F6040","F6070","F6070","F6070","F60A0","F60A0","F60A0","F6080","F6080","F6080","F6090","F6090","F6090","F60B0","F60B0","F60B0","F60C0","F60C0","F60C0","F6020","F6020","F6020","F6110","F6110","F6110","F6120","F6120","F6120","F6170","F6170","F6170","F6140","F6140","F6140","F6180","F6180","F6180","F61A0","F61A0","F61A0","F61B0","F61B0","F61B0","F5DD0","F5DD0","F5DD0","F61F0","F61F0","F61F0","F61E0","F61E0","F61E0","F61D0","F61D0","F61D0","F6220","F6220","F6220","F6240","F6240","F6240","F6250","F6250","F6250","F6260","F6260","F6260","F6280","F6280","F6280","F6290","F6290","F6290","F6270","F6270","F6270","F62B0","F62B0","F62B0","F62A0","F62A0","F62A0","F6230","F6230","F6230","F5DE0","F5DE0","F5DE0","F6210","F6210","F6210","F6300","F6300","F6300","F62F0","F62F0","F62F0","F62C0","F62C0","F62C0","F5C60","F5C60","F5C60","F6310","F6310","F6310","F6320","F6320","F6320","F5C80","F5C80","F5C80","F6330","F6330","F6330","F5CE0","F5CE0","F5CE0","F6340","F6340","F6340","F63E0","F63E0","F63E0","F6350","F6350","F6350","F63F0","F63F0","F63F0","F6390","F6390","F6390","F6380","F6380","F6380","F6420","F6420","F6420","F6430","F6430","F6430"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.334983,0.941056,-0.031254,0.034966,-0.468030,1.269486,0.207402,0.000238,-0.535465,1.270120,0.174485,0.000001,-0.474571,1.306524,0.194296,0.000000,-0.484139,1.278247,0.253419,0.000001,-0.415274,1.270463,0.240404,0.000001,-0.470455,1.231071,0.214318,0.000000,-0.454094,1.272414,0.200728,0.000001,-0.442215,1.257563,0.174166,0.000001,-0.536092,1.268968,0.173141,,,,-0.484911,1.277487,0.251765,-0.415912,1.271484,0.238666,,,,-0.454538,1.271345,0.199056,-0.442873,1.256777,0.173056,-0.476056,1.306987,0.193053,-0.471304,1.241296,0.205067,-0.479954,1.211240,0.195064,-0.448084,1.266368,0.183937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.336114,0.940658,-0.031812,0.034330,-0.468596,1.269059,0.207133,0.000226,-0.536060,1.269485,0.174273,0.000001,-0.475233,1.306061,0.193974,0.000000,-0.484685,1.277855,0.253150,0.000001,-0.415813,1.270211,0.240087,0.000001,-0.470926,1.230649,0.214111,0.000000,-0.454672,1.272009,0.200442,0.000001,-0.442782,1.257144,0.173893,0.000001,-0.536606,1.268190,0.172633,,,,-0.485251,1.277223,0.251410,-0.416275,1.271209,0.238181,,,,-0.454874,1.270867,0.198610,-0.443277,1.256287,0.172663,-0.475098,1.307261,0.191504,-0.471978,1.240566,0.204868,-0.480160,1.210942,0.194893,-0.448494,1.265925,0.183522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.337186,0.940278,-0.032506,0.033563,-0.469113,1.268585,0.206782,0.000215,-0.536612,1.268802,0.173990,0.000001,-0.475844,1.305547,0.193559,0.000000,-0.485174,1.277435,0.252799,0.000001,-0.416299,1.269915,0.239680,0.000001,-0.471352,1.230184,0.213837,0.000000,-0.455202,1.271553,0.200071,0.000001,-0.443307,1.256662,0.173539,0.000001,-0.536940,1.267438,0.172286,,,,-0.485547,1.276728,0.250824,-0.416518,1.270782,0.237647,,,,-0.455251,1.270371,0.198125,-0.443659,1.255663,0.172159,-0.476137,1.306501,0.190992,-0.470518,1.231313,0.210961,-0.480264,1.210717,0.194726,-0.448439,1.262941,0.183574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.338080,0.939958,-0.033343,0.032692,-0.469572,1.268094,0.206369,0.000207,-0.537107,1.268117,0.173652,0.000001,-0.476384,1.305015,0.193071,0.000000,-0.485598,1.277018,0.252383,0.000001,-0.416724,1.269592,0.239205,0.000001,-0.471734,1.229705,0.213512,0.000000,-0.455674,1.271071,0.199635,0.000001,-0.443781,1.256143,0.173124,0.000001,-0.537207,1.266836,0.171883,,,,-0.485739,1.276373,0.250329,-0.416732,1.270294,0.237091,,,,-0.455515,1.269904,0.197646,-0.443988,1.255089,0.171622,-0.476160,1.305875,0.190419,-0.470554,1.230529,0.210783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.338830,0.939683,-0.034374,0.031759,-0.469974,1.267598,0.205910,0.000203,-0.537545,1.267435,0.173267,0.000001,-0.476855,1.304473,0.192522,0.000000,-0.485963,1.276620,0.251918,0.000001,-0.417093,1.269260,0.238685,0.000001,-0.472072,1.229224,0.213156,0.000000,-0.456087,1.270578,0.199154,0.000001,-0.444202,1.255597,0.172669,0.000001,-0.537473,1.266241,0.171443,,,,-0.485914,1.276067,0.249852,-0.416954,1.269834,0.236538,,,,-0.455658,1.269509,0.197238,-0.444268,1.254487,0.171083,-0.476191,1.305448,0.189625,-0.470601,1.229132,0.210497,,,,-0.443774,1.256388,0.181897,-0.479214,1.251161,0.228187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.537705,1.265611,0.171040,,,,-0.485988,1.275454,0.249211,-0.417117,1.269252,0.236000,,,,-0.455946,1.268966,0.196776,-0.444522,1.253897,0.170549,-0.477816,1.304185,0.190240,-0.470813,1.228684,0.210015,-0.480803,1.225329,0.206237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
