Format Version,1.23,Take Name,EXP_14B_008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.26.23.536 AM,Total Frames in Take,934,Total Exported Frames,934,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 2455,Unlabeled 2455,Unlabeled 2455,Unlabeled 2456,Unlabeled 2456,Unlabeled 2456,Unlabeled 2457,Unlabeled 2457,Unlabeled 2457,Unlabeled 2458,Unlabeled 2458,Unlabeled 2458,Unlabeled 2461,Unlabeled 2461,Unlabeled 2461,Unlabeled 2463,Unlabeled 2463,Unlabeled 2463,Unlabeled 2464,Unlabeled 2464,Unlabeled 2464,Unlabeled 2466,Unlabeled 2466,Unlabeled 2466,Unlabeled 2467,Unlabeled 2467,Unlabeled 2467,Unlabeled 2468,Unlabeled 2468,Unlabeled 2468,Unlabeled 2470,Unlabeled 2470,Unlabeled 2470,Unlabeled 2472,Unlabeled 2472,Unlabeled 2472,Unlabeled 2473,Unlabeled 2473,Unlabeled 2473,Unlabeled 2474,Unlabeled 2474,Unlabeled 2474,Unlabeled 2475,Unlabeled 2475,Unlabeled 2475,Unlabeled 2477,Unlabeled 2477,Unlabeled 2477,Unlabeled 2478,Unlabeled 2478,Unlabeled 2478,Unlabeled 2480,Unlabeled 2480,Unlabeled 2480,Unlabeled 2481,Unlabeled 2481,Unlabeled 2481,Unlabeled 2483,Unlabeled 2483,Unlabeled 2483,Unlabeled 2487,Unlabeled 2487,Unlabeled 2487,Unlabeled 2488,Unlabeled 2488,Unlabeled 2488,Unlabeled 2489,Unlabeled 2489,Unlabeled 2489,Unlabeled 2491,Unlabeled 2491,Unlabeled 2491,Unlabeled 2493,Unlabeled 2493,Unlabeled 2493,Unlabeled 2494,Unlabeled 2494,Unlabeled 2494,Unlabeled 2495,Unlabeled 2495,Unlabeled 2495,Unlabeled 2497,Unlabeled 2497,Unlabeled 2497,Unlabeled 2499,Unlabeled 2499,Unlabeled 2499,Unlabeled 2500,Unlabeled 2500,Unlabeled 2500,Unlabeled 2503,Unlabeled 2503,Unlabeled 2503,Unlabeled 2504,Unlabeled 2504,Unlabeled 2504,Unlabeled 2505,Unlabeled 2505,Unlabeled 2505,Unlabeled 2506,Unlabeled 2506,Unlabeled 2506,Unlabeled 2507,Unlabeled 2507,Unlabeled 2507,Unlabeled 2508,Unlabeled 2508,Unlabeled 2508,Unlabeled 2509,Unlabeled 2509,Unlabeled 2509,Unlabeled 2511,Unlabeled 2511,Unlabeled 2511,Unlabeled 2512,Unlabeled 2512,Unlabeled 2512,Unlabeled 2514,Unlabeled 2514,Unlabeled 2514,Unlabeled 2515,Unlabeled 2515,Unlabeled 2515,Unlabeled 2517,Unlabeled 2517,Unlabeled 2517,Unlabeled 2518,Unlabeled 2518,Unlabeled 2518,Unlabeled 2519,Unlabeled 2519,Unlabeled 2519,Unlabeled 2520,Unlabeled 2520,Unlabeled 2520,Unlabeled 2521,Unlabeled 2521,Unlabeled 2521,Unlabeled 2522,Unlabeled 2522,Unlabeled 2522,Unlabeled 2523,Unlabeled 2523,Unlabeled 2523,Unlabeled 2524,Unlabeled 2524,Unlabeled 2524,Unlabeled 2525,Unlabeled 2525,Unlabeled 2525,Unlabeled 2527,Unlabeled 2527,Unlabeled 2527,Unlabeled 2528,Unlabeled 2528,Unlabeled 2528,Unlabeled 2529,Unlabeled 2529,Unlabeled 2529,Unlabeled 2530,Unlabeled 2530,Unlabeled 2530,Unlabeled 2532,Unlabeled 2532,Unlabeled 2532,Unlabeled 2533,Unlabeled 2533,Unlabeled 2533,Unlabeled 2534,Unlabeled 2534,Unlabeled 2534,Unlabeled 2536,Unlabeled 2536,Unlabeled 2536,Unlabeled 2537,Unlabeled 2537,Unlabeled 2537,Unlabeled 2538,Unlabeled 2538,Unlabeled 2538,Unlabeled 2539,Unlabeled 2539,Unlabeled 2539,Unlabeled 2541,Unlabeled 2541,Unlabeled 2541,Unlabeled 2542,Unlabeled 2542,Unlabeled 2542,Unlabeled 2543,Unlabeled 2543,Unlabeled 2543,Unlabeled 2544,Unlabeled 2544,Unlabeled 2544,Unlabeled 2545,Unlabeled 2545,Unlabeled 2545,Unlabeled 2546,Unlabeled 2546,Unlabeled 2546,Unlabeled 2548,Unlabeled 2548,Unlabeled 2548,Unlabeled 2549,Unlabeled 2549,Unlabeled 2549,Unlabeled 2552,Unlabeled 2552,Unlabeled 2552,Unlabeled 2553,Unlabeled 2553,Unlabeled 2553,Unlabeled 2554,Unlabeled 2554,Unlabeled 2554,Unlabeled 2555,Unlabeled 2555,Unlabeled 2555,Unlabeled 2556,Unlabeled 2556,Unlabeled 2556,Unlabeled 2558,Unlabeled 2558,Unlabeled 2558,Unlabeled 2560,Unlabeled 2560,Unlabeled 2560,Unlabeled 2561,Unlabeled 2561,Unlabeled 2561,Unlabeled 2562,Unlabeled 2562,Unlabeled 2562,Unlabeled 2563,Unlabeled 2563,Unlabeled 2563,Unlabeled 2565,Unlabeled 2565,Unlabeled 2565,Unlabeled 2568,Unlabeled 2568,Unlabeled 2568,Unlabeled 2569,Unlabeled 2569,Unlabeled 2569,Unlabeled 2571,Unlabeled 2571,Unlabeled 2571,Unlabeled 2575,Unlabeled 2575,Unlabeled 2575,Unlabeled 2577,Unlabeled 2577,Unlabeled 2577,Unlabeled 2578,Unlabeled 2578,Unlabeled 2578,Unlabeled 2579,Unlabeled 2579,Unlabeled 2579,Unlabeled 2580,Unlabeled 2580,Unlabeled 2580,Unlabeled 2584,Unlabeled 2584,Unlabeled 2584,Unlabeled 2586,Unlabeled 2586,Unlabeled 2586,Unlabeled 2587,Unlabeled 2587,Unlabeled 2587
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","F9940","F9940","F9940","F9850","F9850","F9850","F9B30","F9B30","F9B30","F9710","F9710","F9710","18D319F11B9C11EE94BEEB68002F85","18D319F11B9C11EE94BEEB68002F85","18D319F11B9C11EE94BEEB68002F85","F9ED0","F9ED0","F9ED0","F9AE0","F9AE0","F9AE0","F9F30","F9F30","F9F30","FA030","FA030","FA030","F9F80","F9F80","F9F80","FA020","FA020","FA020","F9CF0","F9CF0","F9CF0","FA060","FA060","FA060","FA070","FA070","FA070","FA090","FA090","FA090","FA040","FA040","FA040","FA050","FA050","FA050","FA0B0","FA0B0","FA0B0","FA0E0","FA0E0","FA0E0","FA110","FA110","FA110","FA130","FA130","FA130","FA0F0","FA0F0","FA0F0","FA150","FA150","FA150","FA160","FA160","FA160","FA180","FA180","FA180","FA190","FA190","FA190","FA1A0","FA1A0","FA1A0","F9CC0","F9CC0","F9CC0","F9CD0","F9CD0","F9CD0","FA1F0","FA1F0","FA1F0","FA1E0","FA1E0","FA1E0","FA1D0","FA1D0","FA1D0","FA200","FA200","FA200","FA280","FA280","FA280","FA290","FA290","FA290","FA270","FA270","FA270","FA230","FA230","FA230","FA2C0","FA2C0","FA2C0","FA2B0","FA2B0","FA2B0","FA310","FA310","FA310","FA2E0","FA2E0","FA2E0","FA340","FA340","FA340","FA350","FA350","FA350","FA2D0","FA2D0","FA2D0","FA370","FA370","FA370","FA2F0","FA2F0","FA2F0","FA380","FA380","FA380","FA320","FA320","FA320","FA390","FA390","FA390","F9D00","F9D00","F9D00","FA3B0","FA3B0","FA3B0","FA3A0","FA3A0","FA3A0","FA3E0","FA3E0","FA3E0","FA400","FA400","FA400","FA3C0","FA3C0","FA3C0","FA410","FA410","FA410","FA3F0","FA3F0","FA3F0","FA420","FA420","FA420","FA460","FA460","FA460","FA430","FA430","FA430","FA440","FA440","FA440","FA480","FA480","FA480","FA450","FA450","FA450","FA490","FA490","FA490","FA520","FA520","FA520","FA4B0","FA4B0","FA4B0","FA4F0","FA4F0","FA4F0","FA510","FA510","FA510","FA4A0","FA4A0","FA4A0","FA530","FA530","FA530","FA550","FA550","FA550","FA560","FA560","FA560","FA580","FA580","FA580","FA570","FA570","FA570","FA540","FA540","FA540","FA5A0","FA5A0","FA5A0","FA5D0","FA5D0","FA5D0","FA5B0","FA5B0","FA5B0","FA630","FA630","FA630","FA650","FA650","FA650","FA610","FA610","FA610","FA620","FA620","FA620","FA5C0","FA5C0","FA5C0","FA680","FA680","FA680","FA670","FA670","FA670","FA5E0","FA5E0","FA5E0","FA600","FA600","FA600","FA6E0","FA6E0","FA6E0","FA6B0","FA6B0","FA6B0","FA6D0","FA6D0","FA6D0","FA780","FA780","FA780","FA730","FA730","FA730","FA790","FA790","FA790","FA7A0","FA7A0","FA7A0","FA770","FA770","FA770","FA7E0","FA7E0","FA7E0","FA830","FA830","FA830","FA810","FA810","FA810"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.347254,0.927044,-0.104485,0.095325,-0.467509,1.225818,0.214369,0.000293,-0.528644,1.220651,0.171158,0.000001,-0.472664,1.261141,0.196703,0.000001,-0.491128,1.238326,0.256076,0.090755,-0.420901,1.232023,0.255143,0.574419,-0.470152,1.188180,0.224657,0.000000,-0.452739,1.228633,0.209757,0.207142,-0.436336,1.211773,0.187089,0.104745,-0.529188,1.220631,0.172119,-0.473242,1.261638,0.197680,-0.491564,1.237722,0.256598,-0.421165,1.232162,0.255448,,,,-0.452583,1.228759,0.210525,-0.436841,1.211620,0.187812,-0.468898,1.187781,0.224086,-0.444952,1.220276,0.198870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.348234,0.926940,-0.102817,0.094575,-0.467911,1.226031,0.214710,0.000332,-0.529153,1.220840,0.171654,0.000001,-0.473186,1.261384,0.197142,0.000001,-0.491441,1.238391,0.256511,0.148293,-0.421205,1.232235,0.255372,0.595691,-0.470449,1.188363,0.224916,0.000000,-0.453159,1.228887,0.210065,0.000001,-0.436785,1.212114,0.187312,0.188142,-0.529542,1.220888,0.172617,-0.473726,1.261907,0.198225,-0.491816,1.237870,0.257072,-0.421360,1.232349,0.255727,,,,-0.453967,1.228154,0.210256,-0.437079,1.211996,0.188059,-0.468828,1.188112,0.224439,-0.445249,1.220609,0.199164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.349382,0.926844,-0.100448,0.093828,-0.468261,1.226255,0.215033,0.000285,-0.529630,1.221068,0.172157,0.000001,-0.473681,1.261659,0.197610,0.000001,-0.491686,1.238405,0.256955,0.148293,-0.421438,1.232428,0.255564,0.595691,-0.470672,1.188545,0.225110,0.000000,-0.453532,1.229165,0.210350,0.000001,-0.437190,1.212516,0.187483,0.188142,-0.529803,1.221166,0.173149,-0.473975,1.262241,0.198698,-0.491867,1.237976,0.257549,-0.421403,1.232321,0.255828,,,,-0.454322,1.228373,0.210436,-0.437402,1.212181,0.188305,-0.469151,1.188433,0.224675,-0.445742,1.220833,0.199635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.350169,0.926836,-0.098151,0.093401,-0.468553,1.226510,0.215381,0.000331,-0.530022,1.221374,0.172642,0.087674,-0.474081,1.261970,0.198108,0.000001,-0.491892,1.238458,0.257409,0.278583,-0.421638,1.232614,0.255817,0.475187,-0.470870,1.188757,0.225321,0.000000,-0.453841,1.229464,0.210672,0.000001,-0.437527,1.212932,0.187700,0.000001,-0.530034,1.221846,0.173423,-0.474096,1.262469,0.199098,-0.491781,1.238027,0.257977,-0.421466,1.232786,0.256282,,,,-0.454425,1.228511,0.210724,-0.437581,1.212420,0.188561,-0.469191,1.188594,0.224899,-0.445838,1.221110,0.199873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.350997,0.926836,-0.095549,0.092983,-0.468742,1.226780,0.215717,0.000219,-0.530319,1.221712,0.173125,0.087674,-0.474387,1.262305,0.198614,0.000001,-0.491988,1.238498,0.257860,0.278583,-0.421727,1.232798,0.256049,0.475187,-0.470959,1.188979,0.225497,0.000000,-0.454049,1.229784,0.210980,0.000001,-0.437767,1.213384,0.187891,0.000001,-0.530102,1.222175,0.173920,-0.473918,1.262574,0.199626,-0.491599,1.238113,0.258382,-0.421297,1.232836,0.256448,,,,-0.454453,1.228656,0.210932,-0.437644,1.212646,0.188707,-0.469131,1.188760,0.225113,-0.445844,1.221334,0.200092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.351691,0.926879,-0.093087,0.092434,-0.468849,1.227030,0.216042,0.000171,-0.530541,1.222036,0.173608,0.095856,-0.474600,1.262615,0.199100,0.000001,-0.491992,1.238540,0.258300,0.092266,-0.421728,1.232961,0.256263,0.209813,-0.470977,1.189187,0.225675,0.000000,-0.454175,1.230077,0.211275,0.000000,-0.437933,1.213797,0.188073,0.000001,-0.530135,1.222430,0.174314,-0.473857,1.262789,0.199939,-0.491342,1.238174,0.258817,-0.421011,1.232939,0.256596,,,,-0.454399,1.228717,0.211050,-0.437648,1.212823,0.188813,-0.469025,1.188824,0.225218,-0.445811,1.221597,0.200297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
