Format Version,1.23,Take Name,EXP_22B_012,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.27.53.643 AM,Total Frames in Take,933,Total Exported Frames,933,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 3011,Unlabeled 3011,Unlabeled 3011,Unlabeled 3012,Unlabeled 3012,Unlabeled 3012,Unlabeled 3013,Unlabeled 3013,Unlabeled 3013,Unlabeled 3014,Unlabeled 3014,Unlabeled 3014,Unlabeled 3015,Unlabeled 3015,Unlabeled 3015,Unlabeled 3016,Unlabeled 3016,Unlabeled 3016,Unlabeled 3017,Unlabeled 3017,Unlabeled 3017,Unlabeled 3018,Unlabeled 3018,Unlabeled 3018,Unlabeled 3020,Unlabeled 3020,Unlabeled 3020,Unlabeled 3021,Unlabeled 3021,Unlabeled 3021,Unlabeled 3022,Unlabeled 3022,Unlabeled 3022,Unlabeled 3023,Unlabeled 3023,Unlabeled 3023,Unlabeled 3025,Unlabeled 3025,Unlabeled 3025,Unlabeled 3026,Unlabeled 3026,Unlabeled 3026,Unlabeled 3027,Unlabeled 3027,Unlabeled 3027,Unlabeled 3030,Unlabeled 3030,Unlabeled 3030,Unlabeled 3032,Unlabeled 3032,Unlabeled 3032,Unlabeled 3034,Unlabeled 3034,Unlabeled 3034,Unlabeled 3035,Unlabeled 3035,Unlabeled 3035,Unlabeled 3038,Unlabeled 3038,Unlabeled 3038,Unlabeled 3039,Unlabeled 3039,Unlabeled 3039,Unlabeled 3042,Unlabeled 3042,Unlabeled 3042,Unlabeled 3044,Unlabeled 3044,Unlabeled 3044,Unlabeled 3045,Unlabeled 3045,Unlabeled 3045,Unlabeled 3046,Unlabeled 3046,Unlabeled 3046,Unlabeled 3047,Unlabeled 3047,Unlabeled 3047,Unlabeled 3048,Unlabeled 3048,Unlabeled 3048,Unlabeled 3049,Unlabeled 3049,Unlabeled 3049,Unlabeled 3050,Unlabeled 3050,Unlabeled 3050,Unlabeled 3051,Unlabeled 3051,Unlabeled 3051,Unlabeled 3052,Unlabeled 3052,Unlabeled 3052,Unlabeled 3053,Unlabeled 3053,Unlabeled 3053,Unlabeled 3054,Unlabeled 3054,Unlabeled 3054,Unlabeled 3055,Unlabeled 3055,Unlabeled 3055,Unlabeled 3057,Unlabeled 3057,Unlabeled 3057,Unlabeled 3058,Unlabeled 3058,Unlabeled 3058,Unlabeled 3060,Unlabeled 3060,Unlabeled 3060,Unlabeled 3061,Unlabeled 3061,Unlabeled 3061,Unlabeled 3062,Unlabeled 3062,Unlabeled 3062,Unlabeled 3063,Unlabeled 3063,Unlabeled 3063,Unlabeled 3064,Unlabeled 3064,Unlabeled 3064,Unlabeled 3065,Unlabeled 3065,Unlabeled 3065,Unlabeled 3066,Unlabeled 3066,Unlabeled 3066,Unlabeled 3067,Unlabeled 3067,Unlabeled 3067,Unlabeled 3068,Unlabeled 3068,Unlabeled 3068,Unlabeled 3069,Unlabeled 3069,Unlabeled 3069,Unlabeled 3070,Unlabeled 3070,Unlabeled 3070,Unlabeled 3071,Unlabeled 3071,Unlabeled 3071,Unlabeled 3072,Unlabeled 3072,Unlabeled 3072,Unlabeled 3074,Unlabeled 3074,Unlabeled 3074,Unlabeled 3075,Unlabeled 3075,Unlabeled 3075,Unlabeled 3078,Unlabeled 3078,Unlabeled 3078,Unlabeled 3079,Unlabeled 3079,Unlabeled 3079,Unlabeled 3080,Unlabeled 3080,Unlabeled 3080,Unlabeled 3081,Unlabeled 3081,Unlabeled 3081,Unlabeled 3082,Unlabeled 3082,Unlabeled 3082,Unlabeled 3083,Unlabeled 3083,Unlabeled 3083,Unlabeled 3084,Unlabeled 3084,Unlabeled 3084,Unlabeled 3085,Unlabeled 3085,Unlabeled 3085,Unlabeled 3086,Unlabeled 3086,Unlabeled 3086,Unlabeled 3087,Unlabeled 3087,Unlabeled 3087,Unlabeled 3088,Unlabeled 3088,Unlabeled 3088,Unlabeled 3089,Unlabeled 3089,Unlabeled 3089,Unlabeled 3090,Unlabeled 3090,Unlabeled 3090,Unlabeled 3091,Unlabeled 3091,Unlabeled 3091,Unlabeled 3092,Unlabeled 3092,Unlabeled 3092,Unlabeled 3094,Unlabeled 3094,Unlabeled 3094,Unlabeled 3095,Unlabeled 3095,Unlabeled 3095,Unlabeled 3096,Unlabeled 3096,Unlabeled 3096,Unlabeled 3099,Unlabeled 3099,Unlabeled 3099,Unlabeled 3100,Unlabeled 3100,Unlabeled 3100,Unlabeled 3101,Unlabeled 3101,Unlabeled 3101,Unlabeled 3102,Unlabeled 3102,Unlabeled 3102,Unlabeled 3103,Unlabeled 3103,Unlabeled 3103,Unlabeled 3104,Unlabeled 3104,Unlabeled 3104,Unlabeled 3105,Unlabeled 3105,Unlabeled 3105,Unlabeled 3106,Unlabeled 3106,Unlabeled 3106,Unlabeled 3107,Unlabeled 3107,Unlabeled 3107,Unlabeled 3108,Unlabeled 3108,Unlabeled 3108,Unlabeled 3109,Unlabeled 3109,Unlabeled 3109,Unlabeled 3111,Unlabeled 3111,Unlabeled 3111,Unlabeled 3112,Unlabeled 3112,Unlabeled 3112,Unlabeled 3114,Unlabeled 3114,Unlabeled 3114,Unlabeled 3115,Unlabeled 3115,Unlabeled 3115,Unlabeled 3117,Unlabeled 3117,Unlabeled 3117,Unlabeled 3118,Unlabeled 3118,Unlabeled 3118,Unlabeled 3119,Unlabeled 3119,Unlabeled 3119,Unlabeled 3120,Unlabeled 3120,Unlabeled 3120,Unlabeled 3121,Unlabeled 3121,Unlabeled 3121,Unlabeled 3122,Unlabeled 3122,Unlabeled 3122,Unlabeled 3123,Unlabeled 3123,Unlabeled 3123,Unlabeled 3124,Unlabeled 3124,Unlabeled 3124,Unlabeled 3125,Unlabeled 3125,Unlabeled 3125,Unlabeled 3127,Unlabeled 3127,Unlabeled 3127,Unlabeled 3128,Unlabeled 3128,Unlabeled 3128,Unlabeled 3129,Unlabeled 3129,Unlabeled 3129,Unlabeled 3130,Unlabeled 3130,Unlabeled 3130,Unlabeled 3131,Unlabeled 3131,Unlabeled 3131,Unlabeled 3132,Unlabeled 3132,Unlabeled 3132,Unlabeled 3133,Unlabeled 3133,Unlabeled 3133,Unlabeled 3134,Unlabeled 3134,Unlabeled 3134,Unlabeled 3135,Unlabeled 3135,Unlabeled 3135
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","FAA50","FAA50","FAA50","4E8DBF721B9C11EE94BEEB68002F85","4E8DBF721B9C11EE94BEEB68002F85","4E8DBF721B9C11EE94BEEB68002F85","FDBA0","FDBA0","FDBA0","FC840","FC840","FC840","4E8DBFAE1B9C11EE94BEEB68002F85","4E8DBFAE1B9C11EE94BEEB68002F85","4E8DBFAE1B9C11EE94BEEB68002F85","FDFD0","FDFD0","FDFD0","FD790","FD790","FD790","FD750","FD750","FD750","FE440","FE440","FE440","FE480","FE480","FE480","FE570","FE570","FE570","FE5E0","FE5E0","FE5E0","FE5D0","FE5D0","FE5D0","FE5C0","FE5C0","FE5C0","FE0E0","FE0E0","FE0E0","FE0F0","FE0F0","FE0F0","FDF40","FDF40","FDF40","FE600","FE600","FE600","FE610","FE610","FE610","FE640","FE640","FE640","FE620","FE620","FE620","FE630","FE630","FE630","FE660","FE660","FE660","FE6D0","FE6D0","FE6D0","FE6C0","FE6C0","FE6C0","FE6A0","FE6A0","FE6A0","FE730","FE730","FE730","FE740","FE740","FE740","FE750","FE750","FE750","FE5A0","FE5A0","FE5A0","FE760","FE760","FE760","FE6F0","FE6F0","FE6F0","FE790","FE790","FE790","FE7A0","FE7A0","FE7A0","FE7C0","FE7C0","FE7C0","FE7B0","FE7B0","FE7B0","FE770","FE770","FE770","FE780","FE780","FE780","FE680","FE680","FE680","FE7D0","FE7D0","FE7D0","FE7F0","FE7F0","FE7F0","FE7E0","FE7E0","FE7E0","FE820","FE820","FE820","FE850","FE850","FE850","FE870","FE870","FE870","FE890","FE890","FE890","FE860","FE860","FE860","FE810","FE810","FE810","FE840","FE840","FE840","FE8A0","FE8A0","FE8A0","FE880","FE880","FE880","FE8C0","FE8C0","FE8C0","FE8E0","FE8E0","FE8E0","FE8B0","FE8B0","FE8B0","FE900","FE900","FE900","FE8D0","FE8D0","FE8D0","FE950","FE950","FE950","FE960","FE960","FE960","FE980","FE980","FE980","FE990","FE990","FE990","FE9A0","FE9A0","FE9A0","FE9B0","FE9B0","FE9B0","FE8F0","FE8F0","FE8F0","FE9C0","FE9C0","FE9C0","FE9D0","FE9D0","FE9D0","FE930","FE930","FE930","FE920","FE920","FE920","FDAB0","FDAB0","FDAB0","FE9E0","FE9E0","FE9E0","FEA20","FEA20","FEA20","FE9F0","FE9F0","FE9F0","FEA10","FEA10","FEA10","FEA50","FEA50","FEA50","FEA40","FEA40","FEA40","FEA70","FEA70","FEA70","FEA60","FEA60","FEA60","FEAB0","FEAB0","FEAB0","FEAC0","FEAC0","FEAC0","FEAD0","FEAD0","FEAD0","FEB10","FEB10","FEB10","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB00","FEB00","FEB00","FEB20","FEB20","FEB20","FEA30","FEA30","FEA30","FEB50","FEB50","FEB50","FEB70","FEB70","FEB70","FEB60","FEB60","FEB60","FEBC0","FEBC0","FEBC0","FEB40","FEB40","FEB40","FEBA0","FEBA0","FEBA0","FEBF0","FEBF0","FEBF0","FEC20","FEC20","FEC20","FEBE0","FEBE0","FEBE0","FEC00","FEC00","FEC00","FEC50","FEC50","FEC50","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC10","FEC10","FEC10","FEC60","FEC60","FEC60","FEC70","FEC70","FEC70","FEBB0","FEBB0","FEBB0","FEC80","FEC80","FEC80","FEC90","FEC90","FEC90","FEA90","FEA90","FEA90","FECB0","FECB0","FECB0","FECA0","FECA0","FECA0","FECE0","FECE0","FECE0","FECD0","FECD0","FECD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.331788,0.939547,-0.061405,0.058285,-0.508127,1.333643,0.181663,0.000243,-0.573302,1.333214,0.144469,0.000001,-0.513554,1.370138,0.166663,0.000000,-0.527096,1.344360,0.226150,0.090486,-0.457593,1.335749,0.217930,0.397838,-0.511258,1.295556,0.189969,0.000000,-0.493770,1.336234,0.175787,0.000001,-0.480314,1.320251,0.150674,0.000001,-0.573535,1.332651,0.145313,,,,-0.527414,1.343717,0.226711,-0.457755,1.336189,0.218308,,,,-0.494190,1.334829,0.176134,-0.480790,1.319603,0.151317,-0.513470,1.371531,0.166613,-0.519536,1.320382,0.208957,-0.509601,1.295591,0.190033,-0.514338,1.302967,0.183854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.331430,0.939688,-0.061438,0.058024,-0.508341,1.333484,0.181878,0.000222,-0.573532,1.333101,0.144712,0.000001,-0.513745,1.369981,0.166874,0.000000,-0.527282,1.344223,0.226372,0.000001,-0.457789,1.335555,0.218122,0.291371,-0.511499,1.295400,0.190192,0.000000,-0.493984,1.336062,0.175995,0.000001,-0.480552,1.320064,0.150879,0.000001,-0.574045,1.332573,0.145533,,,,-0.527755,1.343508,0.226988,-0.458119,1.336069,0.218482,,,,-0.494735,1.334593,0.176428,-0.481326,1.319431,0.151594,-0.514033,1.371338,0.166909,,,,-0.510310,1.294956,0.190060,-0.512067,1.304952,0.183163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.331268,0.939765,-0.061515,0.057608,-0.508630,1.333317,0.182127,0.000211,-0.573849,1.332947,0.145008,0.000001,-0.514030,1.369811,0.167112,0.000000,-0.527535,1.344082,0.226630,0.000001,-0.458052,1.335382,0.218333,0.291371,-0.511798,1.295238,0.190458,0.000000,-0.494277,1.335887,0.176232,0.000001,-0.480870,1.319874,0.151113,0.000001,-0.574587,1.332318,0.145945,,,,-0.528190,1.343417,0.227319,-0.458639,1.335994,0.218788,,,,-0.495212,1.334454,0.176767,-0.481835,1.319286,0.151850,-0.514597,1.371108,0.167177,-0.520280,1.320425,0.209896,-0.510795,1.294848,0.190455,-0.512397,1.304943,0.183343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.331205,0.939810,-0.061592,0.057150,-0.509009,1.333123,0.182387,0.000183,-0.574258,1.332750,0.145321,0.000001,-0.514413,1.369611,0.167361,0.000000,-0.527875,1.343911,0.226900,0.000001,-0.458401,1.335193,0.218552,0.000001,-0.512178,1.295048,0.190737,0.000000,-0.494660,1.335687,0.176480,0.000001,-0.481276,1.319660,0.151357,0.000001,-0.575259,1.332068,0.146251,,,,-0.528743,1.343335,0.227554,-0.459164,1.335976,0.219037,,,,-0.495648,1.334430,0.177023,-0.482448,1.319195,0.152097,-0.515245,1.370955,0.167409,-0.520789,1.320375,0.210296,-0.511278,1.294782,0.190761,-0.512620,1.304986,0.183464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.331175,0.939843,-0.061671,0.056690,-0.509468,1.332936,0.182658,0.000125,-0.574747,1.332556,0.145645,0.000001,-0.514879,1.369419,0.167620,0.000000,-0.528297,1.343747,0.227182,0.000001,-0.458831,1.335015,0.218781,0.000001,-0.512637,1.294866,0.191027,0.000000,-0.495124,1.335496,0.176738,0.000001,-0.481763,1.319456,0.151611,0.000001,-0.576033,1.331951,0.146563,,,,-0.529385,1.343280,0.227778,-0.459763,1.335994,0.219237,,,,-0.496246,1.334437,0.177394,-0.483038,1.319151,0.152351,-0.515890,1.370834,0.167604,,,,-0.511796,1.294834,0.191037,-0.512902,1.305190,0.183584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.331420,0.939770,-0.061912,0.056217,-0.509998,1.332737,0.182938,0.000158,-0.575305,1.332300,0.145975,0.000001,-0.515436,1.369205,0.167875,0.000000,-0.528798,1.343576,0.227468,0.000001,-0.459335,1.334867,0.219021,0.000001,-0.513144,1.294672,0.191341,0.000000,-0.495660,1.335298,0.177006,0.000001,-0.482311,1.319244,0.151882,0.000001,-0.576670,1.331511,0.146869,,,,-0.530105,1.343121,0.228055,-0.460359,1.335999,0.219405,,,,-0.496876,1.334427,0.177598,-0.483769,1.318969,0.152627,-0.516318,1.370302,0.167878,-0.522038,1.319770,0.210535,-0.512315,1.294796,0.191437,-0.513107,1.305511,0.183674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
