Format Version,1.23,Take Name,EXP_23C_015,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.29.41.571 AM,Total Frames in Take,926,Total Exported Frames,926,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 3397,Unlabeled 3397,Unlabeled 3397,Unlabeled 3398,Unlabeled 3398,Unlabeled 3398,Unlabeled 3399,Unlabeled 3399,Unlabeled 3399,Unlabeled 3400,Unlabeled 3400,Unlabeled 3400,Unlabeled 3401,Unlabeled 3401,Unlabeled 3401,Unlabeled 3405,Unlabeled 3405,Unlabeled 3405,Unlabeled 3406,Unlabeled 3406,Unlabeled 3406,Unlabeled 3409,Unlabeled 3409,Unlabeled 3409,Unlabeled 3410,Unlabeled 3410,Unlabeled 3410,Unlabeled 3413,Unlabeled 3413,Unlabeled 3413,Unlabeled 3414,Unlabeled 3414,Unlabeled 3414,Unlabeled 3415,Unlabeled 3415,Unlabeled 3415,Unlabeled 3416,Unlabeled 3416,Unlabeled 3416,Unlabeled 3417,Unlabeled 3417,Unlabeled 3417,Unlabeled 3418,Unlabeled 3418,Unlabeled 3418,Unlabeled 3419,Unlabeled 3419,Unlabeled 3419,Unlabeled 3421,Unlabeled 3421,Unlabeled 3421,Unlabeled 3422,Unlabeled 3422,Unlabeled 3422,Unlabeled 3423,Unlabeled 3423,Unlabeled 3423,Unlabeled 3424,Unlabeled 3424,Unlabeled 3424,Unlabeled 3426,Unlabeled 3426,Unlabeled 3426,Unlabeled 3428,Unlabeled 3428,Unlabeled 3428,Unlabeled 3429,Unlabeled 3429,Unlabeled 3429,Unlabeled 3430,Unlabeled 3430,Unlabeled 3430,Unlabeled 3431,Unlabeled 3431,Unlabeled 3431,Unlabeled 3432,Unlabeled 3432,Unlabeled 3432,Unlabeled 3433,Unlabeled 3433,Unlabeled 3433,Unlabeled 3434,Unlabeled 3434,Unlabeled 3434,Unlabeled 3435,Unlabeled 3435,Unlabeled 3435,Unlabeled 3436,Unlabeled 3436,Unlabeled 3436,Unlabeled 3437,Unlabeled 3437,Unlabeled 3437,Unlabeled 3438,Unlabeled 3438,Unlabeled 3438,Unlabeled 3440,Unlabeled 3440,Unlabeled 3440,Unlabeled 3441,Unlabeled 3441,Unlabeled 3441,Unlabeled 3442,Unlabeled 3442,Unlabeled 3442,Unlabeled 3443,Unlabeled 3443,Unlabeled 3443,Unlabeled 3445,Unlabeled 3445,Unlabeled 3445,Unlabeled 3446,Unlabeled 3446,Unlabeled 3446,Unlabeled 3447,Unlabeled 3447,Unlabeled 3447,Unlabeled 3448,Unlabeled 3448,Unlabeled 3448,Unlabeled 3450,Unlabeled 3450,Unlabeled 3450,Unlabeled 3451,Unlabeled 3451,Unlabeled 3451,Unlabeled 3453,Unlabeled 3453,Unlabeled 3453,Unlabeled 3454,Unlabeled 3454,Unlabeled 3454,Unlabeled 3455,Unlabeled 3455,Unlabeled 3455,Unlabeled 3457,Unlabeled 3457,Unlabeled 3457,Unlabeled 3458,Unlabeled 3458,Unlabeled 3458,Unlabeled 3460,Unlabeled 3460,Unlabeled 3460,Unlabeled 3462,Unlabeled 3462,Unlabeled 3462,Unlabeled 3466,Unlabeled 3466,Unlabeled 3466,Unlabeled 3467,Unlabeled 3467,Unlabeled 3467,Unlabeled 3468,Unlabeled 3468,Unlabeled 3468,Unlabeled 3469,Unlabeled 3469,Unlabeled 3469,Unlabeled 3470,Unlabeled 3470,Unlabeled 3470,Unlabeled 3471,Unlabeled 3471,Unlabeled 3471,Unlabeled 3472,Unlabeled 3472,Unlabeled 3472,Unlabeled 3473,Unlabeled 3473,Unlabeled 3473,Unlabeled 3474,Unlabeled 3474,Unlabeled 3474,Unlabeled 3475,Unlabeled 3475,Unlabeled 3475,Unlabeled 3476,Unlabeled 3476,Unlabeled 3476,Unlabeled 3477,Unlabeled 3477,Unlabeled 3477,Unlabeled 3479,Unlabeled 3479,Unlabeled 3479,Unlabeled 3480,Unlabeled 3480,Unlabeled 3480,Unlabeled 3481,Unlabeled 3481,Unlabeled 3481,Unlabeled 3482,Unlabeled 3482,Unlabeled 3482,Unlabeled 3483,Unlabeled 3483,Unlabeled 3483,Unlabeled 3485,Unlabeled 3485,Unlabeled 3485,Unlabeled 3486,Unlabeled 3486,Unlabeled 3486,Unlabeled 3487,Unlabeled 3487,Unlabeled 3487,Unlabeled 3488,Unlabeled 3488,Unlabeled 3488,Unlabeled 3489,Unlabeled 3489,Unlabeled 3489,Unlabeled 3490,Unlabeled 3490,Unlabeled 3490,Unlabeled 3491,Unlabeled 3491,Unlabeled 3491,Unlabeled 3492,Unlabeled 3492,Unlabeled 3492,Unlabeled 3493,Unlabeled 3493,Unlabeled 3493,Unlabeled 3494,Unlabeled 3494,Unlabeled 3494
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","FAA50","FAA50","FAA50","9037FBD61B9C11EE94BEEB68002F85","9037FBD61B9C11EE94BEEB68002F85","9037FBD61B9C11EE94BEEB68002F85","FDBA0","FDBA0","FDBA0","102950","102950","102950","9037FBE91B9C11EE94BEEB68002F85","9037FBE91B9C11EE94BEEB68002F85","9037FBE91B9C11EE94BEEB68002F85","102910","102910","102910","102680","102680","102680","102650","102650","102650","102A20","102A20","102A20","102CA0","102CA0","102CA0","102D30","102D30","102D30","102DA0","102DA0","102DA0","102DE0","102DE0","102DE0","102DD0","102DD0","102DD0","102CC0","102CC0","102CC0","102DF0","102DF0","102DF0","102B80","102B80","102B80","102E20","102E20","102E20","102E50","102E50","102E50","102E40","102E40","102E40","102E80","102E80","102E80","102E90","102E90","102E90","102EB0","102EB0","102EB0","102E60","102E60","102E60","102ED0","102ED0","102ED0","102EC0","102EC0","102EC0","102EF0","102EF0","102EF0","102F00","102F00","102F00","102E70","102E70","102E70","102F20","102F20","102F20","102F30","102F30","102F30","102F50","102F50","102F50","102F40","102F40","102F40","102F60","102F60","102F60","102F10","102F10","102F10","102F70","102F70","102F70","102A50","102A50","102A50","1029A0","1029A0","1029A0","102960","102960","102960","102F80","102F80","102F80","102780","102780","102780","102FD0","102FD0","102FD0","102FA0","102FA0","102FA0","103010","103010","103010","103060","103060","103060","102FF0","102FF0","102FF0","103070","103070","103070","102FB0","102FB0","102FB0","1030A0","1030A0","1030A0","1030B0","1030B0","1030B0","1030C0","1030C0","1030C0","1030D0","1030D0","1030D0","1030E0","1030E0","1030E0","103020","103020","103020","103030","103030","103030","103000","103000","103000","103110","103110","103110","103170","103170","103170","1031A0","1031A0","1031A0","1031B0","1031B0","1031B0","1031C0","1031C0","1031C0","103150","103150","103150","1031D0","1031D0","1031D0","103160","103160","103160","1031F0","1031F0","1031F0","103200","103200","103200","1031E0","1031E0","1031E0","103230","103230","103230","103250","103250","103250","103270","103270","103270","103290","103290","103290","103260","103260","103260","1032B0","1032B0","1032B0","103280","103280","103280","1032D0","1032D0","1032D0","1032C0","1032C0","1032C0","1032E0","1032E0","1032E0","1032F0","1032F0","1032F0","103310","103310","103310","103330","103330","103330","103320","103320","103320","103300","103300","103300","103340","103340","103340"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.321036,0.923579,-0.126495,0.167142,-0.459542,1.237802,0.209827,0.000260,-0.513417,1.235314,0.157646,0.000001,-0.460696,1.273473,0.192147,0.000000,-0.488872,1.250717,0.247599,0.000001,-0.419600,1.241879,0.257380,0.009683,-0.465029,1.200178,0.218981,0.000000,-0.444149,1.240127,0.207588,0.000001,-0.425032,1.222923,0.187445,0.000001,-0.514764,1.234969,0.158139,,,,-0.490210,1.249963,0.247724,-0.420560,1.241815,0.257145,,,,-0.445283,1.239271,0.207691,-0.426212,1.222550,0.187828,-0.462436,1.274189,0.192749,-0.435373,1.231319,0.198668,-0.464119,1.199771,0.218254,-0.745368,0.852810,0.260511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.321788,0.923434,-0.125803,0.167018,-0.460168,1.237416,0.210066,0.000221,-0.514081,1.234886,0.157927,0.000001,-0.461396,1.273102,0.192419,0.000000,-0.489489,1.250248,0.247873,0.000001,-0.420194,1.241517,0.257591,0.009683,-0.465584,1.199775,0.219190,0.000000,-0.444781,1.239770,0.207817,0.000001,-0.425651,1.222616,0.187643,0.000001,-0.515341,1.234285,0.158423,,,,-0.490695,1.249289,0.247962,-0.421328,1.241876,0.257475,,,,-0.445778,1.239002,0.207872,-0.426858,1.222206,0.187953,-0.462517,1.274219,0.192447,-0.435514,1.230984,0.197943,-0.464864,1.199136,0.218492,-0.745236,0.852761,0.260414,-0.456573,1.214599,0.211959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.322561,0.923299,-0.125108,0.166795,-0.460799,1.237022,0.210278,0.000329,-0.514759,1.234444,0.158191,0.000001,-0.462104,1.272720,0.192663,0.000000,-0.490103,1.249772,0.248126,0.000001,-0.420784,1.241150,0.257766,0.000001,-0.466141,1.199364,0.219376,0.000000,-0.445418,1.239403,0.208015,0.000001,-0.426280,1.222299,0.187808,0.000001,-0.516014,1.233859,0.158635,,,,-0.491234,1.248860,0.248148,-0.421906,1.241467,0.257299,,,,-0.446304,1.238594,0.207859,-0.427426,1.221919,0.188065,-0.463798,1.273247,0.193301,-0.435985,1.230828,0.198283,-0.465347,1.198920,0.218689,-0.745208,0.852740,0.260506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.323209,0.923165,-0.124713,0.166579,-0.461444,1.236614,0.210472,0.000229,-0.515442,1.233981,0.158427,0.000001,-0.462812,1.272317,0.192871,0.000000,-0.490737,1.249312,0.248347,0.000001,-0.421399,1.240781,0.257931,0.000001,-0.466729,1.198946,0.219561,0.000000,-0.446068,1.239017,0.208199,0.000001,-0.426923,1.221946,0.187971,0.000001,-0.516608,1.233356,0.158704,,,,-0.491815,1.248506,0.248307,-0.422489,1.241222,0.257631,,,,-0.447014,1.238252,0.208024,-0.428041,1.221462,0.188207,-0.464435,1.272916,0.193427,-0.436674,1.230433,0.198386,-0.466561,1.199534,0.219477,-0.745211,0.852785,0.260435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.323647,0.923076,-0.124427,0.166436,-0.462105,1.236216,0.210626,0.000219,-0.516127,1.233547,0.158608,0.000001,-0.463515,1.271922,0.193035,0.000000,-0.491389,1.248876,0.248520,0.000001,-0.422038,1.240407,0.258065,0.000001,-0.467350,1.198540,0.219708,0.000000,-0.446733,1.238634,0.208345,0.000001,-0.427582,1.221586,0.188102,0.000001,-0.517280,1.233076,0.158742,,,,-0.492532,1.248201,0.248284,-0.422999,1.240827,0.257561,,,,-0.447591,1.237947,0.208072,-0.428607,1.221081,0.188202,-0.465043,1.272626,0.193409,-0.437322,1.230005,0.198376,-0.467175,1.199151,0.219593,-0.745400,0.852833,0.260498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.323832,0.923069,-0.124171,0.166304,-0.462778,1.235806,0.210732,0.000203,-0.516824,1.233132,0.158738,0.000001,-0.464211,1.271517,0.193153,0.000000,-0.492050,1.248443,0.248643,0.000001,-0.422692,1.239998,0.258154,0.000001,-0.468004,1.198125,0.219804,0.000000,-0.447408,1.238231,0.208445,0.000001,-0.428260,1.221197,0.188188,0.000001,-0.517913,1.232766,0.158727,,,,-0.493139,1.247847,0.248297,-0.423558,1.240492,0.257544,,,,-0.448289,1.237430,0.207974,-0.429249,1.220663,0.188124,-0.465738,1.272276,0.193220,-0.437879,1.229633,0.198306,-0.467065,1.197714,0.218842,-0.745363,0.852827,0.260568,-0.464693,1.207052,0.211953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
