Format Version,1.23,Take Name,EXP_24A_016,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.30.03.395 AM,Total Frames in Take,1020,Total Exported Frames,1020,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 3500,Unlabeled 3500,Unlabeled 3500,Unlabeled 3501,Unlabeled 3501,Unlabeled 3501,Unlabeled 3502,Unlabeled 3502,Unlabeled 3502,Unlabeled 3505,Unlabeled 3505,Unlabeled 3505,Unlabeled 3507,Unlabeled 3507,Unlabeled 3507,Unlabeled 3508,Unlabeled 3508,Unlabeled 3508,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3511,Unlabeled 3511,Unlabeled 3511,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514,Unlabeled 3515,Unlabeled 3515,Unlabeled 3515,Unlabeled 3517,Unlabeled 3517,Unlabeled 3517,Unlabeled 3518,Unlabeled 3518,Unlabeled 3518,Unlabeled 3520,Unlabeled 3520,Unlabeled 3520,Unlabeled 3521,Unlabeled 3521,Unlabeled 3521,Unlabeled 3522,Unlabeled 3522,Unlabeled 3522,Unlabeled 3523,Unlabeled 3523,Unlabeled 3523,Unlabeled 3525,Unlabeled 3525,Unlabeled 3525,Unlabeled 3527,Unlabeled 3527,Unlabeled 3527,Unlabeled 3529,Unlabeled 3529,Unlabeled 3529,Unlabeled 3530,Unlabeled 3530,Unlabeled 3530,Unlabeled 3532,Unlabeled 3532,Unlabeled 3532,Unlabeled 3533,Unlabeled 3533,Unlabeled 3533,Unlabeled 3536,Unlabeled 3536,Unlabeled 3536,Unlabeled 3537,Unlabeled 3537,Unlabeled 3537,Unlabeled 3538,Unlabeled 3538,Unlabeled 3538,Unlabeled 3539,Unlabeled 3539,Unlabeled 3539,Unlabeled 3540,Unlabeled 3540,Unlabeled 3540,Unlabeled 3541,Unlabeled 3541,Unlabeled 3541,Unlabeled 3543,Unlabeled 3543,Unlabeled 3543,Unlabeled 3544,Unlabeled 3544,Unlabeled 3544,Unlabeled 3547,Unlabeled 3547,Unlabeled 3547,Unlabeled 3548,Unlabeled 3548,Unlabeled 3548,Unlabeled 3549,Unlabeled 3549,Unlabeled 3549,Unlabeled 3551,Unlabeled 3551,Unlabeled 3551,Unlabeled 3552,Unlabeled 3552,Unlabeled 3552,Unlabeled 3553,Unlabeled 3553,Unlabeled 3553,Unlabeled 3554,Unlabeled 3554,Unlabeled 3554,Unlabeled 3555,Unlabeled 3555,Unlabeled 3555,Unlabeled 3556,Unlabeled 3556,Unlabeled 3556,Unlabeled 3557,Unlabeled 3557,Unlabeled 3557,Unlabeled 3558,Unlabeled 3558,Unlabeled 3558,Unlabeled 3559,Unlabeled 3559,Unlabeled 3559,Unlabeled 3560,Unlabeled 3560,Unlabeled 3560,Unlabeled 3562,Unlabeled 3562,Unlabeled 3562,Unlabeled 3563,Unlabeled 3563,Unlabeled 3563,Unlabeled 3564,Unlabeled 3564,Unlabeled 3564,Unlabeled 3565,Unlabeled 3565,Unlabeled 3565,Unlabeled 3566,Unlabeled 3566,Unlabeled 3566,Unlabeled 3567,Unlabeled 3567,Unlabeled 3567,Unlabeled 3568,Unlabeled 3568,Unlabeled 3568,Unlabeled 3569,Unlabeled 3569,Unlabeled 3569,Unlabeled 3570,Unlabeled 3570,Unlabeled 3570,Unlabeled 3571,Unlabeled 3571,Unlabeled 3571,Unlabeled 3572,Unlabeled 3572,Unlabeled 3572,Unlabeled 3573,Unlabeled 3573,Unlabeled 3573,Unlabeled 3574,Unlabeled 3574,Unlabeled 3574,Unlabeled 3575,Unlabeled 3575,Unlabeled 3575,Unlabeled 3576,Unlabeled 3576,Unlabeled 3576,Unlabeled 3577,Unlabeled 3577,Unlabeled 3577,Unlabeled 3578,Unlabeled 3578,Unlabeled 3578,Unlabeled 3581,Unlabeled 3581,Unlabeled 3581,Unlabeled 3582,Unlabeled 3582,Unlabeled 3582,Unlabeled 3584,Unlabeled 3584,Unlabeled 3584,Unlabeled 3585,Unlabeled 3585,Unlabeled 3585,Unlabeled 3588,Unlabeled 3588,Unlabeled 3588,Unlabeled 3589,Unlabeled 3589,Unlabeled 3589,Unlabeled 3590,Unlabeled 3590,Unlabeled 3590,Unlabeled 3591,Unlabeled 3591,Unlabeled 3591,Unlabeled 3592,Unlabeled 3592,Unlabeled 3592,Unlabeled 3593,Unlabeled 3593,Unlabeled 3593,Unlabeled 3594,Unlabeled 3594,Unlabeled 3594
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","FAA50","FAA50","FAA50","9C28DB011B9C11EE94BEEB68002F85","9C28DB011B9C11EE94BEEB68002F85","9C28DB011B9C11EE94BEEB68002F85","FDBA0","FDBA0","FDBA0","102950","102950","102950","9C28DB1D1B9C11EE94BEEB68002F85","9C28DB1D1B9C11EE94BEEB68002F85","9C28DB1D1B9C11EE94BEEB68002F85","103D60","103D60","103D60","103C10","103C10","103C10","102650","102650","102650","103D90","103D90","103D90","103FD0","103FD0","103FD0","103F60","103F60","103F60","104050","104050","104050","104080","104080","104080","104070","104070","104070","103F80","103F80","103F80","103FC0","103FC0","103FC0","103D40","103D40","103D40","1040A0","1040A0","1040A0","1040D0","1040D0","1040D0","1040C0","1040C0","1040C0","104110","104110","104110","104130","104130","104130","104120","104120","104120","104140","104140","104140","104170","104170","104170","104150","104150","104150","1040E0","1040E0","1040E0","104180","104180","104180","104190","104190","104190","1041F0","1041F0","1041F0","1041B0","1041B0","1041B0","104210","104210","104210","104230","104230","104230","104240","104240","104240","104250","104250","104250","104270","104270","104270","104280","104280","104280","104260","104260","104260","1042A0","1042A0","1042A0","104220","104220","104220","1041E0","1041E0","1041E0","1041D0","1041D0","1041D0","103880","103880","103880","1042E0","1042E0","1042E0","104300","104300","104300","1042D0","1042D0","1042D0","104310","104310","104310","104360","104360","104360","1042F0","1042F0","1042F0","104370","104370","104370","104380","104380","104380","104390","104390","104390","1043C0","1043C0","1043C0","1043A0","1043A0","1043A0","1043E0","1043E0","1043E0","1043F0","1043F0","1043F0","104420","104420","104420","1043D0","1043D0","1043D0","104400","104400","104400","104410","104410","104410","104430","104430","104430","104320","104320","104320","104330","104330","104330","104440","104440","104440","104450","104450","104450","104470","104470","104470","1044B0","1044B0","1044B0","104490","104490","104490","104460","104460","104460","1044D0","1044D0","1044D0","1044F0","1044F0","1044F0","104530","104530","104530","104520","104520","104520","104560","104560","104560","104540","104540","104540","1045A0","1045A0","1045A0","104590","104590","104590","104580","104580","104580","1045D0","1045D0","1045D0","1045B0","1045B0","1045B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.335290,0.936814,-0.058978,0.080512,-0.466570,1.225161,0.201173,0.000128,-0.530198,1.224712,0.161391,0.000001,-0.471823,1.261870,0.186639,0.000000,-0.487425,1.234830,0.245052,0.000001,-0.417553,1.227143,0.239471,0.000001,-0.469582,1.186892,0.208647,0.000000,-0.452022,1.228020,0.195926,0.000001,-0.437386,1.212662,0.171085,0.000001,-0.531761,1.224960,0.162067,,,,-0.488992,1.234990,0.245440,-0.419032,1.228612,0.240016,,,,-0.453364,1.228158,0.196492,-0.438785,1.213007,0.171820,-0.474179,1.263148,0.187463,-0.445858,1.222635,0.182683,-0.468832,1.187669,0.208481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.335133,0.936854,-0.058842,0.080795,-0.467037,1.225246,0.201625,0.000183,-0.530647,1.224833,0.161813,0.000001,-0.472274,1.261963,0.187106,0.000000,-0.487910,1.234899,0.245499,0.000001,-0.418037,1.227196,0.239946,0.000001,-0.470062,1.186974,0.209079,0.000000,-0.452485,1.228103,0.196386,0.000001,-0.437843,1.212753,0.171544,0.000001,-0.532464,1.225087,0.162506,,,,-0.489426,1.235044,0.245908,-0.419325,1.228552,0.240220,,,,-0.454203,1.227885,0.196913,-0.439453,1.213118,0.172296,-0.474157,1.264252,0.187199,-0.446429,1.222900,0.182947,-0.469388,1.187718,0.208991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.335276,0.936833,-0.058432,0.080738,-0.467543,1.225347,0.202054,0.000172,-0.531169,1.224940,0.162267,0.000001,-0.472798,1.262072,0.187563,0.000000,-0.488402,1.234962,0.245943,0.000001,-0.418529,1.227287,0.240357,0.000001,-0.470553,1.187069,0.209482,0.000000,-0.452995,1.228213,0.196811,0.000001,-0.438357,1.212885,0.171953,0.000001,-0.533111,1.225123,0.162988,,,,-0.489897,1.235061,0.246421,-0.419835,1.228717,0.240420,,,,-0.454578,1.228177,0.197064,-0.440097,1.213334,0.172525,-0.475335,1.263549,0.188235,-0.447050,1.222925,0.183255,-0.469890,1.187981,0.209312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.336136,0.936614,-0.057669,0.080255,-0.468113,1.225535,0.202456,0.000243,-0.531798,1.225049,0.162764,0.000001,-0.473457,1.262264,0.188008,0.000000,-0.488925,1.235071,0.246385,0.000001,-0.419046,1.227528,0.240689,0.000001,-0.471042,1.187244,0.209853,0.000000,-0.453578,1.228432,0.197195,0.000001,-0.438949,1.213155,0.172300,0.000001,-0.533844,1.225240,0.163579,,,,-0.490436,1.235082,0.246847,-0.420480,1.229102,0.240586,,,,-0.455662,1.228199,0.196884,-0.440850,1.213711,0.172527,-0.475474,1.264409,0.187939,-0.447689,1.222929,0.183509,-0.470404,1.188049,0.209621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.337088,0.936374,-0.056970,0.079562,-0.468733,1.225743,0.202858,0.000270,-0.532490,1.225158,0.163283,0.000001,-0.474176,1.262471,0.188444,0.000000,-0.489482,1.235209,0.246832,0.000001,-0.419600,1.227808,0.241002,0.000001,-0.471573,1.187442,0.210235,0.000000,-0.454214,1.228673,0.197572,0.000001,-0.439600,1.213440,0.172641,0.000001,-0.534620,1.225413,0.164140,,,,-0.491029,1.235229,0.247254,-0.421122,1.229249,0.240800,,,,-0.456192,1.228368,0.197189,-0.441489,1.213920,0.172874,-0.476030,1.264656,0.188330,-0.448362,1.222982,0.183697,-0.471184,1.188295,0.209864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.337213,0.936424,-0.056159,0.079019,-0.469418,1.225890,0.203253,0.000134,-0.533237,1.225333,0.163777,0.000001,-0.474894,1.262633,0.188889,0.000000,-0.490100,1.235300,0.247270,0.000001,-0.420225,1.227925,0.241320,0.000001,-0.472236,1.187580,0.210590,0.000000,-0.454908,1.228830,0.197947,0.000001,-0.440330,1.213630,0.172975,0.000001,-0.535465,1.225671,0.164458,,,,-0.491605,1.235324,0.247543,-0.421776,1.229382,0.241034,,,,-0.456708,1.228613,0.197358,-0.442361,1.213972,0.173193,-0.477772,1.263837,0.189571,-0.449228,1.223290,0.183972,-0.476625,1.195027,0.205884,-0.479156,1.176138,0.198178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
