Format Version,1.23,Take Name,EXP_24B_017,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.30.21.488 AM,Total Frames in Take,1020,Total Exported Frames,1020,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 3600,Unlabeled 3600,Unlabeled 3600,Unlabeled 3601,Unlabeled 3601,Unlabeled 3601,Unlabeled 3602,Unlabeled 3602,Unlabeled 3602,Unlabeled 3603,Unlabeled 3603,Unlabeled 3603,Unlabeled 3605,Unlabeled 3605,Unlabeled 3605,Unlabeled 3606,Unlabeled 3606,Unlabeled 3606,Unlabeled 3607,Unlabeled 3607,Unlabeled 3607,Unlabeled 3608,Unlabeled 3608,Unlabeled 3608,Unlabeled 3609,Unlabeled 3609,Unlabeled 3609,Unlabeled 3611,Unlabeled 3611,Unlabeled 3611,Unlabeled 3612,Unlabeled 3612,Unlabeled 3612,Unlabeled 3613,Unlabeled 3613,Unlabeled 3613,Unlabeled 3614,Unlabeled 3614,Unlabeled 3614,Unlabeled 3615,Unlabeled 3615,Unlabeled 3615,Unlabeled 3616,Unlabeled 3616,Unlabeled 3616,Unlabeled 3617,Unlabeled 3617,Unlabeled 3617,Unlabeled 3618,Unlabeled 3618,Unlabeled 3618,Unlabeled 3619,Unlabeled 3619,Unlabeled 3619,Unlabeled 3623,Unlabeled 3623,Unlabeled 3623,Unlabeled 3626,Unlabeled 3626,Unlabeled 3626,Unlabeled 3627,Unlabeled 3627,Unlabeled 3627,Unlabeled 3628,Unlabeled 3628,Unlabeled 3628,Unlabeled 3630,Unlabeled 3630,Unlabeled 3630,Unlabeled 3631,Unlabeled 3631,Unlabeled 3631,Unlabeled 3633,Unlabeled 3633,Unlabeled 3633,Unlabeled 3635,Unlabeled 3635,Unlabeled 3635,Unlabeled 3639,Unlabeled 3639,Unlabeled 3639,Unlabeled 3641,Unlabeled 3641,Unlabeled 3641,Unlabeled 3642,Unlabeled 3642,Unlabeled 3642,Unlabeled 3644,Unlabeled 3644,Unlabeled 3644,Unlabeled 3645,Unlabeled 3645,Unlabeled 3645,Unlabeled 3646,Unlabeled 3646,Unlabeled 3646,Unlabeled 3648,Unlabeled 3648,Unlabeled 3648,Unlabeled 3649,Unlabeled 3649,Unlabeled 3649,Unlabeled 3652,Unlabeled 3652,Unlabeled 3652,Unlabeled 3653,Unlabeled 3653,Unlabeled 3653,Unlabeled 3654,Unlabeled 3654,Unlabeled 3654,Unlabeled 3655,Unlabeled 3655,Unlabeled 3655,Unlabeled 3656,Unlabeled 3656,Unlabeled 3656,Unlabeled 3657,Unlabeled 3657,Unlabeled 3657,Unlabeled 3658,Unlabeled 3658,Unlabeled 3658,Unlabeled 3659,Unlabeled 3659,Unlabeled 3659,Unlabeled 3660,Unlabeled 3660,Unlabeled 3660,Unlabeled 3661,Unlabeled 3661,Unlabeled 3661,Unlabeled 3662,Unlabeled 3662,Unlabeled 3662,Unlabeled 3663,Unlabeled 3663,Unlabeled 3663,Unlabeled 3664,Unlabeled 3664,Unlabeled 3664,Unlabeled 3665,Unlabeled 3665,Unlabeled 3665,Unlabeled 3667,Unlabeled 3667,Unlabeled 3667,Unlabeled 3668,Unlabeled 3668,Unlabeled 3668,Unlabeled 3669,Unlabeled 3669,Unlabeled 3669,Unlabeled 3670,Unlabeled 3670,Unlabeled 3670,Unlabeled 3672,Unlabeled 3672,Unlabeled 3672,Unlabeled 3673,Unlabeled 3673,Unlabeled 3673,Unlabeled 3675,Unlabeled 3675,Unlabeled 3675,Unlabeled 3676,Unlabeled 3676,Unlabeled 3676,Unlabeled 3678,Unlabeled 3678,Unlabeled 3678,Unlabeled 3679,Unlabeled 3679,Unlabeled 3679,Unlabeled 3680,Unlabeled 3680,Unlabeled 3680,Unlabeled 3681,Unlabeled 3681,Unlabeled 3681,Unlabeled 3682,Unlabeled 3682,Unlabeled 3682,Unlabeled 3683,Unlabeled 3683,Unlabeled 3683,Unlabeled 3684,Unlabeled 3684,Unlabeled 3684,Unlabeled 3686,Unlabeled 3686,Unlabeled 3686,Unlabeled 3687,Unlabeled 3687,Unlabeled 3687,Unlabeled 3688,Unlabeled 3688,Unlabeled 3688,Unlabeled 3689,Unlabeled 3689,Unlabeled 3689,Unlabeled 3690,Unlabeled 3690,Unlabeled 3690,Unlabeled 3691,Unlabeled 3691,Unlabeled 3691,Unlabeled 3692,Unlabeled 3692,Unlabeled 3692,Unlabeled 3693,Unlabeled 3693,Unlabeled 3693,Unlabeled 3694,Unlabeled 3694,Unlabeled 3694,Unlabeled 3695,Unlabeled 3695,Unlabeled 3695,Unlabeled 3696,Unlabeled 3696,Unlabeled 3696,Unlabeled 3697,Unlabeled 3697,Unlabeled 3697,Unlabeled 3699,Unlabeled 3699,Unlabeled 3699,Unlabeled 3701,Unlabeled 3701,Unlabeled 3701,Unlabeled 3702,Unlabeled 3702,Unlabeled 3702,Unlabeled 3705,Unlabeled 3705,Unlabeled 3705,Unlabeled 3706,Unlabeled 3706,Unlabeled 3706,Unlabeled 3707,Unlabeled 3707,Unlabeled 3707,Unlabeled 3709,Unlabeled 3709,Unlabeled 3709,Unlabeled 3712,Unlabeled 3712,Unlabeled 3712,Unlabeled 3714,Unlabeled 3714,Unlabeled 3714,Unlabeled 3715,Unlabeled 3715,Unlabeled 3715,Unlabeled 3718,Unlabeled 3718,Unlabeled 3718,Unlabeled 3719,Unlabeled 3719,Unlabeled 3719,Unlabeled 3720,Unlabeled 3720,Unlabeled 3720,Unlabeled 3721,Unlabeled 3721,Unlabeled 3721,Unlabeled 3722,Unlabeled 3722,Unlabeled 3722
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","FAA50","FAA50","FAA50","102650","102650","102650","FEF20","FEF20","FEF20","104620","104620","104620","A819B6191B9C11EE94BEEB68002F85","A819B6191B9C11EE94BEEB68002F85","A819B6191B9C11EE94BEEB68002F85","A819B5BA1B9C11EE94BEEB68002F85","A819B5BA1B9C11EE94BEEB68002F85","A819B5BA1B9C11EE94BEEB68002F85","104740","104740","104740","104590","104590","104590","104BF0","104BF0","104BF0","104C30","104C30","104C30","104C50","104C50","104C50","104CB0","104CB0","104CB0","104CC0","104CC0","104CC0","1049C0","1049C0","1049C0","104CF0","104CF0","104CF0","104CE0","104CE0","104CE0","104D00","104D00","104D00","104D20","104D20","104D20","104D10","104D10","104D10","104D50","104D50","104D50","104D40","104D40","104D40","104D30","104D30","104D30","104D70","104D70","104D70","104D80","104D80","104D80","104D60","104D60","104D60","104DB0","104DB0","104DB0","104DD0","104DD0","104DD0","104DE0","104DE0","104DE0","104DC0","104DC0","104DC0","104E30","104E30","104E30","104E40","104E40","104E40","104E70","104E70","104E70","104E50","104E50","104E50","104EC0","104EC0","104EC0","104C70","104C70","104C70","104EF0","104EF0","104EF0","104EB0","104EB0","104EB0","104EE0","104EE0","104EE0","104F30","104F30","104F30","104F60","104F60","104F60","104F70","104F70","104F70","104F80","104F80","104F80","104F50","104F50","104F50","104F90","104F90","104F90","104FC0","104FC0","104FC0","104FA0","104FA0","104FA0","104FB0","104FB0","104FB0","104FF0","104FF0","104FF0","104FE0","104FE0","104FE0","105010","105010","105010","105000","105000","105000","105020","105020","105020","105030","105030","105030","105040","105040","105040","104FD0","104FD0","104FD0","105050","105050","105050","105070","105070","105070","105080","105080","105080","105060","105060","105060","105090","105090","105090","104E10","104E10","104E10","1050D0","1050D0","1050D0","105110","105110","105110","1050C0","1050C0","1050C0","105130","105130","105130","105100","105100","105100","105140","105140","105140","1050E0","1050E0","1050E0","105150","105150","105150","105160","105160","105160","105180","105180","105180","105120","105120","105120","1051A0","1051A0","1051A0","1051B0","1051B0","1051B0","105190","105190","105190","1051E0","1051E0","1051E0","1051D0","1051D0","1051D0","105210","105210","105210","105200","105200","105200","105220","105220","105220","1051C0","1051C0","1051C0","105240","105240","105240","1051F0","1051F0","1051F0","105260","105260","105260","105270","105270","105270","1052C0","1052C0","1052C0","105300","105300","105300","1052B0","1052B0","1052B0","1052D0","1052D0","1052D0","105380","105380","105380","105390","105390","105390","105350","105350","105350","1053C0","1053C0","1053C0","1053D0","1053D0","1053D0","1053E0","1053E0","1053E0","1052A0","1052A0","1052A0","105370","105370","105370"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.384970,0.908749,-0.131217,0.093577,-0.485506,1.238470,0.169808,0.000190,-0.545483,1.225946,0.126481,0.000001,-0.493120,1.272138,0.149938,0.000001,-0.510567,1.251644,0.210455,0.000001,-0.440058,1.250751,0.210514,0.000001,-0.485389,1.201442,0.182392,0.000000,-0.470935,1.242132,0.165157,0.000000,-0.452987,1.225235,0.143720,0.000001,-0.545976,1.224644,0.126123,-0.493376,1.271058,0.149016,-0.511093,1.250582,0.209802,-0.440376,1.249850,0.209805,,,,,,,-0.453660,1.222742,0.143693,-0.484589,1.199587,0.181212,-0.471323,1.239152,0.164902,-0.462058,1.230725,0.153553,-0.520466,1.246076,0.137815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.386704,0.908015,-0.132468,0.091770,-0.486667,1.238186,0.169245,0.000287,-0.546721,1.225301,0.126129,0.000001,-0.494435,1.271748,0.149255,0.000001,-0.511661,1.251455,0.209902,0.000001,-0.441150,1.250775,0.209779,0.000001,-0.486406,1.201212,0.181983,0.000000,-0.472120,1.241873,0.164540,0.000000,-0.454177,1.224940,0.143127,0.000001,-0.546978,1.224124,0.126053,-0.493271,1.272112,0.147406,-0.511902,1.250392,0.209424,-0.441035,1.249748,0.209150,,,,-0.472482,1.239414,0.163960,-0.454640,1.222879,0.143035,-0.485444,1.199648,0.181180,,,,-0.463236,1.230221,0.152763,-0.521077,1.246174,0.137481,-0.485240,1.210663,0.171786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.387771,0.907637,-0.133229,0.089883,-0.487767,1.237852,0.168745,0.000127,-0.547932,1.224737,0.125854,0.029164,-0.495650,1.271339,0.148673,0.000000,-0.512659,1.251209,0.209436,0.008120,-0.442147,1.250640,0.209100,0.098085,-0.487408,1.200918,0.181598,0.000000,-0.473240,1.241547,0.163984,0.000001,-0.455336,1.224575,0.142569,0.000001,-0.548141,1.223823,0.126108,-0.495736,1.270600,0.148187,-0.512527,1.250275,0.209131,-0.441879,1.249942,0.208595,,,,-0.473123,1.239669,0.163954,-0.455602,1.222660,0.142467,-0.486704,1.198467,0.179982,,,,,,,-0.522113,1.245759,0.137165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.388710,0.907367,-0.133817,0.087647,-0.488770,1.237522,0.168269,0.000129,-0.549081,1.224204,0.125647,0.124714,-0.496769,1.270938,0.148126,0.000000,-0.513522,1.250973,0.209014,0.009776,-0.443011,1.250488,0.208411,0.000001,-0.488317,1.200628,0.181233,0.000000,-0.474265,1.241220,0.163441,0.000001,-0.456422,1.224205,0.142011,0.000001,-0.549040,1.223475,0.126130,-0.496743,1.270342,0.147833,-0.512976,1.250153,0.208923,-0.442357,1.249886,0.207935,,,,-0.473977,1.239403,0.163368,-0.456366,1.222410,0.141911,-0.487123,1.198485,0.179847,,,,,,,-0.522819,1.245527,0.137030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.391119,0.906634,-0.133285,0.085295,-0.489645,1.237377,0.167791,0.000202,-0.550118,1.223730,0.125502,0.124714,-0.497897,1.270728,0.147640,0.000000,-0.514245,1.250780,0.208644,0.009776,-0.443737,1.250605,0.207675,0.000001,-0.488962,1.200505,0.180806,0.000000,-0.475183,1.241132,0.162882,0.000001,-0.457377,1.224164,0.141384,0.000001,-0.549719,1.223217,0.126147,-0.497362,1.270131,0.147621,-0.513218,1.250084,0.208748,-0.442731,1.249803,0.207327,,,,,,,-0.457024,1.222138,0.141543,-0.487345,1.198619,0.179901,-0.475118,1.238692,0.162319,-0.465664,1.229605,0.151291,-0.523995,1.244604,0.136883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.392938,0.906084,-0.133273,0.082762,-0.490348,1.237186,0.167366,0.000168,-0.550988,1.223252,0.125414,0.084621,-0.498802,1.270462,0.147177,0.198876,-0.514784,1.250612,0.208310,0.000001,-0.444281,1.250650,0.206989,0.000001,-0.489487,1.200348,0.180467,0.000000,-0.475921,1.240973,0.162376,0.000000,-0.458171,1.224007,0.140830,0.000001,-0.550129,1.222733,0.126190,-0.497458,1.269763,0.147249,-0.513289,1.250010,0.208576,-0.442804,1.249703,0.206754,,,,,,,-0.457453,1.221886,0.141077,-0.487495,1.198627,0.179877,-0.475317,1.238636,0.162163,-0.465975,1.229309,0.150945,,,,-0.487295,1.210117,0.169976,-0.467137,1.221026,0.189934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
