Format Version,1.23,Take Name,EXP_41B_025,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.34.04.897 AM,Total Frames in Take,493,Total Exported Frames,493,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 5429,Unlabeled 5429,Unlabeled 5429,Unlabeled 5430,Unlabeled 5430,Unlabeled 5430,Unlabeled 5431,Unlabeled 5431,Unlabeled 5431,Unlabeled 5435,Unlabeled 5435,Unlabeled 5435,Unlabeled 5436,Unlabeled 5436,Unlabeled 5436,Unlabeled 5437,Unlabeled 5437,Unlabeled 5437,Unlabeled 5438,Unlabeled 5438,Unlabeled 5438,Unlabeled 5439,Unlabeled 5439,Unlabeled 5439,Unlabeled 5440,Unlabeled 5440,Unlabeled 5440,Unlabeled 5441,Unlabeled 5441,Unlabeled 5441,Unlabeled 5442,Unlabeled 5442,Unlabeled 5442,Unlabeled 5448,Unlabeled 5448,Unlabeled 5448,Unlabeled 5449,Unlabeled 5449,Unlabeled 5449,Unlabeled 5450,Unlabeled 5450,Unlabeled 5450,Unlabeled 5453,Unlabeled 5453,Unlabeled 5453,Unlabeled 5454,Unlabeled 5454,Unlabeled 5454,Unlabeled 5456,Unlabeled 5456,Unlabeled 5456,Unlabeled 5458,Unlabeled 5458,Unlabeled 5458,Unlabeled 5459,Unlabeled 5459,Unlabeled 5459,Unlabeled 5464,Unlabeled 5464,Unlabeled 5464,Unlabeled 5466,Unlabeled 5466,Unlabeled 5466,Unlabeled 5467,Unlabeled 5467,Unlabeled 5467,Unlabeled 5468,Unlabeled 5468,Unlabeled 5468,Unlabeled 5470,Unlabeled 5470,Unlabeled 5470,Unlabeled 5479,Unlabeled 5479,Unlabeled 5479,Unlabeled 5481,Unlabeled 5481,Unlabeled 5481,Unlabeled 5487,Unlabeled 5487,Unlabeled 5487,Unlabeled 5489,Unlabeled 5489,Unlabeled 5489,Unlabeled 5491,Unlabeled 5491,Unlabeled 5491,Unlabeled 5492,Unlabeled 5492,Unlabeled 5492,Unlabeled 5496,Unlabeled 5496,Unlabeled 5496,Unlabeled 5499,Unlabeled 5499,Unlabeled 5499,Unlabeled 5500,Unlabeled 5500,Unlabeled 5500,Unlabeled 5504,Unlabeled 5504,Unlabeled 5504,Unlabeled 5506,Unlabeled 5506,Unlabeled 5506,Unlabeled 5508,Unlabeled 5508,Unlabeled 5508,Unlabeled 5509,Unlabeled 5509,Unlabeled 5509,Unlabeled 5513,Unlabeled 5513,Unlabeled 5513,Unlabeled 5516,Unlabeled 5516,Unlabeled 5516,Unlabeled 5517,Unlabeled 5517,Unlabeled 5517,Unlabeled 5518,Unlabeled 5518,Unlabeled 5518,Unlabeled 5520,Unlabeled 5520,Unlabeled 5520,Unlabeled 5522,Unlabeled 5522,Unlabeled 5522,Unlabeled 5525,Unlabeled 5525,Unlabeled 5525,Unlabeled 5530,Unlabeled 5530,Unlabeled 5530,Unlabeled 5531,Unlabeled 5531,Unlabeled 5531,Unlabeled 5532,Unlabeled 5532,Unlabeled 5532,Unlabeled 5533,Unlabeled 5533,Unlabeled 5533,Unlabeled 5535,Unlabeled 5535,Unlabeled 5535,Unlabeled 5537,Unlabeled 5537,Unlabeled 5537,Unlabeled 5538,Unlabeled 5538,Unlabeled 5538,Unlabeled 5540,Unlabeled 5540,Unlabeled 5540,Unlabeled 5543,Unlabeled 5543,Unlabeled 5543,Unlabeled 5544,Unlabeled 5544,Unlabeled 5544,Unlabeled 5545,Unlabeled 5545,Unlabeled 5545,Unlabeled 5547,Unlabeled 5547,Unlabeled 5547,Unlabeled 5551,Unlabeled 5551,Unlabeled 5551,Unlabeled 5556,Unlabeled 5556,Unlabeled 5556,Unlabeled 5560,Unlabeled 5560,Unlabeled 5560,Unlabeled 5564,Unlabeled 5564,Unlabeled 5564,Unlabeled 5572,Unlabeled 5572,Unlabeled 5572,Unlabeled 5573,Unlabeled 5573,Unlabeled 5573,Unlabeled 5574,Unlabeled 5574,Unlabeled 5574,Unlabeled 5575,Unlabeled 5575,Unlabeled 5575,Unlabeled 5577,Unlabeled 5577,Unlabeled 5577,Unlabeled 5578,Unlabeled 5578,Unlabeled 5578
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","10F3B0","10F3B0","10F3B0","2B6F833A1B9D11EE94BEEB68002F85","2B6F833A1B9D11EE94BEEB68002F85","2B6F833A1B9D11EE94BEEB68002F85","1107E0","1107E0","1107E0","110EC0","110EC0","110EC0","2B6F83CD1B9D11EE94BEEB68002F85","2B6F83CD1B9D11EE94BEEB68002F85","2B6F83CD1B9D11EE94BEEB68002F85","2B6F838D1B9D11EE94BEEB68002F85","2B6F838D1B9D11EE94BEEB68002F85","2B6F838D1B9D11EE94BEEB68002F85","1106F0","1106F0","1106F0","10FAB0","10FAB0","10FAB0","110DC0","110DC0","110DC0","111070","111070","111070","1110E0","1110E0","1110E0","111010","111010","111010","110CE0","110CE0","110CE0","111110","111110","111110","111120","111120","111120","111140","111140","111140","111130","111130","111130","110F40","110F40","110F40","111160","111160","111160","110760","110760","110760","111190","111190","111190","1111A0","1111A0","1111A0","1110D0","1110D0","1110D0","1111C0","1111C0","1111C0","111230","111230","111230","111240","111240","111240","111270","111270","111270","111290","111290","111290","111200","111200","111200","1112B0","1112B0","1112B0","111300","111300","111300","1107A0","1107A0","1107A0","111320","111320","111320","10F790","10F790","10F790","111390","111390","111390","1113A0","1113A0","1113A0","1113C0","1113C0","1113C0","111420","111420","111420","111470","111470","111470","111480","111480","111480","111500","111500","111500","1114E0","1114E0","1114E0","111540","111540","111540","111550","111550","111550","111590","111590","111590","111490","111490","111490","1114B0","1114B0","1114B0","1115A0","1115A0","1115A0","1115B0","1115B0","1115B0","1115D0","1115D0","1115D0","111660","111660","111660","111680","111680","111680","111690","111690","111690","111630","111630","111630","1116B0","1116B0","1116B0","1116C0","1116C0","1116C0","1116E0","1116E0","1116E0","1116F0","1116F0","1116F0","111710","111710","111710","111750","111750","111750","111760","111760","111760","111780","111780","111780","1117D0","1117D0","1117D0","111720","111720","111720","1113D0","1113D0","1113D0","111460","111460","111460","1118E0","1118E0","1118E0","111850","111850","111850","111930","111930","111930","111970","111970","111970","111940","111940","111940","111960","111960","111960","111980","111980","111980"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.338175,0.877791,-0.339289,0.001697,-0.468916,1.282869,0.084754,0.000272,-0.530703,1.259878,0.048906,0.000001,-0.472652,1.305119,0.051931,0.000000,-0.491471,1.315333,0.114607,0.000001,-0.421619,1.306220,0.117786,0.000001,-0.473156,1.255329,0.112195,0.000000,-0.454085,1.282380,0.079542,0.000000,-0.438724,1.255827,0.068313,0.000001,-0.534331,1.274696,0.053363,,,,-0.496138,1.327798,0.121014,-0.425558,1.319378,0.123515,,,,,,,-0.442346,1.270849,0.072465,-0.476058,1.322094,0.057075,-0.475392,1.267132,0.115674,-0.461241,1.291022,0.085670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.340016,0.878994,-0.334274,0.004444,-0.470450,1.290213,0.085758,0.000251,-0.532133,1.267369,0.049635,0.000001,-0.474277,1.312822,0.053191,0.000000,-0.493149,1.322235,0.115976,0.000001,-0.423260,1.313387,0.119065,0.000001,-0.474577,1.262342,0.112880,0.000000,-0.455617,1.289848,0.080543,0.000000,-0.440140,1.263491,0.069013,0.000001,-0.535824,1.281924,0.053918,-0.479083,1.327978,0.059355,-0.497536,1.334227,0.122377,-0.427156,1.326194,0.124817,,,,,,,-0.443719,1.277971,0.073169,,,,-0.476771,1.273959,0.116627,-0.461740,1.295895,0.087040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.342113,0.880104,-0.329137,0.006648,-0.472086,1.297728,0.086853,0.000255,-0.533704,1.275017,0.050538,0.000001,-0.476047,1.320684,0.054548,0.000001,-0.494895,1.329306,0.117453,0.000001,-0.424964,1.320735,0.120372,0.000001,-0.476059,1.269535,0.113664,0.000000,-0.457256,1.297487,0.081620,0.000000,-0.441674,1.271331,0.069779,0.000001,-0.537468,1.289221,0.055064,-0.480878,1.335117,0.060490,-0.499179,1.340998,0.123740,-0.428753,1.333306,0.125794,,,,,,,-0.445427,1.285280,0.074038,,,,-0.478254,1.281015,0.117262,-0.460075,1.311049,0.087105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.344096,0.881233,-0.323962,0.008658,-0.473792,1.305355,0.087998,0.000243,-0.535366,1.282798,0.051511,0.000001,-0.477891,1.328655,0.055956,0.000001,-0.496689,1.336494,0.118979,0.000001,-0.426720,1.328179,0.121711,0.000001,-0.477614,1.276847,0.114496,0.000000,-0.458969,1.305233,0.082743,0.000000,-0.443295,1.279276,0.070589,0.000001,-0.539167,1.296418,0.055969,-0.482548,1.342477,0.061701,-0.500908,1.347820,0.124984,-0.430410,1.340168,0.126859,,,,,,,-0.447017,1.292532,0.074695,,,,-0.479872,1.287943,0.117927,-0.472623,1.301274,0.103344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.346098,0.882228,-0.319033,0.010404,-0.475583,1.313081,0.089196,0.000256,-0.537125,1.290659,0.052573,0.000001,-0.479830,1.336699,0.057408,0.000001,-0.498555,1.343801,0.120539,0.000001,-0.428548,1.335742,0.123071,0.000001,-0.479246,1.284282,0.115400,0.000000,-0.460768,1.313075,0.083917,0.000000,-0.445010,1.287311,0.071466,0.000001,-0.541011,1.303502,0.057021,-0.484399,1.349874,0.062964,-0.502770,1.354864,0.126198,-0.432225,1.347230,0.128013,,,,,,,-0.448740,1.299669,0.075576,,,,-0.481484,1.294853,0.118813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.347781,0.883211,-0.314401,0.011754,-0.477443,1.320864,0.090479,0.000233,-0.538982,1.298597,0.053757,0.000001,-0.481827,1.344775,0.058929,0.000001,-0.500453,1.351203,0.122162,0.000001,-0.430416,1.343348,0.124483,0.000001,-0.480961,1.291800,0.116409,0.000000,-0.462638,1.320958,0.085171,0.000000,-0.446820,1.295367,0.072441,0.000001,-0.542913,1.310861,0.058304,-0.486416,1.357238,0.064139,-0.504441,1.361694,0.127703,-0.433915,1.354248,0.129186,,,,,,,-0.450648,1.307196,0.076616,,,,-0.483115,1.301773,0.119828,-0.478892,1.313627,0.106259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
