Format Version,1.23,Take Name,EXP_53A_036,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.40.16.616 AM,Total Frames in Take,1127,Total Exported Frames,1127,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7","RigidBody:Marker7",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker7,RigidBody:Marker7,RigidBody:Marker7,Unlabeled 9291,Unlabeled 9291,Unlabeled 9291,Unlabeled 9292,Unlabeled 9292,Unlabeled 9292,Unlabeled 9293,Unlabeled 9293,Unlabeled 9293,Unlabeled 9294,Unlabeled 9294,Unlabeled 9294,Unlabeled 9297,Unlabeled 9297,Unlabeled 9297,Unlabeled 9300,Unlabeled 9300,Unlabeled 9300,Unlabeled 9301,Unlabeled 9301,Unlabeled 9301,Unlabeled 9302,Unlabeled 9302,Unlabeled 9302,Unlabeled 9303,Unlabeled 9303,Unlabeled 9303,Unlabeled 9304,Unlabeled 9304,Unlabeled 9304,Unlabeled 9305,Unlabeled 9305,Unlabeled 9305,Unlabeled 9306,Unlabeled 9306,Unlabeled 9306,Unlabeled 9308,Unlabeled 9308,Unlabeled 9308,Unlabeled 9310,Unlabeled 9310,Unlabeled 9310,Unlabeled 9311,Unlabeled 9311,Unlabeled 9311,Unlabeled 9313,Unlabeled 9313,Unlabeled 9313,Unlabeled 9314,Unlabeled 9314,Unlabeled 9314,Unlabeled 9315,Unlabeled 9315,Unlabeled 9315,Unlabeled 9316,Unlabeled 9316,Unlabeled 9316,Unlabeled 9318,Unlabeled 9318,Unlabeled 9318,Unlabeled 9319,Unlabeled 9319,Unlabeled 9319,Unlabeled 9322,Unlabeled 9322,Unlabeled 9322,Unlabeled 9323,Unlabeled 9323,Unlabeled 9323,Unlabeled 9324,Unlabeled 9324,Unlabeled 9324,Unlabeled 9325,Unlabeled 9325,Unlabeled 9325,Unlabeled 9326,Unlabeled 9326,Unlabeled 9326,Unlabeled 9327,Unlabeled 9327,Unlabeled 9327,Unlabeled 9328,Unlabeled 9328,Unlabeled 9328,Unlabeled 9331,Unlabeled 9331,Unlabeled 9331,Unlabeled 9332,Unlabeled 9332,Unlabeled 9332,Unlabeled 9335,Unlabeled 9335,Unlabeled 9335,Unlabeled 9336,Unlabeled 9336,Unlabeled 9336,Unlabeled 9337,Unlabeled 9337,Unlabeled 9337,Unlabeled 9341,Unlabeled 9341,Unlabeled 9341,Unlabeled 9342,Unlabeled 9342,Unlabeled 9342,Unlabeled 9343,Unlabeled 9343,Unlabeled 9343,Unlabeled 9344,Unlabeled 9344,Unlabeled 9344,Unlabeled 9345,Unlabeled 9345,Unlabeled 9345,Unlabeled 9346,Unlabeled 9346,Unlabeled 9346,Unlabeled 9348,Unlabeled 9348,Unlabeled 9348,Unlabeled 9349,Unlabeled 9349,Unlabeled 9349,Unlabeled 9351,Unlabeled 9351,Unlabeled 9351,Unlabeled 9354,Unlabeled 9354,Unlabeled 9354,Unlabeled 9355,Unlabeled 9355,Unlabeled 9355,Unlabeled 9356,Unlabeled 9356,Unlabeled 9356,Unlabeled 9357,Unlabeled 9357,Unlabeled 9357,Unlabeled 9359,Unlabeled 9359,Unlabeled 9359,Unlabeled 9361,Unlabeled 9361,Unlabeled 9361,Unlabeled 9363,Unlabeled 9363,Unlabeled 9363,Unlabeled 9364,Unlabeled 9364,Unlabeled 9364,Unlabeled 9365,Unlabeled 9365,Unlabeled 9365,Unlabeled 9366,Unlabeled 9366,Unlabeled 9366,Unlabeled 9367,Unlabeled 9367,Unlabeled 9367,Unlabeled 9369,Unlabeled 9369,Unlabeled 9369,Unlabeled 9370,Unlabeled 9370,Unlabeled 9370,Unlabeled 9371,Unlabeled 9371,Unlabeled 9371,Unlabeled 9372,Unlabeled 9372,Unlabeled 9372,Unlabeled 9373,Unlabeled 9373,Unlabeled 9373,Unlabeled 9374,Unlabeled 9374,Unlabeled 9374,Unlabeled 9375,Unlabeled 9375,Unlabeled 9375,Unlabeled 9377,Unlabeled 9377,Unlabeled 9377,Unlabeled 9378,Unlabeled 9378,Unlabeled 9378,Unlabeled 9379,Unlabeled 9379,Unlabeled 9379,Unlabeled 9380,Unlabeled 9380,Unlabeled 9380,Unlabeled 9382,Unlabeled 9382,Unlabeled 9382,Unlabeled 9383,Unlabeled 9383,Unlabeled 9383,Unlabeled 9385,Unlabeled 9385,Unlabeled 9385,Unlabeled 9386,Unlabeled 9386,Unlabeled 9386,Unlabeled 9387,Unlabeled 9387,Unlabeled 9387,Unlabeled 9388,Unlabeled 9388,Unlabeled 9388,Unlabeled 9389,Unlabeled 9389,Unlabeled 9389,Unlabeled 9390,Unlabeled 9390,Unlabeled 9390,Unlabeled 9392,Unlabeled 9392,Unlabeled 9392,Unlabeled 9393,Unlabeled 9393,Unlabeled 9393,Unlabeled 9394,Unlabeled 9394,Unlabeled 9394,Unlabeled 9395,Unlabeled 9395,Unlabeled 9395,Unlabeled 9396,Unlabeled 9396,Unlabeled 9396,Unlabeled 9398,Unlabeled 9398,Unlabeled 9398,Unlabeled 9401,Unlabeled 9401,Unlabeled 9401,Unlabeled 9402,Unlabeled 9402,Unlabeled 9402
,ID,"AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","AF977BE31B9811EE94BEEB68002F85","124E60","124E60","124E60","123B80","123B80","123B80","125000","125000","125000","128B90","128B90","128B90","E499B291B9E11EE94BEEB68002F85","E499B291B9E11EE94BEEB68002F85","E499B291B9E11EE94BEEB68002F85","E499B131B9E11EE94BEEB68002F85","E499B131B9E11EE94BEEB68002F85","E499B131B9E11EE94BEEB68002F85","128C10","128C10","128C10","126690","126690","126690","128CF0","128CF0","128CF0","128D30","128D30","128D30","128D60","128D60","128D60","128D90","128D90","128D90","128D00","128D00","128D00","128D20","128D20","128D20","128D70","128D70","128D70","128DC0","128DC0","128DC0","128DD0","128DD0","128DD0","128E30","128E30","128E30","128E40","128E40","128E40","128E50","128E50","128E50","128E90","128E90","128E90","128E80","128E80","128E80","128E70","128E70","128E70","128DE0","128DE0","128DE0","128EB0","128EB0","128EB0","128ED0","128ED0","128ED0","128EE0","128EE0","128EE0","128EF0","128EF0","128EF0","128F00","128F00","128F00","128F60","128F60","128F60","128F20","128F20","128F20","128F40","128F40","128F40","128F50","128F50","128F50","128F70","128F70","128F70","128F30","128F30","128F30","128F80","128F80","128F80","128FA0","128FA0","128FA0","128FF0","128FF0","128FF0","128FE0","128FE0","128FE0","129020","129020","129020","128FC0","128FC0","128FC0","129080","129080","129080","129040","129040","129040","129060","129060","129060","1290A0","1290A0","1290A0","1290B0","1290B0","1290B0","129050","129050","129050","1290D0","1290D0","1290D0","1290E0","1290E0","1290E0","1290F0","1290F0","1290F0","1286D0","1286D0","1286D0","1286E0","1286E0","1286E0","129100","129100","129100","1291B0","1291B0","1291B0","129120","129120","129120","129190","129190","129190","1291C0","1291C0","1291C0","129110","129110","129110","1291D0","1291D0","1291D0","1291E0","1291E0","1291E0","129140","129140","129140","129130","129130","129130","129200","129200","129200","129210","129210","129210","129230","129230","129230","129220","129220","129220","129250","129250","129250","1292A0","1292A0","1292A0","1292D0","1292D0","1292D0","1292F0","1292F0","1292F0","129280","129280","129280","129290","129290","129290","1292B0","1292B0","1292B0","129260","129260","129260","129300","129300","129300","129340","129340","129340","129370","129370","129370","129380","129380","129380","129390","129390","129390","129350","129350","129350","129310","129310","129310","1293B0","1293B0","1293B0","129330","129330","129330","1293C0","1293C0","1293C0","129320","129320","129320","129410","129410","129410","129400","129400","129400"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.425714,0.807642,-0.396571,0.095991,-0.496511,1.276041,0.035167,0.000348,-0.544065,1.235084,-0.005973,0.000001,-0.500689,1.294315,0.000026,0.000001,-0.530944,1.303132,0.058279,0.000001,-0.462443,1.313282,0.071579,0.000001,-0.497762,1.250198,0.064493,0.000000,-0.481426,1.279206,0.032038,0.000000,-0.458246,1.257070,0.025728,0.000001,-0.544822,1.233936,-0.006242,-0.502020,1.294100,-0.000832,-0.531971,1.302016,0.057495,-0.463109,1.312744,0.070931,,,,,,,-0.458840,1.256210,0.025062,-0.496397,1.248422,0.063125,-0.469478,1.266889,0.027928,-0.481902,1.276972,0.031945,-0.491001,1.260574,0.048472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.426264,0.807262,-0.396638,0.096464,-0.496848,1.275753,0.034392,0.000432,-0.544319,1.234717,-0.006766,0.000001,-0.501039,1.294017,-0.000754,0.000001,-0.531335,1.302793,0.057485,0.000001,-0.462856,1.313052,0.070815,0.000001,-0.498073,1.249911,0.063720,0.000000,-0.481767,1.278942,0.031269,0.000000,-0.458549,1.256842,0.024972,0.000001,-0.544502,1.234588,-0.007871,-0.502245,1.293635,-0.001636,-0.532209,1.301767,0.056630,-0.463440,1.312539,0.070145,,,,,,,-0.459097,1.255930,0.024252,-0.496678,1.248175,0.062422,-0.469665,1.266574,0.027028,-0.482073,1.276743,0.031187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.427563,0.807008,-0.395614,0.097042,-0.497128,1.275533,0.033549,0.000412,-0.544514,1.234425,-0.007635,0.000001,-0.501405,1.293843,-0.001562,0.000001,-0.531673,1.302431,0.056719,0.000001,-0.463212,1.312870,0.070004,0.000001,-0.498248,1.249638,0.062834,0.000000,-0.482059,1.278771,0.030418,0.000000,-0.458781,1.256751,0.024062,0.000001,-0.544618,1.234161,-0.008712,-0.502135,1.293697,-0.002602,-0.532578,1.300559,0.056293,-0.463806,1.312369,0.069256,,,,,,,-0.459320,1.255673,0.023437,-0.496922,1.247908,0.061691,-0.469958,1.266260,0.026199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.429799,0.806605,-0.393862,0.097639,-0.497438,1.275197,0.032663,0.000448,-0.544720,1.233970,-0.008521,0.000001,-0.501881,1.293577,-0.002391,0.000001,-0.532060,1.301870,0.055980,0.000001,-0.463620,1.312601,0.069140,0.000001,-0.498370,1.249221,0.061884,0.000000,-0.482392,1.278515,0.029507,0.000000,-0.459024,1.256622,0.023043,0.000001,-0.544871,1.233542,-0.009555,-0.502871,1.292893,-0.003414,-0.532995,1.300162,0.055419,-0.464102,1.312014,0.068314,,,,,,,-0.459681,1.255263,0.022720,-0.497159,1.247645,0.060943,-0.470175,1.265853,0.025352,-0.479486,1.279239,0.029665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.431719,0.806142,-0.392613,0.098024,-0.497778,1.274861,0.031789,0.000427,-0.544971,1.233509,-0.009374,0.000001,-0.502361,1.293280,-0.003227,0.000001,-0.532464,1.301357,0.055213,0.000001,-0.464043,1.312343,0.068262,0.000001,-0.498550,1.248835,0.060969,0.000000,-0.482752,1.278245,0.028610,0.000000,-0.459308,1.256458,0.022066,0.000001,-0.545183,1.233020,-0.010268,-0.503303,1.292542,-0.004177,-0.533492,1.299996,0.054665,-0.464537,1.311784,0.067383,,,,,,,-0.459987,1.255008,0.021912,-0.497453,1.247121,0.060013,-0.470599,1.265596,0.024718,-0.483141,1.275702,0.028646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.432905,0.805638,-0.392276,0.098286,-0.498105,1.274561,0.030906,0.000454,-0.545218,1.233092,-0.010229,0.000001,-0.502760,1.292972,-0.004104,0.000001,-0.532843,1.300962,0.054359,0.000001,-0.464442,1.312127,0.067361,0.000001,-0.498788,1.248529,0.060083,0.000000,-0.483089,1.277985,0.027717,0.000000,-0.459593,1.256260,0.021154,0.000001,-0.545429,1.232632,-0.010993,-0.503262,1.292517,-0.005173,-0.533991,1.299568,0.053741,-0.465035,1.311652,0.066403,,,,,,,-0.460242,1.254676,0.021036,-0.497770,1.246811,0.059190,-0.470853,1.265186,0.023622,-0.483616,1.275336,0.027780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
