Format Version,1.23,Take Name,Exp_A1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.12.15.497 AM,Total Frames in Take,587,Total Exported Frames,587,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 1565,Unlabeled 1565,Unlabeled 1565,Unlabeled 1567,Unlabeled 1567,Unlabeled 1567,Unlabeled 1568,Unlabeled 1568,Unlabeled 1568,Unlabeled 1569,Unlabeled 1569,Unlabeled 1569,Unlabeled 1570,Unlabeled 1570,Unlabeled 1570,Unlabeled 1571,Unlabeled 1571,Unlabeled 1571,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1576,Unlabeled 1576,Unlabeled 1576,Unlabeled 1578,Unlabeled 1578,Unlabeled 1578,Unlabeled 1579,Unlabeled 1579,Unlabeled 1579,Unlabeled 1580,Unlabeled 1580,Unlabeled 1580,Unlabeled 1581,Unlabeled 1581,Unlabeled 1581
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","D2200","D2200","D2200","DBAF7C1574E911ED94BEEB680077B8","DBAF7C1574E911ED94BEEB680077B8","DBAF7C1574E911ED94BEEB680077B8","D2250","D2250","D2250","D22B0","D22B0","D22B0","D24A0","D24A0","D24A0","D2470","D2470","D2470","D2460","D2460","D2460","D24B0","D24B0","D24B0","D2390","D2390","D2390","D24D0","D24D0","D24D0","D24F0","D24F0","D24F0","D2500","D2500","D2500","D24C0","D24C0","D24C0","D2510","D2510","D2510","D2540","D2540","D2540","D2570","D2570","D2570","D2560","D2560","D2560","D2520","D2520","D2520","D24E0","D24E0","D24E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.033117,-0.103567,0.142048,-0.983870,0.060116,1.758103,0.802527,0.001425,0.055082,1.742733,0.793092,0.466919,0.046492,1.697523,0.810260,0.000000,0.054080,1.761944,0.763093,0.689735,0.078196,1.824817,0.802023,0.566101,0.066731,1.763497,0.844165,0.755090,0.056848,1.743348,0.794118,,,,0.053618,1.762749,0.762268,0.079294,1.823484,0.801859,0.067373,1.763709,0.843456,0.047320,1.692213,0.816217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056982,1.743287,0.794118,,,,0.053742,1.762787,0.762269,0.079460,1.823425,0.801861,0.067492,1.763608,0.843624,0.047477,1.692138,0.816332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.029723,-0.109832,0.150114,-0.982099,0.060354,1.758199,0.802054,0.001355,0.054947,1.742983,0.792576,0.322095,0.045758,1.697816,0.809542,0.000000,0.053947,1.762412,0.762717,0.859120,0.079594,1.824589,0.801785,0.734020,0.067526,1.763195,0.843650,0.905681,0.057164,1.743235,0.794117,,,,0.053963,1.762716,0.762243,0.079091,1.823675,0.801992,0.067671,1.763534,0.843733,0.047805,1.692054,0.816345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.029691,-0.109619,0.150193,-0.982112,0.060470,1.758170,0.802068,0.001324,0.055064,1.742954,0.792588,0.304951,0.045862,1.697788,0.809550,0.000000,0.054081,1.762383,0.762728,0.858105,0.079719,1.824557,0.801806,0.740562,0.067624,1.763165,0.843667,0.904327,0.057379,1.743173,0.794113,,,,0.054198,1.762615,0.762224,0.079824,1.823530,0.801913,0.067820,1.763494,0.843687,0.047968,1.691958,0.816368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.029444,-0.109357,0.150373,-0.982121,0.060601,1.758094,0.802096,0.001277,0.055195,1.742884,0.792608,0.304951,0.045964,1.697715,0.809547,0.000000,0.054237,1.762324,0.762754,0.858105,0.079876,1.824474,0.801870,0.740562,0.067732,1.763071,0.843701,0.904327,0.057556,1.743137,0.794106,,,,0.054417,1.762573,0.762226,0.080057,1.823420,0.801886,0.067922,1.762970,0.844063,0.048109,1.691819,0.816439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.029410,-0.109058,0.150327,-0.982163,0.060780,1.757991,0.802143,0.001214,0.055381,1.742781,0.792652,0.298009,0.046146,1.697611,0.809586,0.000000,0.054439,1.762220,0.762798,0.847195,0.080048,1.824374,0.801929,0.732803,0.067885,1.762970,0.843752,0.894738,0.057789,1.743100,0.794115,,,,0.054666,1.762320,0.762175,0.080290,1.823385,0.801895,0.068181,1.762756,0.844276,0.048287,1.691795,0.816399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
