Format Version,1.23,Take Name,Exp_A5X_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.23.15.851 AM,Total Frames in Take,2069,Total Exported Frames,2069,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 3121,Unlabeled 3121,Unlabeled 3121,Unlabeled 3122,Unlabeled 3122,Unlabeled 3122,Unlabeled 3124,Unlabeled 3124,Unlabeled 3124,Unlabeled 3125,Unlabeled 3125,Unlabeled 3125,Unlabeled 3126,Unlabeled 3126,Unlabeled 3126,Unlabeled 3127,Unlabeled 3127,Unlabeled 3127,Unlabeled 3128,Unlabeled 3128,Unlabeled 3128,Unlabeled 3129,Unlabeled 3129,Unlabeled 3129,Unlabeled 3131,Unlabeled 3131,Unlabeled 3131,Unlabeled 3132,Unlabeled 3132,Unlabeled 3132,Unlabeled 3133,Unlabeled 3133,Unlabeled 3133,Unlabeled 3134,Unlabeled 3134,Unlabeled 3134,Unlabeled 3135,Unlabeled 3135,Unlabeled 3135,Unlabeled 3137,Unlabeled 3137,Unlabeled 3137,Unlabeled 3138,Unlabeled 3138,Unlabeled 3138,Unlabeled 3141,Unlabeled 3141,Unlabeled 3141,Unlabeled 3143,Unlabeled 3143,Unlabeled 3143,Unlabeled 3144,Unlabeled 3144,Unlabeled 3144,Unlabeled 3145,Unlabeled 3145,Unlabeled 3145,Unlabeled 3146,Unlabeled 3146,Unlabeled 3146,Unlabeled 3147,Unlabeled 3147,Unlabeled 3147,Unlabeled 3149,Unlabeled 3149,Unlabeled 3149,Unlabeled 3150,Unlabeled 3150,Unlabeled 3150,Unlabeled 3151,Unlabeled 3151,Unlabeled 3151,Unlabeled 3152,Unlabeled 3152,Unlabeled 3152,Unlabeled 3153,Unlabeled 3153,Unlabeled 3153,Unlabeled 3154,Unlabeled 3154,Unlabeled 3154,Unlabeled 3155,Unlabeled 3155,Unlabeled 3155,Unlabeled 3156,Unlabeled 3156,Unlabeled 3156,Unlabeled 3157,Unlabeled 3157,Unlabeled 3157,Unlabeled 3158,Unlabeled 3158,Unlabeled 3158,Unlabeled 3159,Unlabeled 3159,Unlabeled 3159,Unlabeled 3160,Unlabeled 3160,Unlabeled 3160,Unlabeled 3161,Unlabeled 3161,Unlabeled 3161,Unlabeled 3162,Unlabeled 3162,Unlabeled 3162,Unlabeled 3163,Unlabeled 3163,Unlabeled 3163,Unlabeled 3165,Unlabeled 3165,Unlabeled 3165,Unlabeled 3166,Unlabeled 3166,Unlabeled 3166,Unlabeled 3167,Unlabeled 3167,Unlabeled 3167,Unlabeled 3168,Unlabeled 3168,Unlabeled 3168,Unlabeled 3169,Unlabeled 3169,Unlabeled 3169,Unlabeled 3170,Unlabeled 3170,Unlabeled 3170,Unlabeled 3173,Unlabeled 3173,Unlabeled 3173,Unlabeled 3174,Unlabeled 3174,Unlabeled 3174,Unlabeled 3175,Unlabeled 3175,Unlabeled 3175,Unlabeled 3176,Unlabeled 3176,Unlabeled 3176,Unlabeled 3177,Unlabeled 3177,Unlabeled 3177,Unlabeled 3178,Unlabeled 3178,Unlabeled 3178,Unlabeled 3179,Unlabeled 3179,Unlabeled 3179,Unlabeled 3180,Unlabeled 3180,Unlabeled 3180,Unlabeled 3181,Unlabeled 3181,Unlabeled 3181,Unlabeled 3182,Unlabeled 3182,Unlabeled 3182,Unlabeled 3183,Unlabeled 3183,Unlabeled 3183,Unlabeled 3184,Unlabeled 3184,Unlabeled 3184,Unlabeled 3185,Unlabeled 3185,Unlabeled 3185,Unlabeled 3186,Unlabeled 3186,Unlabeled 3186,Unlabeled 3187,Unlabeled 3187,Unlabeled 3187,Unlabeled 3188,Unlabeled 3188,Unlabeled 3188,Unlabeled 3189,Unlabeled 3189,Unlabeled 3189,Unlabeled 3190,Unlabeled 3190,Unlabeled 3190,Unlabeled 3191,Unlabeled 3191,Unlabeled 3191,Unlabeled 3192,Unlabeled 3192,Unlabeled 3192,Unlabeled 3193,Unlabeled 3193,Unlabeled 3193,Unlabeled 3194,Unlabeled 3194,Unlabeled 3194,Unlabeled 3195,Unlabeled 3195,Unlabeled 3195,Unlabeled 3196,Unlabeled 3196,Unlabeled 3196,Unlabeled 3197,Unlabeled 3197,Unlabeled 3197,Unlabeled 3198,Unlabeled 3198,Unlabeled 3198,Unlabeled 3199,Unlabeled 3199,Unlabeled 3199,Unlabeled 3200,Unlabeled 3200,Unlabeled 3200,Unlabeled 3202,Unlabeled 3202,Unlabeled 3202,Unlabeled 3203,Unlabeled 3203,Unlabeled 3203,Unlabeled 3204,Unlabeled 3204,Unlabeled 3204
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","D80E0","D80E0","D80E0","6623128374EB11ED94BEEB680077B8","6623128374EB11ED94BEEB680077B8","6623128374EB11ED94BEEB680077B8","D7DE0","D7DE0","D7DE0","D7D00","D7D00","D7D00","D76F0","D76F0","D76F0","D7CE0","D7CE0","D7CE0","D8410","D8410","D8410","D8440","D8440","D8440","D8430","D8430","D8430","D83A0","D83A0","D83A0","D8450","D8450","D8450","D8230","D8230","D8230","D8260","D8260","D8260","D8470","D8470","D8470","D84A0","D84A0","D84A0","D8480","D8480","D8480","D76E0","D76E0","D76E0","D8490","D8490","D8490","D63B0","D63B0","D63B0","D84C0","D84C0","D84C0","D8550","D8550","D8550","D8560","D8560","D8560","D8520","D8520","D8520","D8570","D8570","D8570","D85B0","D85B0","D85B0","D85C0","D85C0","D85C0","D8580","D8580","D8580","D85D0","D85D0","D85D0","D85F0","D85F0","D85F0","D8590","D8590","D8590","D84F0","D84F0","D84F0","D84E0","D84E0","D84E0","D8650","D8650","D8650","D84D0","D84D0","D84D0","D8660","D8660","D8660","D8670","D8670","D8670","D8680","D8680","D8680","D8610","D8610","D8610","D8630","D8630","D8630","D8690","D8690","D8690","D86C0","D86C0","D86C0","D86E0","D86E0","D86E0","D86B0","D86B0","D86B0","D86A0","D86A0","D86A0","D8640","D8640","D8640","D8600","D8600","D8600","D86F0","D86F0","D86F0","D8760","D8760","D8760","D8700","D8700","D8700","D8710","D8710","D8710","D8720","D8720","D8720","D8770","D8770","D8770","D8780","D8780","D8780","D8790","D8790","D8790","D87A0","D87A0","D87A0","D87C0","D87C0","D87C0","D87D0","D87D0","D87D0","D87B0","D87B0","D87B0","D87E0","D87E0","D87E0","D8820","D8820","D8820","D8810","D8810","D8810","D8840","D8840","D8840","D8800","D8800","D8800","D8830","D8830","D8830","D8860","D8860","D8860","D8870","D8870","D8870","D8880","D8880","D8880","D8850","D8850","D8850","D8890","D8890","D8890","D88A0","D88A0","D88A0","D88B0","D88B0","D88B0","D88D0","D88D0","D88D0","D88E0","D88E0","D88E0","D88C0","D88C0","D88C0","D88F0","D88F0","D88F0","D8930","D8930","D8930","D8900","D8900","D8900","D8910","D8910","D8910"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.632923,0.015040,-0.276327,-0.723067,-0.415655,1.268603,0.400335,0.000606,-0.404566,1.258710,0.411726,0.480780,-0.390217,1.269257,0.457500,0.000000,-0.402353,1.233284,0.386853,0.560034,-0.445725,1.276134,0.338554,0.619259,-0.435415,1.305632,0.407045,0.393556,-0.404160,1.256674,0.411771,,,,-0.402247,1.231872,0.387897,-0.445600,1.274620,0.338455,-0.435066,1.303248,0.407330,-0.390990,1.271138,0.462477,-0.041518,1.367603,0.597364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.633005,0.015187,-0.276083,-0.723085,-0.415844,1.267684,0.400513,0.000685,-0.404763,1.257788,0.411909,0.480780,-0.390438,1.268333,0.457691,0.000000,-0.402540,1.232362,0.387038,0.560034,-0.445878,1.275220,0.338714,0.619259,-0.435601,1.304716,0.407211,0.393556,-0.404365,1.256026,0.411952,,,,-0.402462,1.231216,0.388095,-0.445874,1.273839,0.338556,-0.435255,1.302428,0.407492,-0.390734,1.270221,0.462540,-0.041599,1.366800,0.597355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.634872,0.013138,-0.275842,-0.721579,-0.416071,1.266620,0.400756,0.000769,-0.404993,1.256766,0.412192,0.637683,-0.390572,1.267541,0.457890,0.000000,-0.402865,1.231193,0.387463,0.000001,-0.446186,1.273867,0.338963,0.325636,-0.435737,1.303733,0.407274,0.464945,-0.404543,1.255389,0.412140,,,,-0.403415,1.228211,0.390178,-0.446623,1.271220,0.338677,-0.435426,1.301641,0.407606,-0.390888,1.269609,0.462688,-0.041686,1.366142,0.597529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.637436,0.011524,-0.273446,-0.720257,-0.416433,1.265523,0.401151,0.001628,-0.405428,1.255687,0.412671,0.000001,-0.391053,1.266676,0.458333,0.000000,-0.403371,1.229951,0.388106,0.096240,-0.446380,1.272531,0.339248,0.431771,-0.435933,1.302770,0.407395,0.523578,-0.402678,1.259285,0.408443,,,,-0.403724,1.227309,0.390549,-0.446926,1.270343,0.338968,-0.435675,1.300907,0.407700,-0.391113,1.268953,0.462856,-0.042014,1.365307,0.597818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.403091,1.258358,0.408813,,,,-0.404008,1.226580,0.390769,-0.447241,1.269821,0.339046,-0.436067,1.300102,0.407872,-0.391445,1.268158,0.463122,-0.042275,1.364555,0.598025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.649898,0.067508,0.025701,-0.756581,-0.413215,1.260183,0.407570,0.001731,-0.412898,1.247226,0.421083,0.000001,-0.418262,1.253167,0.469543,0.000000,-0.408867,1.221984,0.396251,0.096240,-0.406914,1.276354,0.340662,0.431771,-0.419133,1.302184,0.410312,0.523578,-0.403441,1.257882,0.409032,-0.436550,1.299367,0.408165,-0.404302,1.225768,0.391047,-0.447525,1.269373,0.339074,-0.391886,1.267591,0.463344,,,,-0.042643,1.364007,0.598236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
