Format Version,1.23,Take Name,Exp_A6_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.25.54.719 AM,Total Frames in Take,2041,Total Exported Frames,2041,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 3436,Unlabeled 3436,Unlabeled 3436,Unlabeled 3438,Unlabeled 3438,Unlabeled 3438,Unlabeled 3439,Unlabeled 3439,Unlabeled 3439,Unlabeled 3440,Unlabeled 3440,Unlabeled 3440,Unlabeled 3441,Unlabeled 3441,Unlabeled 3441,Unlabeled 3442,Unlabeled 3442,Unlabeled 3442,Unlabeled 3443,Unlabeled 3443,Unlabeled 3443,Unlabeled 3444,Unlabeled 3444,Unlabeled 3444,Unlabeled 3445,Unlabeled 3445,Unlabeled 3445,Unlabeled 3446,Unlabeled 3446,Unlabeled 3446,Unlabeled 3447,Unlabeled 3447,Unlabeled 3447,Unlabeled 3448,Unlabeled 3448,Unlabeled 3448,Unlabeled 3449,Unlabeled 3449,Unlabeled 3449,Unlabeled 3451,Unlabeled 3451,Unlabeled 3451,Unlabeled 3452,Unlabeled 3452,Unlabeled 3452,Unlabeled 3453,Unlabeled 3453,Unlabeled 3453,Unlabeled 3454,Unlabeled 3454,Unlabeled 3454,Unlabeled 3455,Unlabeled 3455,Unlabeled 3455,Unlabeled 3456,Unlabeled 3456,Unlabeled 3456,Unlabeled 3457,Unlabeled 3457,Unlabeled 3457,Unlabeled 3458,Unlabeled 3458,Unlabeled 3458,Unlabeled 3459,Unlabeled 3459,Unlabeled 3459,Unlabeled 3460,Unlabeled 3460,Unlabeled 3460,Unlabeled 3461,Unlabeled 3461,Unlabeled 3461,Unlabeled 3462,Unlabeled 3462,Unlabeled 3462,Unlabeled 3463,Unlabeled 3463,Unlabeled 3463,Unlabeled 3464,Unlabeled 3464,Unlabeled 3464,Unlabeled 3465,Unlabeled 3465,Unlabeled 3465,Unlabeled 3466,Unlabeled 3466,Unlabeled 3466,Unlabeled 3467,Unlabeled 3467,Unlabeled 3467,Unlabeled 3468,Unlabeled 3468,Unlabeled 3468,Unlabeled 3469,Unlabeled 3469,Unlabeled 3469,Unlabeled 3470,Unlabeled 3470,Unlabeled 3470,Unlabeled 3471,Unlabeled 3471,Unlabeled 3471,Unlabeled 3472,Unlabeled 3472,Unlabeled 3472,Unlabeled 3473,Unlabeled 3473,Unlabeled 3473,Unlabeled 3475,Unlabeled 3475,Unlabeled 3475,Unlabeled 3476,Unlabeled 3476,Unlabeled 3476,Unlabeled 3477,Unlabeled 3477,Unlabeled 3477,Unlabeled 3478,Unlabeled 3478,Unlabeled 3478,Unlabeled 3479,Unlabeled 3479,Unlabeled 3479,Unlabeled 3480,Unlabeled 3480,Unlabeled 3480,Unlabeled 3482,Unlabeled 3482,Unlabeled 3482,Unlabeled 3483,Unlabeled 3483,Unlabeled 3483,Unlabeled 3484,Unlabeled 3484,Unlabeled 3484,Unlabeled 3485,Unlabeled 3485,Unlabeled 3485,Unlabeled 3487,Unlabeled 3487,Unlabeled 3487,Unlabeled 3488,Unlabeled 3488,Unlabeled 3488,Unlabeled 3489,Unlabeled 3489,Unlabeled 3489,Unlabeled 3490,Unlabeled 3490,Unlabeled 3490,Unlabeled 3491,Unlabeled 3491,Unlabeled 3491,Unlabeled 3493,Unlabeled 3493,Unlabeled 3493,Unlabeled 3494,Unlabeled 3494,Unlabeled 3494,Unlabeled 3495,Unlabeled 3495,Unlabeled 3495,Unlabeled 3496,Unlabeled 3496,Unlabeled 3496,Unlabeled 3497,Unlabeled 3497,Unlabeled 3497,Unlabeled 3498,Unlabeled 3498,Unlabeled 3498,Unlabeled 3499,Unlabeled 3499,Unlabeled 3499,Unlabeled 3500,Unlabeled 3500,Unlabeled 3500,Unlabeled 3501,Unlabeled 3501,Unlabeled 3501,Unlabeled 3502,Unlabeled 3502,Unlabeled 3502,Unlabeled 3503,Unlabeled 3503,Unlabeled 3503,Unlabeled 3504,Unlabeled 3504,Unlabeled 3504,Unlabeled 3505,Unlabeled 3505,Unlabeled 3505,Unlabeled 3508,Unlabeled 3508,Unlabeled 3508,Unlabeled 3509,Unlabeled 3509,Unlabeled 3509,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3511,Unlabeled 3511,Unlabeled 3511,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514,Unlabeled 3515,Unlabeled 3515,Unlabeled 3515,Unlabeled 3516,Unlabeled 3516,Unlabeled 3516,Unlabeled 3517,Unlabeled 3517,Unlabeled 3517,Unlabeled 3518,Unlabeled 3518,Unlabeled 3518,Unlabeled 3520,Unlabeled 3520,Unlabeled 3520,Unlabeled 3521,Unlabeled 3521,Unlabeled 3521,Unlabeled 3522,Unlabeled 3522,Unlabeled 3522,Unlabeled 3523,Unlabeled 3523,Unlabeled 3523,Unlabeled 3524,Unlabeled 3524,Unlabeled 3524,Unlabeled 3525,Unlabeled 3525,Unlabeled 3525,Unlabeled 3526,Unlabeled 3526,Unlabeled 3526,Unlabeled 3527,Unlabeled 3527,Unlabeled 3527,Unlabeled 3528,Unlabeled 3528,Unlabeled 3528,Unlabeled 3530,Unlabeled 3530,Unlabeled 3530,Unlabeled 3531,Unlabeled 3531,Unlabeled 3531,Unlabeled 3532,Unlabeled 3532,Unlabeled 3532,Unlabeled 3533,Unlabeled 3533,Unlabeled 3533,Unlabeled 3534,Unlabeled 3534,Unlabeled 3534,Unlabeled 3535,Unlabeled 3535,Unlabeled 3535,Unlabeled 3536,Unlabeled 3536,Unlabeled 3536,Unlabeled 3537,Unlabeled 3537,Unlabeled 3537
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","D9600","D9600","D9600","C5A9D3E974EB11ED94BEEB680077B8","C5A9D3E974EB11ED94BEEB680077B8","C5A9D3E974EB11ED94BEEB680077B8","D9090","D9090","D9090","D96A0","D96A0","D96A0","D9490","D9490","D9490","D90D0","D90D0","D90D0","D9740","D9740","D9740","D9710","D9710","D9710","D9750","D9750","D9750","D9670","D9670","D9670","D9760","D9760","D9760","D9770","D9770","D9770","D9630","D9630","D9630","D9780","D9780","D9780","D97C0","D97C0","D97C0","D97D0","D97D0","D97D0","D97B0","D97B0","D97B0","D97E0","D97E0","D97E0","D9790","D9790","D9790","D97A0","D97A0","D97A0","D9800","D9800","D9800","D90A0","D90A0","D90A0","D8D00","D8D00","D8D00","D8D70","D8D70","D8D70","D8D30","D8D30","D8D30","D9840","D9840","D9840","D9870","D9870","D9870","D9810","D9810","D9810","D9890","D9890","D9890","D98B0","D98B0","D98B0","D98A0","D98A0","D98A0","D9830","D9830","D9830","D98C0","D98C0","D98C0","D98D0","D98D0","D98D0","D9820","D9820","D9820","D9900","D9900","D9900","D98F0","D98F0","D98F0","D9910","D9910","D9910","D9930","D9930","D9930","D9940","D9940","D9940","D9960","D9960","D9960","D98E0","D98E0","D98E0","D99A0","D99A0","D99A0","D9970","D9970","D9970","D99B0","D99B0","D99B0","D9920","D9920","D9920","D9980","D9980","D9980","D99F0","D99F0","D99F0","D9A00","D9A00","D9A00","D9A10","D9A10","D9A10","D9A20","D9A20","D9A20","D9A30","D9A30","D9A30","D99D0","D99D0","D99D0","D9A40","D9A40","D9A40","D9A60","D9A60","D9A60","D9A70","D9A70","D9A70","D9A90","D9A90","D9A90","D9AA0","D9AA0","D9AA0","D9A80","D9A80","D9A80","D9850","D9850","D9850","D9AB0","D9AB0","D9AB0","D9AF0","D9AF0","D9AF0","D9AD0","D9AD0","D9AD0","D9B00","D9B00","D9B00","D9AC0","D9AC0","D9AC0","D9AE0","D9AE0","D9AE0","D9B30","D9B30","D9B30","D9B10","D9B10","D9B10","D9B20","D9B20","D9B20","D9990","D9990","D9990","D9B70","D9B70","D9B70","D9BA0","D9BA0","D9BA0","D9BD0","D9BD0","D9BD0","D9BC0","D9BC0","D9BC0","D9B90","D9B90","D9B90","D9BE0","D9BE0","D9BE0","D9BF0","D9BF0","D9BF0","D9C10","D9C10","D9C10","D9C00","D9C00","D9C00","D9C30","D9C30","D9C30","D9C40","D9C40","D9C40","D9C20","D9C20","D9C20","D9C70","D9C70","D9C70","D9C60","D9C60","D9C60","D9B60","D9B60","D9B60","D9CA0","D9CA0","D9CA0","D9C90","D9C90","D9C90","D9CB0","D9CB0","D9CB0","D9C80","D9C80","D9C80","D9CD0","D9CD0","D9CD0","D9CE0","D9CE0","D9CE0","D9CC0","D9CC0","D9CC0","D9CF0","D9CF0","D9CF0","D9D00","D9D00","D9D00","D9D30","D9D30","D9D30","D9D60","D9D60","D9D60","D9D40","D9D40","D9D40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.475550,-0.219807,-0.360060,-0.771941,-0.741993,1.232941,0.747079,0.000675,-0.729361,1.219414,0.749913,0.890668,-0.692258,1.218207,0.782074,0.000000,-0.745697,1.199529,0.725261,0.568606,-0.795997,1.257220,0.711414,0.918532,-0.746653,1.270338,0.766736,0.674595,-0.729671,1.219123,0.749812,,,,-0.744871,1.198133,0.724673,-0.796091,1.256909,0.711446,-0.746963,1.269747,0.765618,-0.687685,1.222562,0.783595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.471677,-0.220628,-0.370816,-0.768986,-0.742158,1.232975,0.746777,0.001489,-0.729266,1.219636,0.749313,0.890668,-0.691650,1.218803,0.780884,0.000000,-0.745661,1.199664,0.724770,0.568606,-0.797099,1.256625,0.712135,0.918532,-0.747114,1.270149,0.766780,0.674595,-0.727075,1.223387,0.745603,,,,-0.744835,1.197867,0.724513,-0.796100,1.256715,0.711264,-0.746972,1.269569,0.765395,-0.687670,1.222420,0.783428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.468758,-0.221356,-0.378752,-0.766691,-0.742261,1.232930,0.746470,0.001051,-0.729182,1.219733,0.748783,0.000001,-0.691188,1.219185,0.779905,0.000000,-0.745628,1.199695,0.724328,0.501413,-0.797885,1.256101,0.712603,0.667914,-0.747423,1.269937,0.766729,0.622742,-0.728940,1.225745,0.742496,,,,-0.744788,1.197556,0.724185,-0.796028,1.256486,0.711066,-0.746889,1.269405,0.765119,-0.687653,1.222281,0.783301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.466774,-0.221904,-0.384465,-0.764897,-0.742323,1.232841,0.746190,0.001055,-0.729110,1.219750,0.748346,0.000000,-0.690850,1.219427,0.779142,0.000000,-0.745588,1.199653,0.723961,0.424537,-0.798433,1.255641,0.712878,0.389674,-0.747635,1.269731,0.766622,0.555685,-0.728919,1.225626,0.742321,,,,-0.744744,1.197379,0.724072,-0.795992,1.256274,0.710900,-0.746898,1.269246,0.764899,-0.687669,1.222163,0.783166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.552895,-0.203419,-0.120359,-0.799026,-0.737121,1.228338,0.747980,0.002306,-0.731516,1.212721,0.756656,0.000001,-0.707865,1.208092,0.799453,0.000001,-0.746337,1.193406,0.730631,0.000001,-0.766565,1.258526,0.693211,0.000000,-0.733322,1.268945,0.759949,0.000001,-0.728935,1.225517,0.742140,-0.746988,1.269117,0.764715,-0.744732,1.197137,0.724073,-0.795933,1.256083,0.710713,-0.687642,1.222120,0.783057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.728932,1.225425,0.741976,,,,-0.744731,1.196953,0.724083,-0.795916,1.255962,0.710594,-0.746999,1.269050,0.764548,-0.687664,1.222018,0.782914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
