Format Version,1.23,Take Name,Exp_B4_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.41.57.166 AM,Total Frames in Take,2054,Total Exported Frames,2054,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 7438,Unlabeled 7438,Unlabeled 7438,Unlabeled 7439,Unlabeled 7439,Unlabeled 7439,Unlabeled 7443,Unlabeled 7443,Unlabeled 7443,Unlabeled 7444,Unlabeled 7444,Unlabeled 7444,Unlabeled 7445,Unlabeled 7445,Unlabeled 7445,Unlabeled 7446,Unlabeled 7446,Unlabeled 7446,Unlabeled 7447,Unlabeled 7447,Unlabeled 7447,Unlabeled 7448,Unlabeled 7448,Unlabeled 7448,Unlabeled 7449,Unlabeled 7449,Unlabeled 7449,Unlabeled 7450,Unlabeled 7450,Unlabeled 7450,Unlabeled 7452,Unlabeled 7452,Unlabeled 7452,Unlabeled 7453,Unlabeled 7453,Unlabeled 7453,Unlabeled 7454,Unlabeled 7454,Unlabeled 7454,Unlabeled 7456,Unlabeled 7456,Unlabeled 7456,Unlabeled 7458,Unlabeled 7458,Unlabeled 7458,Unlabeled 7459,Unlabeled 7459,Unlabeled 7459,Unlabeled 7460,Unlabeled 7460,Unlabeled 7460,Unlabeled 7461,Unlabeled 7461,Unlabeled 7461,Unlabeled 7462,Unlabeled 7462,Unlabeled 7462,Unlabeled 7463,Unlabeled 7463,Unlabeled 7463,Unlabeled 7464,Unlabeled 7464,Unlabeled 7464,Unlabeled 7465,Unlabeled 7465,Unlabeled 7465,Unlabeled 7466,Unlabeled 7466,Unlabeled 7466,Unlabeled 7467,Unlabeled 7467,Unlabeled 7467,Unlabeled 7468,Unlabeled 7468,Unlabeled 7468,Unlabeled 7469,Unlabeled 7469,Unlabeled 7469,Unlabeled 7470,Unlabeled 7470,Unlabeled 7470,Unlabeled 7471,Unlabeled 7471,Unlabeled 7471,Unlabeled 7472,Unlabeled 7472,Unlabeled 7472,Unlabeled 7474,Unlabeled 7474,Unlabeled 7474,Unlabeled 7475,Unlabeled 7475,Unlabeled 7475,Unlabeled 7476,Unlabeled 7476,Unlabeled 7476,Unlabeled 7477,Unlabeled 7477,Unlabeled 7477,Unlabeled 7478,Unlabeled 7478,Unlabeled 7478,Unlabeled 7479,Unlabeled 7479,Unlabeled 7479,Unlabeled 7480,Unlabeled 7480,Unlabeled 7480,Unlabeled 7481,Unlabeled 7481,Unlabeled 7481,Unlabeled 7483,Unlabeled 7483,Unlabeled 7483,Unlabeled 7484,Unlabeled 7484,Unlabeled 7484,Unlabeled 7485,Unlabeled 7485,Unlabeled 7485,Unlabeled 7486,Unlabeled 7486,Unlabeled 7486,Unlabeled 7487,Unlabeled 7487,Unlabeled 7487,Unlabeled 7488,Unlabeled 7488,Unlabeled 7488,Unlabeled 7489,Unlabeled 7489,Unlabeled 7489,Unlabeled 7490,Unlabeled 7490,Unlabeled 7490,Unlabeled 7491,Unlabeled 7491,Unlabeled 7491,Unlabeled 7492,Unlabeled 7492,Unlabeled 7492,Unlabeled 7493,Unlabeled 7493,Unlabeled 7493,Unlabeled 7494,Unlabeled 7494,Unlabeled 7494,Unlabeled 7495,Unlabeled 7495,Unlabeled 7495,Unlabeled 7496,Unlabeled 7496,Unlabeled 7496,Unlabeled 7497,Unlabeled 7497,Unlabeled 7497,Unlabeled 7498,Unlabeled 7498,Unlabeled 7498,Unlabeled 7499,Unlabeled 7499,Unlabeled 7499,Unlabeled 7501,Unlabeled 7501,Unlabeled 7501,Unlabeled 7502,Unlabeled 7502,Unlabeled 7502,Unlabeled 7503,Unlabeled 7503,Unlabeled 7503,Unlabeled 7504,Unlabeled 7504,Unlabeled 7504,Unlabeled 7505,Unlabeled 7505,Unlabeled 7505,Unlabeled 7507,Unlabeled 7507,Unlabeled 7507,Unlabeled 7508,Unlabeled 7508,Unlabeled 7508,Unlabeled 7509,Unlabeled 7509,Unlabeled 7509,Unlabeled 7510,Unlabeled 7510,Unlabeled 7510,Unlabeled 7511,Unlabeled 7511,Unlabeled 7511,Unlabeled 7512,Unlabeled 7512,Unlabeled 7512,Unlabeled 7513,Unlabeled 7513,Unlabeled 7513,Unlabeled 7514,Unlabeled 7514,Unlabeled 7514,Unlabeled 7515,Unlabeled 7515,Unlabeled 7515,Unlabeled 7516,Unlabeled 7516,Unlabeled 7516,Unlabeled 7517,Unlabeled 7517,Unlabeled 7517,Unlabeled 7518,Unlabeled 7518,Unlabeled 7518,Unlabeled 7520,Unlabeled 7520,Unlabeled 7520,Unlabeled 7521,Unlabeled 7521,Unlabeled 7521,Unlabeled 7522,Unlabeled 7522,Unlabeled 7522,Unlabeled 7523,Unlabeled 7523,Unlabeled 7523,Unlabeled 7524,Unlabeled 7524,Unlabeled 7524,Unlabeled 7525,Unlabeled 7525,Unlabeled 7525,Unlabeled 7526,Unlabeled 7526,Unlabeled 7526,Unlabeled 7527,Unlabeled 7527,Unlabeled 7527,Unlabeled 7528,Unlabeled 7528,Unlabeled 7528,Unlabeled 7529,Unlabeled 7529,Unlabeled 7529,Unlabeled 7530,Unlabeled 7530,Unlabeled 7530,Unlabeled 7531,Unlabeled 7531,Unlabeled 7531,Unlabeled 7532,Unlabeled 7532,Unlabeled 7532,Unlabeled 7533,Unlabeled 7533,Unlabeled 7533,Unlabeled 7534,Unlabeled 7534,Unlabeled 7534,Unlabeled 7535,Unlabeled 7535,Unlabeled 7535,Unlabeled 7536,Unlabeled 7536,Unlabeled 7536,Unlabeled 7537,Unlabeled 7537,Unlabeled 7537,Unlabeled 7539,Unlabeled 7539,Unlabeled 7539,Unlabeled 7540,Unlabeled 7540,Unlabeled 7540,Unlabeled 7541,Unlabeled 7541,Unlabeled 7541,Unlabeled 7542,Unlabeled 7542,Unlabeled 7542,Unlabeled 7543,Unlabeled 7543,Unlabeled 7543,Unlabeled 7544,Unlabeled 7544,Unlabeled 7544,Unlabeled 7545,Unlabeled 7545,Unlabeled 7545,Unlabeled 7546,Unlabeled 7546,Unlabeled 7546,Unlabeled 7547,Unlabeled 7547,Unlabeled 7547,Unlabeled 7548,Unlabeled 7548,Unlabeled 7548,Unlabeled 7549,Unlabeled 7549,Unlabeled 7549,Unlabeled 7550,Unlabeled 7550,Unlabeled 7550,Unlabeled 7551,Unlabeled 7551,Unlabeled 7551,Unlabeled 7552,Unlabeled 7552,Unlabeled 7552,Unlabeled 7553,Unlabeled 7553,Unlabeled 7553
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","E55C0","E55C0","E55C0","E5910","E5910","E5910","E5BD0","E5BD0","E5BD0","E57C0","E57C0","E57C0","571BE5374EE11ED94BEEB680077B8","571BE5374EE11ED94BEEB680077B8","571BE5374EE11ED94BEEB680077B8","E5B00","E5B00","E5B00","E5BC0","E5BC0","E5BC0","E5C00","E5C00","E5C00","E5C20","E5C20","E5C20","E5C30","E5C30","E5C30","E5C10","E5C10","E5C10","E5AE0","E5AE0","E5AE0","E5B40","E5B40","E5B40","E5AA0","E5AA0","E5AA0","E5C50","E5C50","E5C50","E5C60","E5C60","E5C60","E5C90","E5C90","E5C90","E5CC0","E5CC0","E5CC0","E5CA0","E5CA0","E5CA0","E5CE0","E5CE0","E5CE0","E5CF0","E5CF0","E5CF0","E5D10","E5D10","E5D10","E5D20","E5D20","E5D20","E5D40","E5D40","E5D40","E5D30","E5D30","E5D30","E5D50","E5D50","E5D50","E5D00","E5D00","E5D00","E5D80","E5D80","E5D80","E5D90","E5D90","E5D90","E5D60","E5D60","E5D60","E5DA0","E5DA0","E5DA0","E5DC0","E5DC0","E5DC0","E5DB0","E5DB0","E5DB0","E5DD0","E5DD0","E5DD0","E5DE0","E5DE0","E5DE0","E5E00","E5E00","E5E00","E5E20","E5E20","E5E20","E5E10","E5E10","E5E10","E5E30","E5E30","E5E30","E5E40","E5E40","E5E40","E5DF0","E5DF0","E5DF0","E5E60","E5E60","E5E60","E5E80","E5E80","E5E80","E5EB0","E5EB0","E5EB0","E5E90","E5E90","E5E90","E5EF0","E5EF0","E5EF0","E5EE0","E5EE0","E5EE0","E5ED0","E5ED0","E5ED0","E5EA0","E5EA0","E5EA0","E5F10","E5F10","E5F10","E5EC0","E5EC0","E5EC0","E5F00","E5F00","E5F00","E5F20","E5F20","E5F20","E5F70","E5F70","E5F70","E5F30","E5F30","E5F30","E5F50","E5F50","E5F50","E5F40","E5F40","E5F40","E5F60","E5F60","E5F60","E5FA0","E5FA0","E5FA0","E5FB0","E5FB0","E5FB0","E5FE0","E5FE0","E5FE0","E5FD0","E5FD0","E5FD0","E5FC0","E5FC0","E5FC0","E5F90","E5F90","E5F90","E5FF0","E5FF0","E5FF0","E5CB0","E5CB0","E5CB0","E6000","E6000","E6000","E6040","E6040","E6040","E6050","E6050","E6050","E6060","E6060","E6060","E6090","E6090","E6090","E6070","E6070","E6070","E6080","E6080","E6080","E6020","E6020","E6020","E60A0","E60A0","E60A0","E60B0","E60B0","E60B0","E60D0","E60D0","E60D0","E5C40","E5C40","E5C40","E4BB0","E4BB0","E4BB0","E6140","E6140","E6140","E6180","E6180","E6180","E6190","E6190","E6190","E6170","E6170","E6170","E6130","E6130","E6130","E6120","E6120","E6120","E61E0","E61E0","E61E0","E61B0","E61B0","E61B0","E61C0","E61C0","E61C0","E61D0","E61D0","E61D0","E6240","E6240","E6240","E6210","E6210","E6210","E6250","E6250","E6250","E61F0","E61F0","E61F0","E6230","E6230","E6230","E6280","E6280","E6280","E6290","E6290","E6290","E62B0","E62B0","E62B0","E62A0","E62A0","E62A0","E62D0","E62D0","E62D0","E62C0","E62C0","E62C0","E62F0","E62F0","E62F0","E6300","E6300","E6300","E6320","E6320","E6320","E6310","E6310","E6310","E62E0","E62E0","E62E0","E6340","E6340","E6340","E6330","E6330","E6330","E6380","E6380","E6380","E6390","E6390","E6390"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.330485,-0.752818,0.559251,-0.106226,-0.491299,1.339685,0.471633,0.001852,-0.492428,1.344743,0.489626,0.748775,-0.468657,1.326138,0.528370,0.000001,-0.515164,1.370631,0.480519,0.000001,-0.512783,1.347254,0.406372,0.656703,-0.467462,1.309660,0.453279,0.000000,-0.491497,1.345108,0.489525,-0.463873,1.327334,0.528447,-0.512595,1.374276,0.479016,-0.512036,1.347736,0.405325,,,,-0.126475,1.448430,0.678188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.336057,-0.751073,0.557506,-0.110195,-0.490798,1.339839,0.471359,0.001697,-0.491981,1.344842,0.489363,0.748775,-0.467904,1.326499,0.528044,0.000001,-0.515096,1.370420,0.480335,0.000001,-0.512457,1.347235,0.406136,0.656703,-0.466553,1.310197,0.452917,0.000000,-0.490839,1.345889,0.488434,-0.463581,1.327281,0.528275,-0.507415,1.380635,0.469326,-0.511558,1.347719,0.405098,,,,-0.126192,1.448431,0.678034,-0.470872,1.312513,0.448904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.340602,-0.749505,0.556167,-0.113628,-0.490285,1.339993,0.471085,0.001661,-0.491519,1.344954,0.489098,0.548431,-0.467206,1.326840,0.527739,0.000001,-0.514943,1.370267,0.480120,0.000000,-0.512062,1.347232,0.405883,0.636014,-0.465694,1.310674,0.452585,0.000000,-0.490471,1.346009,0.488103,-0.463256,1.327429,0.528106,-0.507092,1.380586,0.469240,-0.510988,1.347739,0.404940,,,,-0.125914,1.448402,0.677883,-0.470480,1.312452,0.448734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.344247,-0.748272,0.554977,-0.116546,-0.489759,1.340136,0.470815,0.001617,-0.491038,1.345056,0.488835,0.552753,-0.466539,1.327121,0.527443,0.000001,-0.514712,1.370151,0.479903,0.000000,-0.511621,1.347262,0.405629,0.620842,-0.464886,1.311088,0.452264,0.000000,-0.490051,1.346060,0.487928,-0.462871,1.327383,0.527845,-0.506694,1.380434,0.469316,-0.510486,1.347846,0.404702,,,,-0.125627,1.448336,0.677731,-0.470103,1.312471,0.448603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.348386,-0.746948,0.553303,-0.120628,-0.489229,1.340254,0.470571,0.001648,-0.490579,1.345106,0.488605,0.671579,-0.465892,1.327356,0.527178,0.142006,-0.514547,1.369941,0.479729,0.000000,-0.511132,1.347305,0.405391,0.588989,-0.463996,1.311561,0.451954,0.000000,-0.489764,1.345934,0.487991,-0.462494,1.327448,0.527655,-0.506310,1.380492,0.469193,-0.509961,1.347887,0.404395,,,,-0.125256,1.448427,0.677453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.352212,-0.745817,0.551472,-0.124829,-0.488695,1.340367,0.470334,0.001672,-0.490119,1.345140,0.488383,0.708372,-0.465267,1.327543,0.526920,0.210757,-0.514365,1.369726,0.479568,0.000000,-0.510612,1.347391,0.405156,0.574796,-0.463112,1.312034,0.451644,0.000000,-0.489372,1.345872,0.487867,-0.462161,1.327488,0.527481,,,,-0.509450,1.348075,0.404119,,,,-0.124930,1.448452,0.677246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
