Format Version,1.23,Take Name,Exp_C8_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 10.55.01.718 AM,Total Frames in Take,2087,Total Exported Frames,2087,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,BatonPaddelPops,"BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker1","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker2","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker3","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker4","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5","BatonPaddelPops:Marker5",BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker1,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker2,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker3,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker4,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,BatonPaddelPops:Marker5,Unlabeled 33205,Unlabeled 33205,Unlabeled 33205,Unlabeled 33206,Unlabeled 33206,Unlabeled 33206,Unlabeled 33208,Unlabeled 33208,Unlabeled 33208,Unlabeled 33209,Unlabeled 33209,Unlabeled 33209,Unlabeled 33210,Unlabeled 33210,Unlabeled 33210,Unlabeled 33211,Unlabeled 33211,Unlabeled 33211,Unlabeled 33212,Unlabeled 33212,Unlabeled 33212,Unlabeled 33213,Unlabeled 33213,Unlabeled 33213,Unlabeled 33214,Unlabeled 33214,Unlabeled 33214,Unlabeled 33215,Unlabeled 33215,Unlabeled 33215,Unlabeled 33217,Unlabeled 33217,Unlabeled 33217,Unlabeled 33219,Unlabeled 33219,Unlabeled 33219,Unlabeled 33220,Unlabeled 33220,Unlabeled 33220,Unlabeled 33222,Unlabeled 33222,Unlabeled 33222,Unlabeled 33223,Unlabeled 33223,Unlabeled 33223,Unlabeled 33224,Unlabeled 33224,Unlabeled 33224,Unlabeled 33225,Unlabeled 33225,Unlabeled 33225,Unlabeled 33226,Unlabeled 33226,Unlabeled 33226,Unlabeled 33227,Unlabeled 33227,Unlabeled 33227,Unlabeled 33228,Unlabeled 33228,Unlabeled 33228,Unlabeled 33229,Unlabeled 33229,Unlabeled 33229,Unlabeled 33230,Unlabeled 33230,Unlabeled 33230,Unlabeled 33231,Unlabeled 33231,Unlabeled 33231,Unlabeled 33232,Unlabeled 33232,Unlabeled 33232,Unlabeled 33233,Unlabeled 33233,Unlabeled 33233,Unlabeled 33234,Unlabeled 33234,Unlabeled 33234,Unlabeled 33235,Unlabeled 33235,Unlabeled 33235,Unlabeled 33236,Unlabeled 33236,Unlabeled 33236,Unlabeled 33239,Unlabeled 33239,Unlabeled 33239,Unlabeled 33240,Unlabeled 33240,Unlabeled 33240,Unlabeled 33241,Unlabeled 33241,Unlabeled 33241,Unlabeled 33242,Unlabeled 33242,Unlabeled 33242,Unlabeled 33243,Unlabeled 33243,Unlabeled 33243,Unlabeled 33245,Unlabeled 33245,Unlabeled 33245,Unlabeled 33246,Unlabeled 33246,Unlabeled 33246,Unlabeled 33247,Unlabeled 33247,Unlabeled 33247,Unlabeled 33248,Unlabeled 33248,Unlabeled 33248,Unlabeled 33249,Unlabeled 33249,Unlabeled 33249,Unlabeled 33250,Unlabeled 33250,Unlabeled 33250,Unlabeled 33251,Unlabeled 33251,Unlabeled 33251,Unlabeled 33253,Unlabeled 33253,Unlabeled 33253,Unlabeled 33254,Unlabeled 33254,Unlabeled 33254,Unlabeled 33255,Unlabeled 33255,Unlabeled 33255,Unlabeled 33256,Unlabeled 33256,Unlabeled 33256,Unlabeled 33257,Unlabeled 33257,Unlabeled 33257,Unlabeled 33258,Unlabeled 33258,Unlabeled 33258,Unlabeled 33260,Unlabeled 33260,Unlabeled 33260,Unlabeled 33261,Unlabeled 33261,Unlabeled 33261,Unlabeled 33262,Unlabeled 33262,Unlabeled 33262,Unlabeled 33263,Unlabeled 33263,Unlabeled 33263,Unlabeled 33264,Unlabeled 33264,Unlabeled 33264,Unlabeled 33265,Unlabeled 33265,Unlabeled 33265,Unlabeled 33268,Unlabeled 33268,Unlabeled 33268,Unlabeled 33269,Unlabeled 33269,Unlabeled 33269,Unlabeled 33270,Unlabeled 33270,Unlabeled 33270,Unlabeled 33271,Unlabeled 33271,Unlabeled 33271,Unlabeled 33272,Unlabeled 33272,Unlabeled 33272,Unlabeled 33273,Unlabeled 33273,Unlabeled 33273,Unlabeled 33274,Unlabeled 33274,Unlabeled 33274,Unlabeled 33275,Unlabeled 33275,Unlabeled 33275,Unlabeled 33276,Unlabeled 33276,Unlabeled 33276,Unlabeled 33277,Unlabeled 33277,Unlabeled 33277,Unlabeled 33278,Unlabeled 33278,Unlabeled 33278,Unlabeled 33279,Unlabeled 33279,Unlabeled 33279,Unlabeled 33280,Unlabeled 33280,Unlabeled 33280,Unlabeled 33281,Unlabeled 33281,Unlabeled 33281,Unlabeled 33282,Unlabeled 33282,Unlabeled 33282,Unlabeled 33283,Unlabeled 33283,Unlabeled 33283,Unlabeled 33284,Unlabeled 33284,Unlabeled 33284,Unlabeled 33285,Unlabeled 33285,Unlabeled 33285,Unlabeled 33286,Unlabeled 33286,Unlabeled 33286,Unlabeled 33287,Unlabeled 33287,Unlabeled 33287,Unlabeled 33288,Unlabeled 33288,Unlabeled 33288,Unlabeled 33289,Unlabeled 33289,Unlabeled 33289,Unlabeled 33290,Unlabeled 33290,Unlabeled 33290,Unlabeled 33291,Unlabeled 33291,Unlabeled 33291,Unlabeled 33292,Unlabeled 33292,Unlabeled 33292,Unlabeled 33293,Unlabeled 33293,Unlabeled 33293,Unlabeled 33294,Unlabeled 33294,Unlabeled 33294,Unlabeled 33295,Unlabeled 33295,Unlabeled 33295,Unlabeled 33296,Unlabeled 33296,Unlabeled 33296,Unlabeled 33297,Unlabeled 33297,Unlabeled 33297,Unlabeled 33298,Unlabeled 33298,Unlabeled 33298,Unlabeled 33299,Unlabeled 33299,Unlabeled 33299,Unlabeled 33300,Unlabeled 33300,Unlabeled 33300,Unlabeled 33301,Unlabeled 33301,Unlabeled 33301,Unlabeled 33302,Unlabeled 33302,Unlabeled 33302,Unlabeled 33303,Unlabeled 33303,Unlabeled 33303,Unlabeled 33304,Unlabeled 33304,Unlabeled 33304,Unlabeled 33305,Unlabeled 33305,Unlabeled 33305,Unlabeled 33307,Unlabeled 33307,Unlabeled 33307,Unlabeled 33308,Unlabeled 33308,Unlabeled 33308,Unlabeled 33309,Unlabeled 33309,Unlabeled 33309,Unlabeled 33310,Unlabeled 33310,Unlabeled 33310,Unlabeled 33312,Unlabeled 33312,Unlabeled 33312,Unlabeled 33313,Unlabeled 33313,Unlabeled 33313,Unlabeled 33314,Unlabeled 33314,Unlabeled 33314,Unlabeled 33315,Unlabeled 33315,Unlabeled 33315,Unlabeled 33316,Unlabeled 33316,Unlabeled 33316,Unlabeled 33317,Unlabeled 33317,Unlabeled 33317
,ID,"CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","CFA9AE6C74E911ED94BEEB680077B8","124EE0","124EE0","124EE0","125160","125160","125160","124DA0","124DA0","124DA0","11EF10","11EF10","11EF10","380B6D5274F811ED94BEEB680077B8","380B6D5274F811ED94BEEB680077B8","380B6D5274F811ED94BEEB680077B8","1252B0","1252B0","1252B0","1252C0","1252C0","1252C0","1251C0","1251C0","1251C0","125280","125280","125280","1252D0","1252D0","1252D0","1251E0","1251E0","1251E0","1252E0","1252E0","1252E0","1252F0","1252F0","1252F0","125320","125320","125320","125350","125350","125350","125340","125340","125340","125330","125330","125330","125370","125370","125370","125380","125380","125380","1253B0","1253B0","1253B0","125390","125390","125390","1253A0","1253A0","1253A0","1253C0","1253C0","1253C0","1253D0","1253D0","1253D0","1253E0","1253E0","1253E0","125400","125400","125400","125430","125430","125430","1253F0","1253F0","1253F0","125410","125410","125410","125460","125460","125460","125480","125480","125480","125450","125450","125450","1254A0","1254A0","1254A0","125470","125470","125470","124B90","124B90","124B90","125420","125420","125420","124BA0","124BA0","124BA0","1254D0","1254D0","1254D0","1254C0","1254C0","1254C0","125530","125530","125530","125540","125540","125540","1254B0","1254B0","1254B0","1254E0","1254E0","1254E0","125550","125550","125550","125500","125500","125500","125560","125560","125560","1255C0","1255C0","1255C0","1254F0","1254F0","1254F0","125590","125590","125590","125580","125580","125580","1255F0","1255F0","1255F0","1255E0","1255E0","1255E0","125610","125610","125610","125630","125630","125630","125640","125640","125640","125620","125620","125620","125650","125650","125650","1256A0","1256A0","1256A0","1256B0","1256B0","1256B0","125680","125680","125680","1256C0","1256C0","1256C0","125690","125690","125690","1256D0","1256D0","1256D0","125600","125600","125600","125570","125570","125570","1256E0","1256E0","1256E0","125720","125720","125720","1256F0","1256F0","1256F0","125700","125700","125700","1255A0","1255A0","1255A0","125760","125760","125760","125750","125750","125750","125780","125780","125780","125790","125790","125790","1257A0","1257A0","1257A0","1257B0","1257B0","1257B0","1257D0","1257D0","1257D0","1257E0","1257E0","1257E0","125740","125740","125740","1257F0","1257F0","1257F0","125800","125800","125800","125820","125820","125820","125830","125830","125830","125810","125810","125810","125770","125770","125770","125840","125840","125840","125860","125860","125860","1257C0","1257C0","1257C0","125850","125850","125850","125890","125890","125890","125870","125870","125870","1255B0","1255B0","1255B0","1258B0","1258B0","1258B0","125880","125880","125880","1258A0","1258A0","1258A0","125710","125710","125710","1258F0","1258F0","1258F0","1258D0","1258D0","1258D0","125940","125940","125940","125900","125900","125900","125910","125910","125910","125930","125930","125930","125960","125960","125960","125970","125970","125970","1259C0","1259C0","1259C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.379537,0.728182,-0.510581,0.254970,-0.438362,1.342995,0.320219,0.001632,-0.443020,1.344829,0.338261,0.649482,-0.420003,1.327242,0.377926,0.000001,-0.470662,1.365169,0.328656,0.737342,-0.452941,1.354614,0.253658,0.676265,-0.405181,1.323120,0.302593,0.000000,-0.442810,1.343832,0.339224,-0.413468,1.330139,0.378141,-0.470715,1.364357,0.327992,-0.453301,1.353740,0.252773,,,,-0.096892,1.479597,0.504138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.379321,0.728320,-0.510897,0.254264,-0.438554,1.342593,0.320308,0.001657,-0.443199,1.344447,0.338352,0.649482,-0.420180,1.326859,0.378016,0.000001,-0.470820,1.364816,0.328749,0.737342,-0.453161,1.354182,0.253748,0.676265,-0.405411,1.322662,0.302677,0.000000,-0.442818,1.343402,0.339190,-0.413509,1.329857,0.378218,-0.470735,1.364023,0.327986,-0.453353,1.353320,0.252763,,,,-0.096822,1.479051,0.504055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.379818,0.728075,-0.510835,0.254348,-0.438679,1.342194,0.320380,0.001736,-0.443320,1.344049,0.338424,0.651865,-0.420270,1.326499,0.378087,0.000001,-0.470965,1.364386,0.328823,0.724175,-0.453318,1.353744,0.253820,0.669352,-0.405521,1.322290,0.302745,0.000000,-0.442813,1.343051,0.339158,-0.413333,1.329237,0.378285,-0.470822,1.363389,0.328106,-0.453291,1.352922,0.252760,,,,-0.096797,1.478761,0.504063,-0.406148,1.331686,0.293844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.380726,0.727610,-0.510634,0.254725,-0.438719,1.341819,0.320412,0.001647,-0.443359,1.343671,0.338457,0.665471,-0.420259,1.326185,0.378119,0.000001,-0.471050,1.363945,0.328857,0.691030,-0.453402,1.353314,0.253852,0.664419,-0.405523,1.321981,0.302774,0.000000,-0.442714,1.342866,0.339099,-0.413275,1.328994,0.378298,-0.470603,1.362890,0.327977,-0.453186,1.352598,0.252738,,,,-0.096735,1.478377,0.504063,-0.406083,1.331406,0.293891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.381665,0.727061,-0.510491,0.255172,-0.438709,1.341476,0.320420,0.001638,-0.443351,1.343326,0.338465,0.696396,-0.420206,1.325913,0.378133,0.000001,-0.471091,1.363531,0.328859,0.638814,-0.453429,1.352904,0.253857,0.664432,-0.405470,1.321707,0.302788,0.000000,-0.442632,1.342703,0.339006,-0.413195,1.328781,0.378320,-0.470495,1.362611,0.327939,-0.453049,1.352307,0.252701,,,,-0.096631,1.478153,0.504036,-0.405950,1.331059,0.293952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.382546,0.726407,-0.510467,0.255763,-0.438657,1.341143,0.320411,0.001668,-0.443308,1.342993,0.338454,0.726398,-0.420132,1.325660,0.378139,0.000001,-0.471093,1.363125,0.328827,0.642254,-0.453385,1.352494,0.253837,0.661013,-0.405365,1.321442,0.302800,0.000000,-0.442537,1.342455,0.338952,-0.413037,1.328508,0.378311,-0.470401,1.362281,0.327865,-0.452816,1.351939,0.252617,,,,-0.096468,1.478033,0.504022,-0.405823,1.330877,0.293972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
